,category,company,details,experience,industry,location,salary,title
0,"Banking, Professional Services, Information Technology",Hobbs Madison,"
Business Analyst - Teller Solutions

Hobbs Madison is growing!  We have immediate opportunities for senior Business Analysts with experience implementing branch banking applications - specifically branch retail teller solutions.  The goal of this initiative is to enhance the customer experience by improving the efficiency & effectiveness at the retail level.  The business analyst will use their knowledge & understanding of front-end, web-based, retail & branch banking applications & systems (customer origination, deposit services, consumer loan origination, new account opening, etc.) at the onset of the project & throughout to gather & prioritize requirements, write user stories & develop the most effective use cases & test cases. 

Performance Objectives for the Business Analyst will include:

Work closely with users & stakeholders at the branch level to gather requirements, develop user stories / storyboards, use cases & test cases with a focus on improving the customer experience
Prioritize requirements as necessary
Improve process workflows
Maintain strong partnerships with IT & business units



Extensive experience working as a business analyst with a focus on retail, branch banking & teller solutions
Hands-on business analysis experience in the implementation of a branch banking platform (TouchPoint, Argo, S1, Harland, D&H or similar)
Applicable knowledge & understanding of front-end, web-based, retail & branch banking applications & systems (customer origination, deposit services, loan origination, new account opening or similar)
Excellent communication & presentation skills - written & verbal.  Able to appropriately interact with users & personnel in all phases
This position will require some travel as necessary.

",NA,"Banking - Financial Services, Consulting, Computer Software","Chicago, IL",$65.00 - $85.00 /Hour,Business Analyst
1,"Engineering, Information Technology, Design",Robert Half Technology,"
Ref ID: 04380-0010363585Classification: Business AnalystCompensation: $50.00 to $60.00 per hourIT Business Analyst Are you experienced in business and possess a can-do attitude? Robert Half Technology is seeking an experienced Business Analyst to develop well-executed plans for a growing company. Should you choose to apply, you ought to possess a strong technical skill set and be comfortable with the interpersonal aspects of the position. The long term temporary-to-fulltime Business Analyst will work in the Dallas, Texas area. Your responsibilities in this role - Develop detailed user stories and profiles - Produce creative and accessible solutions for new product requirements - Assess and review business, technical, and functional requirements - Aid in creating customer-focused documentation for software solutions - Partner with development team to invent and assess product requirements to meet business goals - Partner with development and QA teams to evaluate and enact new corrections and improvements - Work with designers on wire-frames, interactions, and user flows If interested please email your resume to [Click Here to Email Your Resumé]

Business Analyst - Prior experience with usability and application performance considerations - Solid grasp of developing requirements and product specifications for new or existing applications - 5+ years of related experience - Prior work with API design - Java experience If interested please email your resume to [Click Here to Email Your Resumé]Technology doesn't change the world. People do.As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agenciesThe intersection of technology and people  it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.Apply for this job now or contact our branch office at 888.674.2094 to learn more about this position.All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2018 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
", - 5+ years,"Computer Hardware, Computer Software","Dallas, TX 75219",$50.00 - $60.00 /Hour,Business Analyst
2,Information Technology,NA,"
Workday Payroll Business Analyst
Atlanta, GA
6 Months
$70-$90/hour

Our industry leading client is currently seeking a Workday Payroll Business Analyst to support a large-scale Workday Payroll initiative. In this role you will serve as a liaison between Workday technical teams and multiple business units to provide implementation and production support of Workday Payroll. You will gather requirements, create use cases, and conduct JAD sessions.

You will be supporting all HR systems throughout the organization by working with Workday Payroll. You will be supporting the reporting and querying of HR and Payroll related tools.

The main component of this role is understanding how the business utilizes Workday Payroll to provide best practices for payroll guidance as well as how the technology team can best configure Workday Payroll to the needs of the business teams.

 
For immediate consideration please send your resume to: [Click Here to Email Your Resumé]
 
Keywords: Workday, Workday Payroll, Workday Payroll Business Analyst, 

Skills:

Experience supporting Workday Payroll
Experience gathering requirements and creating use cases
Experience serving as a liaison between technical and business teams

",NA,Accounting - Finance,"Atlanta, GA",$70.00 - $90.00 /Hour,Business Analyst
3,Government - Federal,Mason Frank,"
SALESFORCE BUSINESS ANALYST - Washington DC- 1 Year - $45-$65 PER HOUR DOESalesforce Business Analyst - Washington DC - $45- $65 per hourMy client is requiring the services of a Salesforce Business Analyst to assist with configuring and managing the Salesforce Sales Cloud. This is a year-long contract where you will have the opportunity to gain experience working with a company using 3rd party apps from the App Exchange.Responsibilities: 
Detailing business and requirements
Working alongside Operations and Technology resources 
Understanding complex business requirements and translating them to the technology teams 
Participating in design sessions and develop future state process flows and data flows 
Managing projects, defining the scope, schedule, as well as resource requirements as well as being able to deliver on them 
Ensuring that the functional requirements are fully met by the solution 
Consistently reporting to business managers of project statuses 
Requirements: 
Must demonstrate expert Salesforce knowledge 
3+ years as a business analyst 
Salesforce Admin 201 certification preferred 
Prior experience supporting a user base of at least 100 users 
Excellent communication, motivational, and presentation skills 
To learn more about the opportunity and other Salesforce Business Analyst roles in Leesburg or throughout the state of Virginia please contact David at 646-415-8776 (ext. 3450) or email your resume to [Click Here to Email Your Resumé].  We solely specialize within the Salesforce.com market place, and have a proven reputation in delivering both permanent and contract professionals throughout the United States. We have a wide and diverse client base consisting of the most respected Salesforce.com consulting partners and end users. Please see www.masonfrank.com for more fantastic Salesforce.com opportunities! Mason Frank International Inc. is acting as an Employment Agency in relation to this vacancy. My client is looking for a Business Analyst for an upcoming project they are eager to start. They are looking for candidates who have experience as a Business Analyst in the Government space. My client is offering a 8 month contract with a great chance of extension. As the Business Analyst for the project, the candidate would be responsible for assisting with the implementation of the Salesforce.com platform as it expands its functionality. Work with key stakeholders to gather requirements and make recommendations based on an understanding of Salesforce.com limitations. Act as the main point of contact with Saleforce.com for major business units by staying current on SFDC updates.  Salesforce.com/Business Analyst/SFDC If you believe you are qualified for this position, please take the time to apply. The company is eager to higher quickly and start its relationship with Salesforce.com! 
",1 Year,Government - Civil Service,"Washington, DC",$45.00 - $65.00 /Hour,Business Analyst
4,Information Technology,Mason Frank,"
Salesforce Business Analyst- Long Beach, CA-$120k Salary-Global CompanyMason Frank International is currently interviewing for a new Business Analyst solid Service and Sales Cloud Experience. This role as a Business Analyst comes with a salary of 120k Salary for an individual who will be their Irvine office Salesforce subject matter expert. The company is looking for a driven individual to manage projects, conduct system analysis, create test plans, and construct solutions.Responsibilities:-Object and define Functional Specification of their business-lead project implementations-Identify the requirements from business stakeholders to make necessary recommendations-Provide End User Support-Design, configure, test, and train SFDC functionality-Manage communications between developers, vendors, business users, and stake holdersKey Requirements:-2+ years of Business Analyst experience-3+ years of Salesforce.com experience-Previous Service Cloud experience-Previously Project Management experience-Expert in End User Support-Integration technical knowledge-Impeccable communication skillsThis company has chosen to work with us, because of our extremely strong portfolio of candidates and they are looking for the best. This opportunity could lead to a respectable career for the right candidate working for a global company, They are looking for an individual who is going to take charge of their team by leading them in a concentrated and progressive direction.Apply now to be consider for this incredible opportunity!Mason Frank International is the leading Salesforce.com recruitment firm in the US, advertising more Salesforce.com / SFDC jobs than any other agency. We deal with both SFDC Partners & End Users throughout the world and we have never had more live requirements. By specializing solely in placing candidates in the Salesforce.com market I have built relationships with most of the key employers in the US and have an unrivalled understanding of where the best opportunities & SFDC jobs are.I understand the need for discretion and would welcome the opportunity to speak to any Salesforce.com candidates that are considering a new career or job either now or in the future. Confidentiality is of course guaranteed. For information on the Salesforce.com market and some of the opportunities & SFDC jobs that are available I can be contacted at [Click Here to Email Your Resumé].Please see www.masonfrank.com for more fantastic Salesforce.com opportunitiesMason Frank International is acting as an Employment Agency in relation to this vacancy.Salesforce/ SFDC/ Business Analyst/ Salesforce.com/ Administration/ Configuration/ Implementations/ CA/ California/ Los Angeles/ LA/ Service Cloud/ Support/ Project Management/ Business Analyst/ Orange County/ O.C./ Irvine/ End User/ LA/ Los Angeles/ Long Beach
",#NAME?,Internet - ECommerce,"Long Beach, CA","$120,000.00 /Year",Business Analyst
5,"Banking, Information Technology",Signature Consultants,"
Data Business Analyst Summary:Signature Consultants is seeking a Data Business Analyst for an opportunity with a large financial client in Charlotte, NC. This project duration will last at least 9 months with possible extension up to 2 years. This financial services client needs 3 BA's through the end of year. The Data Business Analyst will support annuity applications. The incumbent should possess strong data analysis experience to pull data using SQL and OBIEE tools. Responsibilities and Requirements:
Ad-hoc reporting
Understanding of Annuity Data
DTCC POV set up and Testing
Understanding of DTCC POV record layouts
Good/clear communication skills
Coordination skills
Annuity Linking
The tool set up can all be taught. Must be a quick learner
Support file layouts
Understanding of Annuity Data
Communication skills with internal departments as well as carrier partners
Hogan/PMA
The client can only accept H1B candidates working directly for one of our client pre-approved sub-vendors 
About Signature Consultants, LLCHeadquartered in Fort Lauderdale, Florida, Signature Consultants was established in 1997 with a singular focus: to provide clients and consultants with superior staffing solutions. For the eighth consecutive year, Signature was voted as one of the ""Best Staffing Firms to Work For"" and is now the 14th largest IT staffing firm in the United States (source: Staffing Industry Analysts). With 26 locations throughout North America, Signature annually deploys thousands of consultants to support, run, and manage their clients' technology needs. Signature offers IT staffing, consulting, managed solutions, and direct placement services. For more information on the company, please visit www.sigconsult.com.

Job#: 251711Position: Technical Business Analyst (3 Data BA's positions)Client: Financial Services (Large National Bank)Location: Charlotte, NCDuration: : 9 months+ months (extendable to 24 months)Pay: $40-45/hr ($48.00 max C2C rate)Job Description: 3 BA's through the end of year. They need to support annuity applications. I need someone with strong data analysis experience to pull data using SQL and OBIEE tools. I'll have My BA write up more details. I need them ASAP I have the funding. I will put an IQN out there next week and will have to send to a few to be compliant. Giving you a heads up. Being more technical is fine they have to work with business people so good English.Ad-hoc reporting•Understanding of Annuity Data DTCC POV set up and Testing•Understanding of DTCC POV record layouts•Good/clear communication skills•Coordination skillsAnnuity Linking•The tool set up can all be taught. Need a quick learner•There are tables that only I have access to. It'll be difficult to get a contractor that level of access but we can try. I believe Ben has my same access so any table changes may need to be given to Ben. It doesn't happen often.Support•file layouts•Understanding of Annuity Data•Communication skills with internal departments as well as Carrier PartnersHogan/PMA•It can all be taught but any issues are so infrequent that maybe I stay as point of contact?Still have a monthly function of a few ICODE updates. There are existing instructions to follow but with eliminating the manual AGL file soon, the instructions need to be updated.Please contact me if you have a fully qualified candidates (fitting both the rate and required skills). We can only accept H1B candidates working directly for one of our client pre-approved sub-vendors (if you are receiving this message your company is on my list).About Signature Consultants, LLCHeadquartered in Fort Lauderdale, Florida, Signature Consultants was established in 1997 with a singular focus: to provide clients and consultants with superior staffing solutions. For the sixth consecutive year, Signature was voted as one of the ""Best Staffing Firms to Work For"" and is now the 14th largest IT staffing firm in the United States (source: Staffing Industry Analysts). With 25 locations throughout North America, Signature annually deploys thousands of consultants to support, run, and manage their clients' technology needs. Signature offers IT staffing, consulting, managed solutions, and direct placement services. For more information on the company, please visit www.sigconsult.com.Thanks for your interest, response, resume, referral, and/or status update,BrentPS - If I am not available please reach out to my two associates (Kane Smith at 704-946-3009) or (Jason Treen at 704-946-3009). Brent Hamilton RESOURCE MANAGER - SIGNATURE CONSULTANTS 200 S. College Street | Suite 1400 | Charlotte, NC 28202 t 704 334 0119 | d 704 946 3009 | c 980 253 2759 [Click Here to Email Your Resumé]  sigconsult.com
", to 2 years,"Banking - Financial Services, Computer Software","Charlotte, NC",$40.00 - $48.80 /Hour,Business Analyst
6,Professional Services,Randstad USA,"
IT Business Analyst for global bank
 2-4 week project in Midtown NYC office 
 ***Only candidates with IntelliMatch experience will be considered*** 
Job Details: 

Create BRD's off their IntelliMatch software to add better functionality for end-users
Articulate how data and analysis relates to KPIs
Define project requirements for functional and end-user modifications
Creates specifications provide direction to developers and/or the project team.
Work cross-functionally with our IT and Accounting and Procurement teams to inform of potential process and feature improvements
Communicate changes, enhancements, and modifications - verbally or through written documentation to directors, project managers, and other stakeholders
Ability to think analytically, solve problems, make decisions, and collaborate and work with a team in a fast paced environment
Develops expertise on business processes to recommend system enhancements to gain efficiency in application usage.
 
Technical Skills Required:

Experience working in the financial services industry, Preferably at least 5 years
Understand Relational Data bases, which IntelliMatch and IntelliTracs applications are connected to.
Experience in producing BRD, FRD, or TRDs when delivering various implementations for organizations.
Attention to detail and effective communicator 
Technologies We Use:

IntelliMatch experience A MUST 
SQL, StorQM, Microsoft Suite
Knowledge of MIDAS system helpful 

",5 years,Consulting,"New York, NY 10019",$40.00 /Hour,Business Analyst
7,"Banking, Information Technology, Management",OPTOMI,"

Sr. Business Analyst (Richmond, VA)
Optomi, in partnership with the world leader in consumer transaction technologies seeking a Sr. Business Analyst for their Richmond, VA location. The right candidate would be responsible for performing the role of a Sr. Business Analyst in a SCRUM based software development organization. The right Business Analyst will have client-facing experience gathering, understanding and documenting requirements. This Business Analyst will enjoy working with a company recognized by Forbes as One of America's Best Employers for 2017!

What the right candidate will enjoy:

The opportunity to work on highly visible projects within a multi-billion dollar company!
Highly competitive pay and growth opportunities!
The ability to work for a company named a top 10 ""Most Reputable"" Tech Company!
Working for a company recognized by Forbes as One of America's Best Employers for 2017!
Recognized by Technology Association of Virginia as a Top 10 innovative company!






Primary Responsibilities of the right candidate: 


Perform the role of a business analyst and a product owner in a SCRUM based software development organization
Gather, understand and document requirements
Create detailed functional specifications, user stories, acceptance criteria for product and process enhancements
Work together with scrum master and technical leads to groom backlog and plan sprints
Interact and coordinate efforts with other scrum teams, solution managers and customers
Create user manuals and product documentation
Drive ongoing improvements and efficiencies in product health, operational practices, tools and processes
Evaluate third-party products and specifications
Provide estimations of work based on requirements
Educate others on areas of expertise
Work under the supervision of an Engineering Manager
Perform other job related duties as assigned
Up to 25% travel to client sites



Experience of the right candidate:


Bachelor’s degree from an accredited college or equivalent industry experience
Required 4+ years of relevant experience
Experience working in agile environment
Experience working in a software and/or hardware development environment
Excellent written and verbal communication skills
Technical aptitude
Analytical thinker and problem solver
Detail oriented with a strong focus on quality
Ability to discuss technical concepts with development team





",4+ years,"Banking - Financial Services, Computer Software, Computer Hardware","Richmond, VARichmond, VA","$85,000.00 - $90,000.00 /Year",Business Analyst
8,"Information Technology, Retail",Insource Group Inc,"
What You Will Be Doing
You will be working on retail and omni-channel initiatives for e-commerce, mobile, social media, etc. We are looking for someone to partner with IT leadership and business stakeholders to gather requirements, translate and document business needs and enhance/develop effective business processes. You will be coordinating with cross functional teams and third party vendors to deliver strategic information technology initiatives to support a new customer rewards program.


What You Need for this Position
Experience and knowledge of:

Process Redesign / Re-engineering - analyzing global business activities/processes.
Applying a structured business architecture approach and methodology for capturing key views of the business and translating to applicable requirements for technology delivery.
Facilitating analysis of viable solutions to highly complex business problems.
Considering business needs across the enterprise and proactively defining strategy for aligning the business roadmap with the IT roadmap.
Analyzing structural relationships of the global business to identify opportunities for improvements.
Working with Marketing and CRM departments to coordinate Information Technology. requirements to support website and deployments and promotional campaigns.
Organization of the delivery and maintenance of the loyalty main website, mobile website and the Android and iOS native mobile applications.


What's In It for You


Get in on the ground floor with an exciting new loyalty program
A culture that values its people and talent
A workplace focused on integrity and open communication
Opportunities for idea sharing and creative collaboration


This is the opportunity to do something special, and be a part of a company’s new loyalty program.
Apply now to learn more about this opportunity!
",NA,"Consulting, Computer Software, Computer Hardware","12221 Merit DriveDallas, TX 75251",$40.00 - $50.00 /Hour,Business Analyst
9,Information Technology,Genesis10,"
Genesis10 is currently seeking a Business Analyst II with our client in the SEO industry in their Mountain View, CA location. This is a 12 month + contract position.Description: Seeking a Business Analyst II You will provide strategic, analytical and technical support for the Business Intelligence activities for your team You will use your business acumen and technical knowledge to develop and deliver Business Intelligence solutions for your internal customers You will work with the business in understanding their evolving requirements You will also work closely with Engineering to deliver practical solutions of real business benefit, and design and develop your own prototype solutions
Responsibilities: Build JS-based dashboards for data reporting  Use APIs to automate system changes This person will provide strategic, analytical and technical support for the Business Intelligence activities for the team This person will use business acumen and technical knowledge to develop and deliver Business Intelligence solutions for internal customers This person will work with the business in understanding their evolving requirements Will also work closely with Engineering to deliver practical solutions of real business benefit, and design and develop own prototype solutions Top 3 daily responsibilities 	 Develop and enhance tools and scripts to scale and automate data pipeline and reporting infrastructures our vertical insights Implement tools and GUI's to manage processes and report/visualize system performances Implement data extraction scripts to retrieve and transform data from logs using SQL   
Requirements: Bachelors degree in any field 2-3 years of experience in statistical analysis using one of the following languages R, Python, SAS, or a similar tool  2-3 years of experience in SQL (Must be able to create queries from scratch) and data analysis  Proficiency in data reporting and dash boarding  Proven technical troubleshooting and performance tuning experience Tack-sharp analytical abilities, coupled with a strong sense of ownership, urgency, and drive Fluent written communication and verbal agility  Desired Skills: 	 Degree in Computer Science or a related field  1-2 years of experience leading short projects cross-functional teams  Familiarity with AppEngine, MapReduce, and JS programming  Unix/Linux shell scripting experience  Previous company experience is a huge plus   Able to work as a W2 employee of Genesis10 (no Corp-to-Corp)
If you have the described qualifications and are interested in this exciting opportunity, please apply!About Genesis10:Genesis10 is a leading U.S. business and technology consulting firm with hundreds of clients needing proven talent and solutions to power their strategic initiatives.  If you are a high performing business or IT professional with solid, referenced experience, we want to meet you.  Genesis10 recruiters and delivery professionals are highly accomplished career advocates, who get to know you beyond your resume to position you with the opportunities that fit your skills, experience and aspirations.  We have benefit options to fit your needs and a support staff that works with you from placement throughout your engagement – project after project.   To learn more about Genesis10 and to view all our available career opportunities, please visit us at www.genesis10.com.  ""Genesis10 is an Equal Opportunity Employer, M/F/D/V”
",2-3 years,Internet - ECommerce,"Mountain View, CA",$72.41 - $94.13 /Hour,Business Analyst
