,category,company,details,experience,industry,location,salary,title
0,"Engineering, Information Technology, Design",Robert Half Technology,"
Ref ID: 04600-0010408370Classification: Business AnalystCompensation: $35.00 to $39.00 per hourRobert Half Technology has an immediate opportunity for an experienced Business Intelligence Developer. This is a temp to full time opportunity in Milwaukee WI. Responsibilities include: Application / Web Development Plans, documents, designs, develops, tests, debugs, and implements code and databases to industry standards. Design and develop departmental business intelligence, data warehousing and reporting solutions. Work with business users to establish reporting and analytic requirements. Assists in translating user's needs into technical deliverables. Understand integration points and develops solutions which interface with new and existing applications. Translate business requirements into report specifications. Develop and implement reports and queries in support of business analytics. Develop and implement interactive analytic reports and dashboards. Provide technical and business knowledge support to the team. Compile ad-hoc data and report requests. Ensure effective communication of user requirements. Development of web-based code including database and user interface design. Conduct and attend user meetings. Implementation and training assistance. SQL Development / BI / SSRS Administration of enterprise databases, to include the safekeeping, integrity and availability of the organization's data. Develops database systems and user interfaces to automate manual processes.

SSIS - SQL Server Integration ServicesTechnology doesn't change the world. People do.As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agenciesThe intersection of technology and people  it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.Apply for this job now or contact our branch office at 888.674.2094 to learn more about this position.All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2018 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
",65 years,"Computer Hardware, Computer Software","Milwaukee, WI 53219",$35.00 - $39.00 /Hour,Business Intelligence
1,"Engineering, Information Technology, Design",Robert Half Technology,"
Ref ID: 00900-9501199278Classification: IS/IT DirectorCompensation: $90,000.00 to $120,000.00 per yearOur client is seeking a full time permanent Senior Business Intelligence professional to join their team in Sandy Springs Atlanta, GA for up to $120,000. This client is a rapidly growing organization so they need someone that has experience wearing a lot of hats! Previous experience working in a start up, healthcare, or insurance organization a plus.

An ideal candidate would have: - Experience with DOMO would be huge plus; if not experience with at least one of the modern BI tools like Tableau, Microstrategy etc - Experience in actually building dashboards and ad hoc reports in these tools - Experience in working with multiple groups in the company to define their reporting/dashboarding needs - Experience working directly with the BI vendor and managing the relationship - Some functional knowledge around general business processes (like sales process or marketing automation or financial processes) Qualified candidates please apply and email resume to [Click Here to Email Your Resumé]Technology doesn't change the world. People do.As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agenciesThe intersection of technology and people  it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.Apply for this job now or contact our branch office at 888.674.2094 to learn more about this position.All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2018 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
",65 years,"Computer Hardware, Computer Software","Atlanta, GA 30328","$90,000.00 - $120,000.00 /Year",Business Intelligence
2,"Information Technology, Engineering, Professional Services",CyberCoders,"
This position is open as of 4/22/2018.Sr. Business Intelligence Developer - Amazing PositionIf you are a Sr. Intelligence Developer with experience, please read on!Top Reasons to Work with UsBased in Redmond, WA, we are a top technology consulting, marketing, and creative partner. We are a firm that delivers tremendous value to our clients using our IT solutions. We are looking to continuously expand and climb the ladder even further.What You Will Be Doing-You will be translating and taking complex data that you will need to join, blend, and understand to delivery quality solutions-You will be focusing on analysis, reporting, visualization side of data. -Will deliver projects with stakeholders business by utilizing different tools and methodologies-Identify source data issues/concerns, and work with appropriate personnel to address these issues-Deliver high quality projects on time and budget in fast paced environmentsWhat You Need for this Position-5+ years of Business Intelligence Development and MUST have experience with MSBI STACK-SSAS-SSIS-T-SQL-PowerBI/SSRS-DAX and MDX-Mentoring skills with consulting experience-Experience on SSRS, SSIS, and SSAS-Ability to develop reports in SSRS, Excel, PowerBI, or similar visualization toolsPreferred: -MSCE-Experience with MDX, DAX, and SSAS CubesWhat's In It for YouWe are offering a compensation package that includes benefits and a salary between $100K-$120K. We are based right in Redmond, WA, and have a culture that believes in a friendly work hard/play hard environment. We have ping pong tables, nerf guns, and focus on exceeding expectations.So, if you are a Sr. Business Intelligence Developer with experience, please apply today!Required SkillsBusiness Intelligence, Relational Databases, SQL Queries, SSAS, Ssrs, SsisIf you are a good fit for the Sr. Business Intelligence Developer - Amazing Position position, and have a background that includes:Business Intelligence, Relational Databases, SQL Queries, SSAS, Ssrs, Ssis and you are interested in working the following job types:Information Technology, Engineering, Professional ServicesWithin the following industries:ConsultingOur privacy policy: Your resume and information will be kept completely confidential.Looking forward to receiving your resume through our website and going over the job in more detail with you! CyberCoders, Inc is proud to be an Equal Opportunity Employer  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.  Your Right to Work – In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.

Business Intelligence, Relational Databases, SQL Queries, SSAS, Ssrs, Ssis
",#NAME?,Consulting,"Redmond, WA 98052","$100,000.00 - $120,000.00 /Year",Business Intelligence
3,Information Technology,Brooksource,"
Business Intelligence AnalystChicago, IL 6-month contract-to-hire$40-$45 per hour (depending on experience)Responsibilities:
This individual will be building out visualizations on data sourced w/Hadoop and Spark, from a newly rolled out Data Lake
Supporting Break Fixes
Acting as a Tableau SME for multiple groups and assisting various business arms in understanding visualizations
Reporting Drivers to achieve and deliver strategic Business reporting
Designing, developing, and integrating functional analytic reports using Tableau
Qualifications: 
Familiarity with relational database systems such as MySQL, Greenplum, etc.
Ability to write SQL queries
Familiarity with ETL processes and enterprise integrations
Big Data technologies (Hive, Spark, and the Scala language) is a plus
Familiarity with the end-to-end BI stack and process, from data sourcing/processing to front-end report development
Experience with visualizing data using tools such as (Tableau, Power BI, QlikView)-Tableau a preferred
Ability to handle abstract concepts and distill them into actionable tasks
About Eight Eleven:At Eight Eleven, our business is people. Relationships are at the center of what we do. A successful partnership is only as strong as the relationship built. We're your trusted partner for IT hiring, recruiting and staffing needs.For over 16 years, Eight Eleven has established and maintained relationships that are designed to meet your IT staffing needs. Whether it's contract, contract-to-hire, or permanent placement work, we customize our search based upon your company's unique initiatives, culture and technologies. With our national team of recruiters placed at 21 major hubs around the nation, Eight Eleven finds the people best-suited for your business. When you work with us, we work with you. That's the Eight Eleven promise.Eight Eleven Group provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, national origin, age, sex, citizenship, disability, genetic information, gender, sexual orientation, gender identity, marital status, amnesty or status as a covered veteran in accordance with applicable federal, state, and local laws. Eight Eleven Group provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, national origin, age, sex, citizenship, disability, genetic information, gender, sexual orientation, gender identity, marital status, amnesty or status as a covered veteran in accordance with applicable federal, state, and local laws.
",16 years,Internet - ECommerce,"Chicago, IL","$80,000.00 - $90,000.00 /Year",Business Intelligence
4,"Accounting, Finance, Information Technology",Pareto Solutions Group,"

POSITION:	Senior Financial/Business Intelligence Analyst
LOCATION: Midtown, Atlanta, GA
COMP.: $90k target though commensurate with experience
 
Responsibilities:

Work on budgets, forecasts (including financial modeling), and month end reviews. These will include performing variance analysis and formal write-ups. 
Collect data from Microsoft SQL Server, conduct ad hoc analysis/reporting, and create executive level presentations to share progress of business health specifically within the business unit.
Using advanced Microsoft Excel, turn data into actionable insights that would influence operational and strategic goals by which to drive the growth of the business. 
Should be well organized and have a proven track record of tackling complex business questions, mining data, and generating business relevant insights that are communicated effectively. 
Must also have strong attention to detail with the ability to quickly identify and resolve data issues/needs.



Bachelor’s Degree in Accounting, Finance, Economics, other quantitative fields (MBA Preferred)
Experience with SQL queries required (at least the ability to edit/modify existing queries)
Experience with Microsoft SQL Server is required
2+ years progressive financial analysis experience
Strong Excel skills required
Must be comfortable with creating and maintaining complex financial models and developing business metrics
Intermediate to Advanced experience working in Word, and PowerPoint
Experience creating and developing automated reports and dashboards preferred
Comfortable sharing analysis insights and key findings to internal clients and executives

",2+ years,Other Great Industries,"Atlanta, GA","$85,000.00 - $95,000.00 /Year",Business Intelligence
5,Information Technology,NA,"

Senior Business Intelligence (BI) Developer will assist in the design, development, and administrative control of all BI data extracts and reporting activity for Fulton County Schools. The developer will use critical thinking and analytical skills to plan, design, develop, test, coordinate, and implement business intelligence (BI) solutions for the District. Analyzes business, functional, and related issues to formulate and develop new or modified BI solutions. 
Create interfaces to exchange data to and from external systems. Coordinate solution test activities, analyzes test results, takes appropriate actions and completes the system documentation. 
Work directly with business owners to gather requirements and specifications. Performs quality assurance within the BI environment.



A minimum of 5 years of experience in development of BI/Data Warehouse solutions
Strong knowledge of Data Warehouse processes and Tabular Modeling concepts, with star and snowflake data models. Technical skills include experience with the Microsoft BI Stack including SQL Server Integration Services (SSIS), SQL Server Reporting Services (SSRS), Power BI Pro, Tabular modeling experience, and strong T-SQL and DAX skills. Experience with Azure Data Factory is a plus.

Strong T-SQL and DAX skills including advanced coding and performance and tuning 
Experience in dealing with complex and dirty data sources originating in multiple formats
Experience with data modeling, data analysis, data profiling and data mapping  
Experience with predictive and prescriptive analytics is a plus
Must have an understanding of general business practices, business analysis, requirements gathering 
Must have superior problem solving skills and techniques to resolve issues that arise with complex business systems 

",5 years,Airline - Aviation,"Please Choose An Address Or Enter A New One Below ...Atlanta, GA",$65.00 - $70.00 /Hour,Business Intelligence
6,Strategy - Planning,Irvine Technology Corporation,"
Large reputable and well branded industry leader is seeking a SAP/Oracle DW/BI Developer 
8 years of experience developing in Oracle Data Warehouse & SAP Business Warehouse.

Hands-on experience creating BW/DW data models.


Strong experience in designing and developing Business Objects tools like Web Intelligence will be a big plus.


Hands-on knowledge of Oracle DW 11C, SAP BW7.4, BI 4.2, ECC 6.0, SCM 7.0, BPC 10.0 preferred


Position requires expertise with Oracle DW, SAP Business Warehouse and Business Objects.


Experience in HANA is a big plus.


Hands on experience in Mixed scenarios of DW, BI/BW and HANA will be preferred.


Tableau and Power BI experience a plus.


",8 years,Other Great Industries,"Cerritos, CA","$130,000.00 - $150,000.00 /Year",Business Intelligence
7,Information Technology,FRG Technology Consulting,"
Business Intelligence Analyst - Philadelphia - $75k - $95k A Global Medical Research organization is seeking an Business Intelligence Analyst to join their growing IT team.My client is consistently looking to grow within the Telecommunications market, thus an Business Intelligence Analyst is a must have to provide fresh ideas. You will work in a multiple instances, proving you skills with Ad-hocs, database development and cross-functional communication. You will be able to demonstrate your strong data analytical knowledge within multiple instances. In this role you be responsible to provide strong data warehousing skills, hosting/running requirements gathering functions and report analysis. You will gain all-star exposure to a variety of new technologies and work with some of the best in the business!Desired Skills
5+ years with Business Analysis 
4+ years working Data Analysis 
4+ years working with Reporting Analysis 
4+ years working with Ad-hocs 
4+ years developing databases 
Benefits
401k matching
Excellent PTO
Guaranteed annual bonuses
Remote
**Only those currently Authorized to work in the US will be considered**
",5+ years,Computer Software,"Philadelphia, PA","$70,000.00 - $90,000.00 /Year",Business Intelligence
8,"Engineering, Information Technology, Design",Robert Half Technology,"
Ref ID: 02760-0010350580Classification: Database DeveloperCompensation: $125,000.00 to $130,000.00 per yearPOSITION SUMMARY: The BI Technical Lead will be responsible for working closely with the product owner to ensure reporting and design requirements are met. This person will be responsible for the training and mentoring of a group of Microsoft BI developers, and assigning tasks based on the priorities outlined by the product owner. The Technical Lead is responsible for ensuring the proper data is available to achieve the business objective for reporting and analysis across all areas of the enterprise. The technical domain includes conceptual, logical and physical data modeling, data standards, best practices, tool and technologies, data architecture, design, development, capacity planning, performance tuning, and administration. This role requires someone with strong technical backgrounds in data modeling tools as well as application development. ESSENTIAL DUTIES AND RESPONSIBILITIES: ? Works with BI Specialist and development team to design, plan implement, evaluate and enhance system architecture. ? Provides direction and oversight of the process of conceptual and logical data modeling. ? Validates user requirements are supported by the database schema design. ? Performs detailed data analysis and source data quality assessment. ? Designs and develops entity and attributes model descriptions and definitions and ensures that conflicts in descriptions and definitions are resolved. ? Designs, develops and maintains the subject area models (integrated, analytical/dimensional). ? Responsible for developing information architectures and data models. ? Develops detailed technical designs and works with cross-functional teams to implement those designs. ? Assist business analysts and reporting tool specialists in configuring the reporting tool and building standard reports/queries. ? Leads the design of the schema and data dictionary (metadata). ? Identifies the appropriate data sources with Business. ? Performs the activities necessary to support the standardization of entities and attributes. ? Assists analysts in source to target mappings. Specifies appropriate access levels to the databases through SQL Server security ? Leads any system migrations and major upgrades

EXPERIENCE AND BACKGROUND REQUIREMENTS: ? 7+ years of experience in technical architecture and application delivery ? Worked in an Architect/Technical Lead level ? Trained junior developers ? AGILE experience preferred ? Depth and breadth of both knowledge and hands-on implementation experience with Microsoft BI Stack: Microsoft SQL 2014, SSIS, SSAS, SSRS. ? Proficient in creating and maintaining SSAS OLAP cubes following star schema patterns and dimensional modeling best practices in SQL Server 2012 or newer, as well as data partitioning. ? Understands Microsoft SQL Server error logging for troubleshooting and incident reporting; proficient in SQL Profiler for providing query traces ? Ability to lead and mentor development team. ? Excellent verbal and written communication skills. EDUCATIONAL REQUIREMENTS: ? BS in Computer Science, Information Systems or related fieldTechnology doesn't change the world. People do.As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agenciesThe intersection of technology and people  it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.Apply for this job now or contact our branch office at 888.674.2094 to learn more about this position.All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2018 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
",7+ years,"Computer Hardware, Computer Software","Edison, NJ 08818","$125,000.00 - $130,000.00 /Year",Business Intelligence
9,Admin - Clerical,Harvard Resource Solutions,"
POSITION SUMMARY:
Responsible for handling inbound phone calls in Spanish and English pertaining to
property insurance questions.  The CSR may receive questions from borrowers, insurance agents, and financial institutions.   In addition to answering questions and assisting
clients, the CSR must be able to multi-task between various systems to research and document the phone calls.  The CSR has to respond quickly and accurately ensuring that both our internal and external standards are being met on a consistent basis.  Problem solving and problem resolutions skills are required as well as the ability to handle all calls in a professional manner.  Outbound calls are also often necessary.


MINIMUM REQUIREMENTS:
·     Must be fluent in Spanish and English– speaking, reading, and writing
·     Strong organizational experience
·     Previous call center experience required
·     Customer service orientated
·     Proficient in Windows based environment
·     Works well in a team environment
·     Strong analytical skills
·     Attention to detail
·     Excellent verbal and written communication skills
·     Previous property insurance and or mortgage servicing experience a plus
·     Attendance/Quality/Production must meet or exceed PFI standard
 
CUSTOMER SERVICE RESPONSIBILITIES:
·     Support all incoming telephone calls for clients
·     Respond to questions and requests from clients/customers/agents quickly and accurately
·     Have solid verbal and written communication skills
·     Excellent organization skills with the ability to work as a team and independently
·     Analytical skills
·     Ability to multi-task between various software programs, make outbound calls

PHYSICAL REQUIREMENTS:
·     Working primarily with fingers
·     Talking
·     Hearing
·     Repetitive motion
·     Sedentary work
·     Sight
",NA,Other Great Industries,"Troy, MI",$12.50 /Hour,Business Intelligence
