,category,company,details,experience,industry,location,salary,title
0,Information Technology,NA,"
***Candidates local to Dallas/Fort Worth area will only be considered at this time
National Healthcare organization is looking for a strong Excel/Access Analyst that is energetic and learns things quickly.
The Data Analyst will be responsible for, but not limited to, the analytical functions supporting client hospital systems in various capacities. Tasks include data analysis, measurement of compliance based on many factors and report development. Will provide expertise in analyzing data, finding solutions to complex ad hoc data requests, managing projects, managing customers and embracing constant change. The position also supports projects and ad hoc reporting for multiple internal customers. Interaction with department’s management, internal customers, and report interpretation are required. You will be required to work extensively in Excel doing Pivot tables, v-lookups, filtering, sorting and manipulating very large data sets. Must have amiliarity with table relationships and have basic SQL experience, price management or revenue accounting knowledge is preferred, good teamwork and collaboration skills.



Must have 3 - 5+ years of experience in a Data Analyst role
Must be very skilled in Excel Pivot tables, v-lookups, filtering, sorting and manipulating very large data sets
Proficient with MS Access
Minimum 3 - 5 years' experience with pharmacy sales/invoice and/or chargeback data through distributors is preferred
Must have the ability to meet short deadlines, balance multiple tasks and achieve high levels of productivity and accuracy with minimal supervision
Bachelor's degree in business, finance or statistics is nice to have

",3 - 5+ years,Healthcare - Health Services,"Irving, TX",NA,Data Analyst
1,Information Technology,KellyMitchell,"
KellyMitchell matches the best IT and business talent with premier organizations nationwide. Our clients, ranging from Fortune 500 corporations to rapidly growing high-tech companies, are exceptionally served by our 1500+ IT and business consultants. Our industry is growing rapidly, and now is a great time to launch your career with the KellyMitchell team.Position Title:  Sr. Tableau Data Analyst/ Birst ExpertManager is looking for Consultant to be proficient with Data Analyst skills, as well as Tableau/Birst development. We need a ""doer"", someone who can build and get things done!Job Scope:Will be responsible for Tableau/Birst development and perform functional data analyst role. This candidate will play key role in various integration projects, automation, potentially integrating API solutions, design, develop and implement creative Tableau/Birst infrastructure solutions. The Data Analyst is responsible for providing best-in-class reporting using data and analytics to measure organizational efforts. Develop automated regular performance reports and produce tables, graphs, and narrative analysis that communicate research findings to internal and external audiences, as well as templated solutions for customizable future additional reporting needs.Overall, the Data analyst will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements. The team that the Data Analyst will be supporting translates the wealth of data into actionable insights and strategies for the executive leadership teamIn this role you will: PARTNER closely with the Finance/Analytics team, as well as internal stakeholders to understand requirements and deliver a scalable data solution. You will be integral to brainstorming ideas, ongoing execution and subsequent insights. You should be expected to step up with little ‘hand-holding’. Analysts are EMPOWERED to work independently & deliver end-to end output. OWN the design & performance of tests and experiments, ie, helping to build a Staging, Development, and Production environments. Build data EXPERTISE and deep understanding of domain knowledge to share with the Finance/Analytics team so that they can own data quality for all allocated areas of ownership, as well as documentation for training purposes going forward. Create, utilize and integrate rich and dynamic reports and dashboard to CONVEY INSIGHTS. Be an ambassador for the analytics team's data driven culture and eager to serve data to further effectiveness of the Finance & Analytics team for the One Design organization
Responsibilities: Interpret data, analyze results using statistical techniques and provide ongoing reports. Identify, analyze, and interpret trends or patterns in complex data sets. Perform routine data quality checks and work with data owners to resolve issues. Work with the Finance & Analytics teams, as well as other Key Management Players, to prioritize business and information needs. Locate and define new process improvement opportunities. Analyze and mine both structured and unstructured data to drive product centric as well as user centric insights Create insightful automated dashboards and data visualizations to track key business metrics. Develop and test analytical solutions to be leveraged by internal client and Stakeholder. Craft compelling stories; make logical recommendations; drive informed actions.
Basic Qualification: BS / MS in Mathematics, Computer Science, Information Management, Economics or Statisticspreferred 5-7+ years experience as a data analyst or business data analyst Experience working with data visualization tools such as Tableau, Birst or PowerBI Excellent communication skills Proficient in Tableau required Proficient in Excel required Adept at queries, report writing and presenting findings Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy Experienced with both Mac and PC
Job Requirements: Strong knowledge of PowerBI, Tableau, Birst, and JIRA and integrating data into Tableau for a custom Dashboard visualizations/reporting Technical expertise regarding data models, database design development, data mining and segmentation techniques. Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks). Love of data: You should feel empowered by the presence of data and be comfortable getting your hands dirty. Able to communicate incisive insights in a succinct fashion – verbally and visually.

",5-7+ years,Other Great Industries,"San Francisco, CA 94103",NA,Data Analyst
2,Information Technology,Signature Consultants,"
Data Analyst Summary:Signature Consultants is seeking a Data Analyst for an opportunity in Richmond, VA. The Data Analyst is responsible for the design, development and administration of transactional and analytical data constructs/structures. Included within those responsibilities are the areas of data access and delivery technologies. There will be no OTJ except for data and systems training in this role. The candidate will coordinate others work while involved with multiple work streams, and may provide technical support on data warehouse teams. Data set sizes are usually huge (in excess of hundreds of millions of records).Requirements: 
Expertise in data quality, data organization, metadata, and data profiling
Demonstrated ability to move from one sequential assignment to the next (work environment and priorities can change quickly depending on business needs)
Demonstrated ability to move data between production systems and across multiple platforms
5+ years' experience with Financial Services clients
Experience with major querying tools desired
Desired Qualifications:
Common skill sets - Oracle, VB and UNIX 5+ years' experience OLAP/SQL Tools
5+ years' experience with MVS, Teradata, SAS, Brio or comparable, Hyperion desired
Ability to communicate strategies and processes around data modeling and architecture to cross functional groups and senior levels
Ability to influence multiple levels on highly technical issues and challenges
About Signature Consultants, LLCHeadquartered in Fort Lauderdale, Florida, Signature Consultants was established in 1997 with a singular focus: to provide clients and consultants with superior staffing solutions. For the seventh consecutive year, Signature was voted as one of the ""Best Staffing Firms to Work For"" and is now the 14th largest IT staffing firm in the United States (source: Staffing Industry Analysts). With 26 locations throughout North America, Signature annually deploys thousands of consultants to support, run, and manage their clients' technology needs. Signature offers IT staffing, consulting, managed solutions, and direct placement services. For more information on the company, please visit www.sigconsult.com.
",5+ years,Computer Software,"Richmond, VA",NA,Data Analyst
3,Engineering,Bartech Group,"
Job Description   If you are an experienced DATA ANALYST looking for a position with a leading company, Bartech can help! We are a leading staffing firm and our clients include some over the nation’s biggest companies. Our client has a need for a DATA ANALYST. This is a contract position; however it is not uncommon for assignments to transition into permanent positions with our client companies. If you have the background we are looking for, and you are interested in an opportunity to get your foot in the door with leading company, we want to talk with you!                        DATA ANALYST         Job Responsibilities Your specific duties as a DATA ANALYST will include:  The Change Management Specialist is a key component to the overall success of company’s vehicles both pre- and post-launch. As a product evolves throughout its lifecycle, this specialist will be the voice of the organization influencing the business decision for product changes. Cross-functional collaboration with varying levels of management and technical leads from both the facility and Product Development Coordinate and deliver organization impact analyses to the necessary parties Manage, track, and report production changes with organization impact Prepare and effectively deliver executive management presentations Mature and progress the organizations change management processes  DATA ANALYST Job Requirements As a DATA ANALYST you must represent our company well by being responsible, punctual and motivated to go above and beyond the call of duty. You must also be highly detail-oriented and organized with excellent analytic and problem-solving abilities. It is also important that you display excellent verbal and written communication and interpersonal skills.  Bachelor's degree in Automotive Technology, Electrical Engineering, Mechanical Engineering, Program Management, or related field Ability to interact and network effectively with various personality types Strong communication skills--written and verbal Familiarity and ease with office tools, such as PowerPoint, Excel, and Word Ability to multitask and work in a fast-paced environment 3+ years of engineering and/or aftersales experience in the automotive industry 2 years of work experience as a technician in a dealership or independent repair shop Strong technical aptitude and understanding of the organization and/or the dealership environment Strong organizational, self-management, and negotiations skills Experience in presenting ideas and concepts to all levels of management Ability to speak Italian and/or Spanish Prior program management experience in a technical capacity Maybe required to drive a company car. Valid driver’s license is required as well as clean driving record. Maybe required to travel domestically (0-5%)    DATA ANALYST  As a DATA ANALYST with Bartech, you will be working through an established and respected staffing organization with 40 years of serving as a trusted partner to our client companies. We are dedicated to providing our talent with personal, responsive attention, and will assign an employee care representative to answer any questions or concerns that you might have. Depending upon the client, the assignment and your performance, you can find potential opportunities for direct employment. Your hard work and professional dedication will be rewarded with competitive compensation, including benefits. Available benefits for DATA ANALYST Position may include (but are not limited to):  Exceptional medical, dental, and vision 401(k) Paid time off, including holidays                                                     Make the most of your experience! Apply now!  Applicant must be eligible to work in the US for immediate opening. Keywords: SPSS, MINITAB, EXCEL, OEM                                                                              
",3+ years,Automotive - Motor Vehicles - Parts,"Auburn Hills, MI",NA,Data Analyst
4,Information Technology,NA,"
Hello 
Please send me your latest resume if you are available and interested in this positon.
 
Role- Data Analyst 
Location – Nashville, TN
Duration- 12+ Months
 
Very strong in writing SQL queries
ETL/BigData
Someone who can analyze and read the data correctly. 
Some testing, QA, exp will be VERY helpful. 
Work exp in Health Care domain. (desirable) 
Knowledge in SQL Server/Db2/teradata
5-7 Years of experience, with good analytical and excellent communication skills
Knowledge of Data Masking (desirable)

Should be a very good team player

Hello 
Please send me your latest resume if you are available and interested in this positon.
 
Role- Data Analyst 
Location – Nashville, TN
Duration- 12+ Months
 
Very strong in writing SQL queries
ETL/BigData
Someone who can analyze and read the data correctly. 
Some testing, QA, exp will be VERY helpful. 
Work exp in Health Care domain. (desirable) 
Knowledge in SQL Server/Db2/teradata
5-7 Years of experience, with good analytical and excellent communication skills
Knowledge of Data Masking (desirable)

Should be a very good team player
",5-7 Years,Healthcare - Health Services,"Nashville, TN",NA,Data Analyst
5,Distribution - Shipping,Quest Financial,"
Data Analyst - Key Accounts 
 
Company is a license sports apparel manufacturer seeking potential candidate for key accounts team. The Data Analyst will be responsible for facilitating growth of his/her accounts, based on in-depth analysis as well as regular item maintenance. He/she will have interaction with his or her account team, company executives, sourcing & development teams.
 
Primary Responsibilities and Duties
 
•             Play a key role in defining data required for business intelligence needs, data collection, merging and combining data sets based on best needs
 
•             Prepare weekly sales reports and writes weekly inventory replenishment scripts
 
•             Provide customer support to Walmart by acting as a liaison between the company’s internal teams (Marketing, Distribution, Operations, and Customer Service) and Walmart Staff.
 
•             Use Retail Link to monitor customer requirements and performance ratings, manage vendor guidelines.
 
•             Maintain company items in retailer systems through data entry, and ongoing item maintenance as needed
 
•             Create stock changes for internal product transfers
 
•             Serve as main point of contact for return authorizations, creating documents as required
 
•             Assist with image/art maintenance and visibility on retailer’s site(s), troubleshoot any issues
 
•             In partnership with team, support price changes to align with promotional and business needs ad hoc analysis 

Key Functional Skills/Knowledge

3yrs MIN exp working with EDI systems (they use Retail Link)
 
•             Demonstrated ability to analyze data and make appropriate recommendations
 
•             Ability to proactively identify appropriate reporting needs and data sources
 
•             Communicate and work collaboratively internally and externally
 
•             Quick learner with demonstrated ability to develop a strong knowledge of systems and processes
 
•             Demonstrated ability to effectively collaborate cross-functionally and manage multiple priorities
 
•             Results driven, and team oriented
 
•             Desire to work in a high performing high sku/UPC volume team environment
 

 
Experience:
•             Retail Link : 1 year (Preferred)
•             Advanced Microsoft Office tools (Excel, PowerPoint)
•             1WorldSync Item Creation (Preferred)
•             IMA Item Maintenance (Preferred)
•             License apparel industry: 1 year (Preferred)
Education:
•             Bachelor's degree (Preferred) in Computer Science, Information Systems, Mathematics, Data Analytics, Statistics, Economics, or Business
Or
•             Four years of professional experience applying techniques, knowledge, and concepts of business analytics in retail/wholesale buying, marketing support, sales, or planning role(s)
",1 year,Fashion - Apparel - Textile,"Atlanta, GA","$45,500.00 - $50,000.00 /Year",Data Analyst
6,"Finance, Research, General Business",Medical Data Systems,"





 Data Analyst 


 Summary 

 Medical Data Systems is looking for an experienced Data Analyst that can turn data into information and information into insight. This position will work closely with the President of MDS analyzing and monitoring data with the goal of recommending Operational improvements based on business needs and trends. The Data Analyst’s responsibility is to analyze data with the intent to help MDS make informed business decisions. This could, for example, mean determining how to price business, reduce cost and/or solve issues that cost the company money. 

 



 Data Analysis Responsibilities 


 ●  Analytical Skills: Respond to requests to analyze data abnormalities that may be of concern.  
 ●  Critical Thinking: Perform analysis of data, outline trends and spot inconsistencies. Based on the analysis results, work closely with the President of the company on problem resolution and strategic changes. 
 ●  Communication Skills: Expected to present findings and translate data into an understandable document. The right candidate must be able to write and speak clearly, easily able to communicate complex ideas. 
 ●  Attention to Detail: The candidate must be vigilant in their analysis to come to correct conclusions.  
 ●  Quality: Ability to ensure focus on quality and urgency at all times in a very fast pace environment and monitor performance and quality control plans to identify improvements. 

















 Job Requirements 
 ●  Bachelor degree in related field (i.e. math, statistics, computer science). 
 ●  4+ years of experience as a Data Analyst. Salary based on experience level. 
 ●  Strong analytical problem solving abilities with experience analyzing raw data to draw accurate conclusions a must. 
 ●  Familiarity with working with executive leadership. 
 ●  Strong knowledge of mathematical principles and a comfort level with numeric data and calculations required. 
 ●  Ability to work in a very fast pace environment and multi task at a high rate of success. 
 ●  Ability to take initiative and proactively offer suggestions and resolutions. 
 ●  Strong proficiency in Excel required.


",4+ years,"Healthcare - Health Services, Credit - Loan - Collections","755 West NASA BoulevardMelbourne, FL 32901",NA,Data Analyst
7,Information Technology,Strategic IT Staffing,"
Data Analyst Direct Hire/Permanent ($65,000 - $70,000 plus benefits) Decatur, GADo you have experience in the healthcare or clinical field? Would you like to work on a small team in which you have direct access to the CIO and CEO? If so, this opportunity is for you! Here are the details: ​ Reporting to the CIO in a team of 3, the Data Analyst focuses on how patient data corresponds to larger trends for the method of treatment. This position will assist in gathering, compiling, modeling, validating, and analyzing data.   Day to day responsibilities may include:
Generate reports providing statistical data used as a source for determining which adjustments and changes to implement.
Use patient data to monitor quality of care or to track trends in a particular disease and its treatment and costs.
Review the numbers, trends, and data and come to new conclusions based on the findings.
Respond to client needs, data, and interpretation through regular contact with members.
Visit members and assist them with data-related needs, development of individualized project plans, and provide feedback based on data analysis.
What we are looking for:
At least 2 years of experience in a healthcare, clinical or pharmaceutical environment
Knowledge of medical terminology
A bachelor's degree in health informatics, computer science, statistics, or related field
AHIMA CHDA certification would be a big plus
Fluency in MS Excel and a working knowledge of BI reporting tools
Solid SQL query skills
What we can offer you: In addition to competitive salaries and growth opportunities, employees can take advantage of the following benefits programs: 
100% employer-paid health insurance!
Retirement
Education reimbursement
Ongoing training opportunities throughout the year
About Strategic IT Staffing  With over 20 years of staffing experience in the technical information field, Strategic IT Staffing knows the industry well from the most rewarding jobs available to the hottest career choices to make. In addition, we are owned and operated by industry experts who have worked in the information arena for over two decades. When you choose to work through Strategic IT Staffing, you choose a team approach to employment. We match your career choice and skills with an employer who needs your knowledge and expertise. We make sure you are in control of your career. Strategic IT Staffing is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.
",2 years,"Computer Hardware, Computer Software, Healthcare - Health Services","Atlanta, GA","$65,000.00 - $70,000.00 /Year",Data Analyst
8,Information Technology,"Neotecra, Inc.","
Hi,



We are actively hiring for Data Analyst at Syracuse, NY.



Please find the details below. If interested, please respond back with your updated word format resume.No C2C/C2H. This position is on W2 only for US Citizens/ Green Card/ EAD.



Job Title: Data Analyst
 

Location: Syracuse, NY

 

Duration: 12+ Months

 

Job Description:
Analyze data and activities to provide relevant and up to date information to support decision-making and the effective working of the company. At the higher levels this role will also design and implement procedures and policies within their area of work to improve the working of the company.

Key Accountabilities:   

Proactively research, produce, monitor and analyze cost, policy or other information to enable analysis of key themes and trends. 
Manage the day to day relationship with relevant internal parties or employees in order to understand their requirements, deliver appropriate, customized solutions and advice, and build cross-functional working in line with the company's policies and processes.
Develop and maintain effective relationships with key stakeholders in order to share best practice, provide technical advice and build bases of influence.


Capability Requirements:

Analytical Thinking: After analyzing data, has ability to see multiple relationships, identifying several likely causes or consequences of a situation
Conceptual Thinking: Sees patterns or trends in data or situations, notices when something is similar to a past situation
Information Seeking: Establishes the facts by digging deeper, asking probing questions and challenging initial responses from different sources
Impact and Influence: Uses direct persuasion to influence others, using basic data, logic or a solid business case
Team Leadership: Promotes team effectiveness by soliciting input from team members, communicating expectations of the team and delegating responsibilities while providing support and structure


Education:

A Bachelor's degree in a related area and up to 5 years of related experience, or equivalent work experience.
An advanced degree/credits is preferred. Experience of managing a team.
In-depth experience of a field or multiple fields of work processes.
Knowledge of relevant industry practice and legislation.
Knowledge of current trends within the industry and developments in legislation or regulation.
Knowledge of company's business operations, company policies and practices.
Proficient in relevant software e.g. Microsoft Office products (Excel, Word, PowerPoint)

If interested, please respond back with your updated word format resume or apply for this job for complete details.

Regards

Dev
", to 5 years,Energy - Utilities - Gas - Electric,"Syracuse, NY",$35.00 - $40.00 /Hour,Data Analyst
9,Skilled Labor - Trades,Eliassen Group,"
Our industry-leading client is seeking an experienced Sr. Ad-hoc Data Analyst to join their team. Responsibilities of the Sr. Ad-hoc Data Analyst:  Query and analyze mobile data and address any issues Bring issues to the attention of business leadership to formulate analysis approach Utilize advanced SQL and data analysis techniques in a Hadoop/Hive environment Communicate and present analytical findings to business leaders  Validate data and metrics in other reports by matching it to source  Requirements of the Sr. Ad-hoc Data Analyst:  Expertise in SQL/databases; preferably in a Hadoop/Hive setting Exceptional data analysis skills including crosstabs, trending, summary stats  Ability to draw inferences from data Excellent communication, presentation, and problem-solving skills Ability to innovate in a fast-paced, dynamic work environment Solid understanding of the basics of business and accounting Experience in cable or wireless preferred  Job ID: 304309 About Eliassen Group: Eliassen Group provides strategic talent solutions to drive our clients’ innovation and business results. Leveraging nearly 30 years of success, our expertise in IT staffing, Agile consulting, creative services, managed services, and life sciences enables us to partner with our clients to execute their business strategy and scale effectively. Headquartered in Reading, MA and with offices from coast to coast, Eliassen Group offers local community presence, deep networks, as well as national reach. For more information, visit http://www.eliassen.com. Eliassen Group is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status. Don’t miss out on our referral program! If we hire a candidate that you refer us to then you can be eligible for a $1,000 referral check!
",NA,Employment - Recruiting - Staffing,"Stamford, CT",NA,Data Analyst
