,category,company,details,experience,industry,location,salary,title
0,Information Technology,OPTOMI,"
Senior Data Architect (AWS)
Optomi, in partnership with one of the world’s largest financial services company that is migrating their entire environment into the AWS cloud, is seeking a Data Architect (AWS) that will be engineering and building out massive enterprise sized data lakes that will scale their entire company’s data across the world into a centralized data management system that is in the cloud!
The Data Architect will be a part of the Enterprise data architecture team to help steer strategic technology direction, define target state architecture, technology roadmaps, build reference implementations and mentor others while championing and maturing the enterprise architecture practice.
What the Right Professional Will Enjoy!

Work on End to End migration of building out a brand new Database Architecture team and moving everything to AWS.
Have the opportunity to grow and eventually be the SME across the entire company that supports the major countries across the globe.
The environment is challenging and makes you feel like a small company within a big company!
Have the opportunity to work with a company that handles $800 billion dollars in assets across the entire world and structure that data into the AWS cloud!

Apply today if your background includes:

7+ years of experience with building, integrating, and designing Databases and Database Architectures.
Expert fundamentals of several AWS technologies such as Redshift, EMR, Glue, S3, EC2, Lambda, Athena, VPC, autoscaling architectures and ELB or similar.
Experience designing and migrating highly scalable relational or non-relational databases into an AWS environment.
3+ years of hands-on experience developing with Java, Python, and Scala.
Build and create Hive queries to move data into large Data Lakes.

Responsibilities:

Responsible for information architecture (data governance, data solutions, analytics & reporting) that aligns with architecture principles, technology standards, best practices and guidelines.
Hands-on development with Java, Python, and Scala solutions.
You will also write various Java/NodeJS ETL pipelines and develop them accordingly.
Develop ingestion pipelines (ETL) to move data into NoSQL and relational stores.
Build out large Data Lakes and metastores.
Engage with business and technology leaders to understand the strategy, articulate solution options, evaluate tradeoffs and influence key decisions
Serve as a subject matter expert for information and Data cloud architecture - best practices, design patterns, tools & platforms.
Develops and extends the Information Architect’s reputation as an expert within the data architecture discipline by educating people at all levels about data architecture, attending industry group forums, making presentations to various groups and participating with vendors in the assessment of new technologies.



7+ years of experience with building, integrating, and designing Databases and Database Architectures.
Expert fundamentals of several AWS technologies such as Redshift, EMR, Glue, S3, EC2, Lambda, Athena, VPC, autoscaling architectures and ELB or similar.
Experience designing and migrating highly scalable relational or non-relational databases into an AWS environment.

",7+ years,Banking - Financial Services,"921 East Fort AvenueBaltimore, MD 21230","$130,000.00 - $200,000.00 /Year",Data Architect
1,"Information Technology, Banking",Information Technology Group LLC,"
Contract Only


Job Summary:
This position will be responsible for the data architecture, design, modeling, analysis and performing of related technical activities for a new technology solution under development. These responsibilities will be executed in collaboration with solution architects, development teams and business partners. He/she will be responsible for leading the technical team through implementation of data designs and data related practices which require advanced technical, communication, and execution skills in accordance with local and national technology practices.

 
Key Activities:


• For this project will develop and lead data architecture strategy and solution recommendations in support of business strategies.  • Develops and executes on the data modeling approach for project to align with business line strategic effort.  • Provides thought leadership and consulting services for data related work to business line and technologists for the project.  • Oversees and executes in partnership with other technologists and project team members the mapping of data sources, data movement, interfaces, and analytics, with the goal of ensuring data quality. •  Acts with a great deal of discretion within general scope of established operational goals and plans within the context of local and national data standards.  • Requires high degree of independent judgment and competence to achieve results and resolve significant issues.  • Delegates tasks, provides direction, serves as a knowledge resource, and provides consultation to other technical staff on data related architecture, designs and models.       

 


Qualifications:
 • Candidate is required to have a Bachelor’s degree from an accredited college or university with specialization in an information technology field, or equivalent combination of education and related experience  • At least 6 years data architecture experience, with expertise in both transactional and data warehouse modeling  • Requires subject matter expertise in field, and a broad understanding of principles, and extensive use of analysis and decision-making to resolve complex, often unique issues, relating to a specialized data related disciplines.  • Demonstrated ability to ensure logical sequence and/or organization of data and related processes.  • Advanced skill in SQL database query language required.  • Working knowledge of related database, business intelligence, ETL, and middleware technologies required with Informatica ETL experience strongly desired.  • Excellent initiative, innovative thinking skills, and the ability to analyze details and adopt a big-picture view.  • Excellent oral and written communication skills.   • Ability to explain complex technical information to technical and non-technical contacts.  • Excellent interpersonal skills.   • Ability to effectively build relationships, promotes a collaborative and team environment, and influences others.  • Accomplished analytical skills.
 
",6 years,Banking - Financial Services,"Kansas City, MO",NA,Data Architect
2,"Engineering, Information Technology, Design",Robert Half Technology,"
Ref ID: 03510-9501197370Classification: Database ArchitectCompensation: $48.00 to $60.00 per hourCurrently looking for a Data Architect in Bartlesville. This role is Responsible for developing and implementing the data models for: assigning reports dashboards business intelligence applications. You will be responsible for gathering necessary data requirements,understanding presentation layer needs developing the semantic layer, analytic views, virtualization layers, logical data models, working with the application DBA's to implement better physical data models and working with developers on solving challenging and difficult data and data performance issues. This Data Architect will be working with database developers, DBAs, architects, data quality analysts, and other teams as well as manages relationships within context of the individual role. 7-10 years of experience. Senior level. Understands advanced aspects of discipline and is viewed as an expert in a given field. Applies broad range of competencies to develop solutions to complex problems. Influences others to achieve objectives. Often provides specialized/technical/functional guidance to others within department and/or business asset. If this Data Architect role is interesting to you , don't waste time to talk to me! Contact [Click Here to Email Your Resumé] or call me at 918-493-241. No Corp to Corp.

Data Architect Teradata DBA SQL OracleTechnology doesn't change the world. People do.As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agenciesThe intersection of technology and people  it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.Apply for this job now or contact our branch office at 888.674.2094 to learn more about this position.All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2018 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
",65 years,"Computer Hardware, Computer Software","Bartlesville, OK 74003",$48.00 - $60.00 /Hour,Data Architect
3,Consultant,FRG Technology Consulting,"
Azure Data Architect-8 Months-90% Remote-100-130/hrOur client is a large consultancy based in Indiana and has a customer in Columbus who urgently needs an Azure Data Architect to help with a backfill for an ongoing project. They are willing to pay anywhere from 100-130/hr depending on the quality of the contractor. The contractor can start as early as Monday, and this will be a remote contract besides the first week which is mandated on-site in Columbus, Indiana.The contractor must be client facing**Project Scope:Guidance on MSBI/Azure Data stack that includes:PaaSSource=>Azure Data Lake=>Azure SQL DB (DW, DMs)=>AAS=>Power BI (Reporting, Desktop and Service)Both HDInsight, sqoop and SSIS on Iaas VM used for movements IaaSSSIS=>SQL Server RDBMS (DW)=>SSAS=>Power BI, Excel (Reporting, Desktop and Service)SSIS on Iaas VM used for movements Moving from IaaS stack to PaaS, plus new solutions in the PaaS stack concurrently. Lift and shift IaaS to PaaS, plus eventually merge solutions within the PaaS environment. How to do both (new projects + lift and shift) concurrently and maintain momentum, project plan for both. Currently Corp IT function owns getting things from Source to DL (and associated HDInsight and sqoop items) and onto Azure\SQL Server\DB staging tables. They are interested in cataloging the data (Azure Data Catalog) and options for future ELT\ETL processes (SSIS on Azure VM, ADF v2 + Procedures, ADF v2 with SSIS integrated runtime, Azure Managed Instance…guidance and working on different possibilities once decided to try it out).Interviews have already begun and the start date is looking to be within the next 2-3 weeks, so please send your resume to [Click Here to Email Your Resumé] if interested or call me right away at 646 553 6275.FRG Technology Consulting is the global leader for Cloud recruitment, advertising more AWS and Microsoft Azure jobs than any other agency. We deal with both AWS and Microsoft Partners & End Users throughout North America. By specializing solely in placing candidates in the Cloud Technology market I have built relationships with most of the key employers in North America and have an unrivalled understanding of where the best opportunities and AWS and Azure jobs are. I understand the need for discretion and would welcome the opportunity to speak to any Amazon Web Services and Azure candidates that are considering a new career or job either now or in the future. Confidentiality is of course guaranteed. For information on the Cloud market and some of the opportunities and Cloud jobs that are available I can be contacted on 646-553-6275. Please see www.frgconsulting.com for more fantastic Cloud opportunities! FRG Technology Consulting Inc. is acting as an Employment Agency in relation to this vacancy.  Azure Data Warehousing/Azure Data/BI/PowerBI/Azure SQL

Guidance on MSBI/Azure Data stack that includes:PaaSSource=>Azure Data Lake=>Azure SQL DB (DW, DMs)=>AAS=>Power BI (Reporting, Desktop and Service)Both HDInsight, sqoop and SSIS on Iaas VM used for movements IaaSSSIS=>SQL Server RDBMS (DW)=>SSAS=>Power BI, Excel (Reporting, Desktop and Service)SSIS on Iaas VM used for movements Moving from IaaS stack to PaaS, plus new solutions in the PaaS stack concurrently. Lift and shift IaaS to PaaS, plus eventually merge solutions within the PaaS environment. How to do both (new projects + lift and shift) concurrently and maintain momentum, project plan for both. Currently Corp IT function owns getting things from Source to DL (and associated HDInsight and sqoop items) and onto Azure\SQL Server\DB staging tables. They are interested in cataloging the data (Azure Data Catalog) and options for future ELT\ETL processes (SSIS on Azure VM, ADF v2 + Procedures, ADF v2 with SSIS integrated runtime, Azure Managed Instance…guidance and working on different possibilities once decided to try it out).
",NA,Consulting,"Columbus, IN",$100.00 - $130.00 /Hour,Data Architect
4,Insurance,BCforward,"
Highly desired experience with managing and organizing business requirements; AXON - Informatica tool set; Confluence - JIRA; and Agile methodologies.
Responsible for aligning data solutions to business requirements by planning and managing data architecture work. Coaches others on data architecture matters. Primary duties may include, but are not limited to: Sets direction for the use of industry-accepted data architecture practices and techniques both within the enterprise and among external business partners. Sets direction for the use and periodic review of data architecture principles, standards, guidelines and concepts throughout the enterprise. Aligns enterprise and industry data solutions to achieve competitive advantage and establish the necessary framework to accomplish this. Collaborates with allied disciplines to ensure the integration of modeling tools and work practices across the enterprise. Stays apprised of best practices for physical design for at least two major DBMS platforms on the technology tool stack and ensure that this knowledge is reflected in Data Architecture work practice documentation. Ensures collaborations are in place to support an integrated approach to data quality assurance within the enterprise and with external business partners. Ensures that an enterprise metadata management strategy is in place and that integrated tool support and work practices are in place to support that strategy across the enterprise. Develops white papers addressing common issues, situations and/or misunderstandings that can be used by Data Architects. Maintains awareness of the data volumes expected in the next five years and works proactively to evaluate systems to ensure that they can handle anticipated growth. Knows the existing environment including the important internal databases, the external data that will be integrated, and the data quality characteristics. Maintains awareness of governmental factors including regulations and governmental reporting requirements. Requires a BA/BS degree in related discipline; 8 or more years data management experience; or any combination of education and experience which would provide an equivalent background. MS/MA degree preferred. Data modeling background required. 8 years of health care industry experience preferred. 12 years of information technology experience preferred

Highly desired experience with managing and organizing business requirements; AXON - Informatica tool set; Confluence - JIRA; and Agile methodologies.
Responsible for aligning data solutions to business requirements by planning and managing data architecture work. Coaches others on data architecture matters. Primary duties may include, but are not limited to: Sets direction for the use of industry-accepted data architecture practices and techniques both within the enterprise and among external business partners. Sets direction for the use and periodic review of data architecture principles, standards, guidelines and concepts throughout the enterprise. Aligns enterprise and industry data solutions to achieve competitive advantage and establish the necessary framework to accomplish this. Collaborates with allied disciplines to ensure the integration of modeling tools and work practices across the enterprise. Stays apprised of best practices for physical design for at least two major DBMS platforms on the technology tool stack and ensure that this knowledge is reflected in Data Architecture work practice documentation. Ensures collaborations are in place to support an integrated approach to data quality assurance within the enterprise and with external business partners. Ensures that an enterprise metadata management strategy is in place and that integrated tool support and work practices are in place to support that strategy across the enterprise. Develops white papers addressing common issues, situations and/or misunderstandings that can be used by Data Architects. Maintains awareness of the data volumes expected in the next five years and works proactively to evaluate systems to ensure that they can handle anticipated growth. Knows the existing environment including the important internal databases, the external data that will be integrated, and the data quality characteristics. Maintains awareness of governmental factors including regulations and governmental reporting requirements. Requires a BA/BS degree in related discipline; 8 or more years data management experience; or any combination of education and experience which would provide an equivalent background. MS/MA degree preferred. Data modeling background required. 8 years of health care industry experience preferred. 12 years of information technology experience preferred
",8 years,Healthcare - Health Services,"Atlanta, GA",$75.00 /Hour,Data Architect
5,Information Technology,Mason Frank,"
Do you want to step into a Director level position with a top Salesforce Global Strategic Partner! Apply if you are ready to work in a highly engaging and innovative work environment that has a clear career trajectory to get you to a Director level title. This position will allow you to create the roadmap for Salesforce within the company and manage the Salesforce platform. Gain invaluable experience working for Fortune 50 companies with a firm growing 30% annually.The company prides itself in the diversity of its employees and is willing to pay for continual training and development of skills. If you're interested in further cultivating your technical skillset, they offer an Architect Academy where you can work directly with high level Salesforce Architects, Data Architects and CTA's to further develop yourself. This client is ranked in the elite top 3 within the Salesforce.com atmosphere and has a strong presence on a global scale. A competitive salary is based on experience is offered with this positions well as full benefits, unlimited PTO, volunteer work and a lucrative bonus opportunity. Possible remote flexibility contingent upon quality of work delivered.Responsibilities
Lead data management and migration projects
Develop, maintain, and review data processes and architecture for both on-premise and cloud-based data systems
Conduct team reviews and recommend data modeling, administrative, and design improvements
Demonstrate ability to learn and research advanced data technologies and concepts, learning new skills and software as necessary
Produce highly detailed document artifacts and maintain them for the duration of projects
Assess all risks and offer mitigation strategies, communicating impacts to project across multiple channels
Interpret client functional and informational needs and turn them into data requirements, process models, and active systems
Skills & Experience
Possess a client-focused attitude through conversations and documentation
Experience with master data management (MDM), data governance, data security, data quality and related tools desired.
Demonstrate deep data integration and/or migration experience with Salesforce.com and other cloud-enabled tools
Demonstrate expertise in complex SQL statements and RDBMS systems such as Oracle, Microsoft SQL Server, PostGres
Demonstrate experience with complex coding through ETL tools such as Informatica, SSIS, Pentaho, and Talend
Experience with full-fledged data warehouse or data mart models
Experience with both dimensional and 3rd normal form data modeling, data integration, and reporting
Related certifications in Informatica and Salesforce a plus
Previous experience in consulting highly desired
Interviews happening today! Don't miss your chance to join one of the top firms in the Salesforce world. Please call me on 212-594-1495 or email your resume to [Click Here to Email Your Resumé] for the opportunity to interview TODAY and show why you would be a valuable asset to this global organization! Mason Frank International is the leading Salesforce.com recruitment firm in the US, advertising more Salesforce.com / SFDC jobs than any other agency. We deal with both SFDC Partners & End Users throughout the world and we have never had more live requirements. By specializing solely in placing candidates in the Salesforce.com market I have built relationships with most of the key employers in the US and have an unrivalled understanding of where the best opportunities & SFDC jobs are.I understand the need for discretion and would welcome the opportunity to speak to any Salesforce.com candidates that are considering a new career or job either now or in the future. Confidentiality is of course guaranteed. For information on the Salesforce.com market and some of the opportunities & SFDC jobs that are available I can be contacted on 212-594-1495.Please see www.masonfrank.com for more fantastic Salesforce.com opportunitiesMason Frank International is acting as an Employment Agency in relation to this vacancy.
",NA,Computer Software,"Washington, DC","$155,000.00 - $185,000.00 /Year",Data Architect
6,Information Technology,NA,"
Title: Data Solutions Architect
Location: Chicago, IL
Type: Perm
Salary: 130-150K

Sr Data Solutions Architect

Requirements
• 5+ years hands-on experience working as Data Architect/ ETL Architect using Informatica, SSIS  or similar tool
• In-depth understanding of database structure principles
• Good understanding of Data Warehouse systems and related methodologies
• 8+ years hands-on experience using MS SQL Server, Oracle or similar RDBMS platform
• Familiarity with data visualization tools (e.g. PowerBI, Tableau etc.)
• Ability to lead a team of developers 
• SQL performance tuning
• Proven analytical skills
• Problem-solving attitude
• Highly self-motivated, self-directed, and attentive to detail
• Ability to effectively prioritize and execute tasks in a high-pressure environment
• Strong leadership skills
• Willing to learn new technologies

Good to have
• Hands-on experience working on Azure Data Lake and analytics
• Hands-on experience with MPP database technologies like Teradata, Netezza, Azure SQL DW etc.
• Database migration from legacy systems to new solutions
• Design conceptual, logical and physical data models using tools like ER Studio, Erwin
• Familiarity with C#


",5+ years,Other Great Industries,"Chicago, IL","$130,000.00 - $150,000.00 /Year",Data Architect
7,Information Technology,Source Select Group,"
BI Data Architect
Type: Direct Hire/ Full Time
Location: Tampa, FL 
Salary Plus Bonus
 The Data Architect  is the thought leader and guardian of data resources responsible for cataloging and curating data, designing effective approaches for storing and analyzing data, overseeing data governance, and developing and evangelizing data standards and practices.
 KEY RESPONSIBILITIES o Develop data standards and practices for use by the development community to ensure consistent data taxonomy and design across applications and sources. o Catalog and curate our data landscape across the enterprise by developing a corporate data catalog for use by analysts, developers, and power data users. o Oversee the design of our next generation enterprise data platform leveraging Azure Data Lake Storage, Azure Data Lake Analytics, Azure SQL Data Warehouse, Azure Analysis Services, and Power BI. o Continue the development and design of our in-memory ODS. o Support the ongoing maintenance design of legacy platforms including our previous generation ODS and EDW. o Provide architectural oversight of the data governance process. o Accelerate the adoption of new data technologies by jump starting development of new initiatives and developing proof-of-concepts utilizing emerging technologies. o Evangelize and mentor the data community on new data patterns and practices planned for adoption at BBI. o Provide data thought leadership to architectural reviews and oversee the enforcement of standards through application code reviews.
 REQUIREMENTS o Bachelor’s degree in Computer Science, Computer Information System, or similar discipline. o 5+ years of data architecture experience including both data warehousing and application database design. o Hands-on exposure to relevant data technologies such as: o Relational Database Management Systems (Oracle, SQL Server) o Data Warehousing (Oracle Exadata, Azure SQL Data Warehouse) o Online Analytical Processing (Azure Analysis Services) o Big Data (Hadoop and related ecosystem) o In-Memory Databases (SQL Server In-Memory Tables, SAP Hana) o NoSQL Technologies (Azure Table Storage, Mongo DB, Cosmos DB) o Structured File Formats (JSON, XML) o Master Data Management (SQL Server MDS, Riversand MDM) o Data Modeling Tools (ERwin, Embarcadero) o Data Visualization Tools (OBIEE, Power BI)  o Microsoft Azure and cloud computing experience required o Consumer technology experience preferred.

REQUIREMENTSo Bachelor’s degree in Computer Science, Computer Information System, or similar discipline.o 5+ years of data architecture experience including both data warehousing and application database design.o Hands-on exposure to relevant data technologies such as:o Relational Database Management Systems (Oracle, SQL Server)o Data Warehousing (Oracle Exadata, Azure SQL Data Warehouse)o Online Analytical Processing (Azure Analysis Services)o Big Data (Hadoop and related ecosystem)o In-Memory Databases (SQL Server In-Memory Tables, SAP Hana)o NoSQL Technologies (Azure Table Storage, Mongo DB, Cosmos DB)o Structured File Formats (JSON, XML)o Master Data Management (SQL Server MDS, Riversand MDM)o Data Modeling Tools (ERwin, Embarcadero)o Data Visualization Tools (OBIEE, Power BI)o Microsoft Azure and cloud computing experience requiredo Consumer technology experience preferred.
",5+ years,Consumer Products,"Tampa, FL","$115,000.00 - $125,000.00 /Year",Data Architect
8,Information Technology,FRG Technology Consulting,"
Big Data Solutions Architect - Chicago, IL - $180k  My client is looking for an enthusiastic Big Data Architect to work in improving their business by streamlining efficiency. The role involves working with Spark, Scala, Java, and Hadoop on an AWS big data cloud platform. It is critical that this Architect has an understanding of full lifecycle projects, working on proof of concept to delivery and implementation. This position will require hands-on responsibilities.  Requirements: * Extensive architecture Design and Development experience. * Must have experience with data lakes and data ingestion. * Experience working with Hadoop, Hive, and Spark. * Experience coding/programming with Java, Python or Scala. * Must have hands-on experience with the AWS ecosystem (EMR, Redshift, S3, etc.). * Real-time streaming experience is a major plus. * Excellent communication and collaboration skills. * Available and ready to start a new position asap is highly preferred.  Benefits: * Competitive bonus * Medical/Dental/Vision Insurance  * Generous Paid Time Off  * Chance for technological growth and upward mobilityContact: Myrka Veloz at 212-731-8282 (ext.3352) Apply immediately for consideration. Interviews are currently taking place!  Please send your resume to [Click Here to Email Your Resumé]  FRG Consulting is a leader in Niche IT Recruitment with a focus on cloud technologies including Azure & AWS, as well as Big Data, Data Science and BI. We deal with both Microsoft Partners, AWS partners & End Users throughout North America. We have open positions and relationships with some of the top partners and end users throughout the US and offer some excellent opportunities in the BI, Big data space.   I understand the need for discretion and would welcome the opportunity to speak to any Big Data and cloud analytics candidates that are considering a new career or job either now or in the future. Confidentiality is of the upmost importance. For more information on available BI jobs, as well as the Business Intelligence, Big data and cloud market, I can be contacted at 1-212-731-8282.Big Data / Data Science / Hadoop / Microsoft Business Intelligence / BI / Business Intelligence / SSRS / SSAS / SSIS / SQL / T-SQL / MDX / Azure / Cloud / AWS / Data Warehouse / ETL / Power BI / Architect / Big Data / Hadoop / Scala / Python / Apache / Hive / Spark / MS Azure / Amazon Web Services / AWS / EMR / RDS/ Redshift / S3 / EC2 / Lambda / Glue / Data Pipeline / Kafka / Power BI / Data Lake / Data Lake Analytics / Azure IoT Hubs / BLOB Storage / HDInsight / Data Factory / Machine Learning / SQL Data Warehouse / Steam Analytics / Ruby / DynamoDB / Kinesis
",NA,Computer Software,"Chicago, IL","$170,000.00 - $180,000.00 /Year",Data Architect
9,"Consultant, Information Technology",Mason Frank,"
I am working with SEVERAL clients in the Salesforce space that are hiring Data Architects for full-time positions immediately. I only work with Global Strategic and Platinum Partners that provide a good work-life balance and the opportunity to work on unique Salesforce instances.Qualifications:-Multiple years experience with ETL tools such as SSIS, Boomi, or Infomatica-Multiple years of Data Warehousing/Data Modelling experience-Data Migration experience with SalesforceMy clients are actively interviewing this week and are seeking professionals that can start shortly after the standard 2 weeks' notice. These opportunities come with limited travel and the ability to work primarily from home. If interested please email your CV to [Click Here to Email Your Resumé] and call Mike @ 212-594-1495Mason Frank International is the leading Salesforce.com recruitment firm in the US, advertising more Salesforce.com / SFDC jobs than any other agency. We deal with both SFDC Partners & End Users throughout the world and we have never had more live requirements. By specializing solely in placing candidates in the Salesforce.com market I have built relationships with most of the key employers in the US and have an unrivalled understanding of where the best opportunities & SFDC jobs are.I understand the need for discretion and would welcome the opportunity to speak to any Salesforce.com candidates that are considering a new career or job either now or in the future. Confidentiality is of course guaranteed. For information on the Salesforce.com market and some of the opportunities & SFDC jobs that are available I can be contacted on 212-594-1495.Please see www.masonfrank.com for more fantastic Salesforce.com opportunitiesMason Frank International is acting as an Employment Agency in relation to this vacancy.
",NA,Consulting,"Washington DC, DC","$130,000.00 - $170,000.00 /Year",Data Architect
