,category,company,details,experience,industry,location,salary,title
0,Information Technology,Smart-Tek,"
Hiring 2  (Jr and Sr level)Great opportunity for SQL DBA in Asheville NCFull Time with excellent benefits 401k, lunch and learns,  game room The DBA is responsible for database change management operations, general database maintenance, deployments, backup operations, creates/alters/optimizes stored procedures and functions. Database report design/implementation. Monitors databases and applications for performance/availability and security adherence. This position reports to the Systems Manager and works directly with the Sr. DBAAs a SQL DBA you will:

Change Management Implementer for database system(s)
Monitors and maintains SQL backup strategies
Imports and exports data in and out of databases in support of customer implementations and requests
Develops and implements database reports in support of business needs
Monitors/analyzes/troubleshoots incidents with database systems - works with Infrastructure teams on system issues
After-hours On Call availability required
Reviews query performance, interprets complex execution plans and creates tuning solutions involving T-SQL and Indices.
Advanced understanding of Transactional Peer to Peer replication in multiple production data centers.
Experience with always on availability groups
Maintains customer confidence and protects operations by keeping information confidential and secure
Other duties as assigned

What’s in it for you:

Competitive pay, benefits, and 401K
Matching 401k 500.00 a year
Free health insurance, including dental and vision
Relaxed and friendly work environment
Outstanding quality of life in an incredible city in the mountains
Room to grow and define your role
Free parking downtown
Monthly Lunch & Learns
Coke machine - free soda for all of your sugary/caffeinated needs
Game room with VR equipment, pool table, foosball, arcade games and more!


 


What we need from you:

3+ years’ experience in database administration.  5+ for Sr role 
Working knowledge of Microsoft SQL 2008 R2, replication topologies, and operations
SQL Server 2012-2016 Experience
Experience importing/exporting data in multiple formats and building scripts to manipulate data (DML/ETL)
2+ years’ experience with SQL Server Reporting Services (SSRS) w/Ability to write reports and data driven subscriptions
Experienced in Transact SQL with the ability to create complex stored procedures, functions and views.
Excellent verbal and written communication skills
Understanding of HIPAA/SOX

Nice to have 

Development background a plus (C#, .Net, etc.)
Azure with SQL Services; preferred
Ability to work under pressure, manage multiple priorities simultaneously and work well without direct supervision
Understanding of HIPAA/SOX

",3+ years,Computer Software,"Asheville, NC","$75,000.00 - $115,000.00 /Year",Database Administrator
1,Information Technology,NA,"
SQL Server DBA- Senior SQL Database Administrator 

Please note this is a direct hire position.  Our client is currently not in a position to hire H1 or Visa candidates. No third parties.

Salary:  Up to 120,000 base Salary 

Job:
Functions of the SQL Server DBA:


 

Design, build, and implement SQL Database components  (2008-2016)
Partitioning, change control, migration from test to production
Performance tuning
Importing/exporting/bulk inserts.
Works with management, business, developers and end users in a team oriented fashion.
Ability to prioritize tasks, meet deadlines and work in a fast paced environment.



A little information on my client:


 

Very attractive benefits package
Very competitive base salary plus performance based bonus.  Company wants to hire and retain the absolute brightest and motivated employees and understands those employees are paid above market rates.
Can-do attitude and working towards common goal permeates the atmosphere
A management style that recognizes, appreciates and believes their employees are their competitive advantage
Challenging and stimulating projects
A culture that promotes Work-Life Balance








Requirements of the SQL Server DBA:




Bachelor Degree in Computer Science or related field, or equivalent.
SQL Server  2008 thru 2014 (2016 preferred) experience is highly preferred.
4+ years of experience with design of tables and use of SSIS
5+ years experience with large scale databases and environments.
Excellent written and verbal communication.
Experience with writing MS-SQL Queries and Stored Procedures.
Experience with Business Intelligence Tools and Data Warehouse design 
SQL scripting skills


 Bonus, not required but nice to have:

Oracle Databases and  interest or experience with Big Data (Hadoop, etc.)




Please send your resumes to:

Tom Gaebelein
Lead Technical Recruiter
Emerald Resource Group
440.627.6925 OR  (614) 246-8512
[Click Here to Email Your Resumé]
",4+ years,Computer Software,"Cleveland, OH","$100,000.00 - $120,000.00 /Year",Database Administrator
2,"Government, Information Technology",NA,"

Database Admin Tier 2 – TS/SCI Clearance

 
We are currently hiring for a DBA with an active TS/SCI clearance and at least 1 year as a DBA with SQL Server 2012 Enterprise or higher experience. 
 
Required certifications include: DOD 8570 IAT Level II or higher (Security+ CE) and Oracle Certified Professional (OCP) MySQL 5.6 DBA or MCSA: SQL Server 2012/2014 – or ability to get these within 60 days of hire
 
This is a long-term, 5+ year contract at $35-40 per hour (PTO and comprehensive benefits included). The position is located in Tampa, FL, and we are open to nationwide relocation for the right candidates. 
 
Location:  MacDill AFB, Tampa, FL
Industry:  Defense
Employment Type: Long-term contract (PTO and comprehensive benefits included)
Salary: $35-40/hour depending on experience and certifications
 
Job Description: 
•         Shift work is required to support 24x7 operations.  It is important to be available to work any shift/designated hours required to include nights, weekends and holidays. Shift differential will be paid.
•         Performs operations and maintenance tasks on relational databases and database servers.  These tasks include installing and configuring database application software, troubleshooting and diagnosing problems, and installing security updates and application patches. On-Call support will be required to provide expert recommendations for trouble-shooting issues.
•         Candidates for the Database Administrator - Tier 2 role need a strong technical foundation in database structure, configuration, installation, operation and maintenance. Candidates must have knowledge and experience in major relational database languages and applications, such as Microsoft Structured Query Language (SQL) Server, Oracle and IBM DB2. Database Administrator -Tier 2 candidates must demonstrate the ability to pay keen attention to detail, possess a strong customer service orientation, and have the ability to work as part of a team. This position will provide database administration (DBA) support services, to include Tier 2 level expertise, as well as the planning, implementation, and monitoring of patching services for physical and virtual solutions. Candidate must have advanced knowledge of using Microsoft Office Suite (2013/2016).
•         The Database Administrator - Tier 2 must be able to produce visualization of data for leadership decision-making, have experience with database modeling and implementation, experience with user interface development and user experience, demonstrate strong oral and written communication skills, have knowledge of at least one object-oriented programming languages (such as Java, C++ or .NET) and understand the transactional processes of the ITIL framework.
Qualifications:
· 
Job Duties:

Monitoring and maintaining databases
Performing requested changes, updates and modifications to database structure and data
Ensuring technical modifications do not adversely affect database integrity, stability and system availability
Implementing solutions for database backup and recovery infrastructure 
Build operational Operations and Maintenance (O&M) checklists to maintain the service (daily, weekly, monthly, yearly O&M checklists); build Tactics, Techniques and Processes (TTPs) and Standard Operating Processes (SOPs) associated with service checklists
Adding or modifying system/user permissions to databases or database servers
Ensure proactive engagement in Incident Management process, working with cross-functional teams to minimize the impact of database outages 
Generating various reports by querying from database as needed

 
About Us: SRG Government Services (SRG) is a leading provider of information technology, training, engineering, accounting and intelligence analytical services for agencies in the intelligence, defense, homeland security, cyber security, and federal civilian markets. SRG utilizes an innovative approach to identify and qualify talent that is unique to the federal contracting industry, featuring a cutting-edge platform that allows us to rapidly and precisely match professionals to client requirements. We have a proprietary database of over one million candidates and maintain continuous contact with our qualified talent.
 
Keywords: Database, DBA, Security+ CE, SEC+, GSEC, SSCP, CCNA - Security, CISA, CISSP, CASP, GCIH, GCED, Oracle Certified Professional, OCP, MySQL 5.6 DBA, MCSA: SQL Server 2012/2014
   
EOE/ADA

Database Admin Tier 2 – TS/SCI Clearance

·       Active TS/SCI security clearance
·       At least 1 year of experience as a DBA
·       Experience with SQL Server 2012 Enterprise or higher
·       Required certifications: (Employment is contingent upon obtaining and/or maintaining required certifications)
o   Oracle Certified Professional (OCP) MySQL 5.6 DBA or MCSA: SQL Server 2012/2014
o   DOD 8570 IAT Level II or higher (Security+ CE)
·       Preferred certifications: ITIL V3 Foundations
·       Shift work is required to support 24x7 operations
",1 year,"Defense - Aerospace, Computer Software, Computer Hardware","Tampa, VA 20170",$35.00 - $40.00 /Hour,Database Administrator
3,Information Technology,Brooksource,"
Brooksource is searching for 8 Associate Database Administrators for our Fortune 500 Energy partner located in Uptown Charlotte, NC for a 6-12 month contract to hire. This is the ideal opportunity for a recent college graduate with a technical understanding to join a Database team and excel.     The Associate Database Administrator will work in the infrastructure side of the IT organization. The Associate DBA is focused on installation and support of database management systems and adhering to best practices within the department while delivering a high-level customer service. The Associate DBA should be a self-motivated individual with good communication skills and able to work well in a collaborative environment. The DBA role tends toward supporting production, staging and/or quality assurance databases and the availability, access, and security of the associated data assets stored within.     Daily You Will: 
Responsible for the creation of physical databases per design documentation as provided by database designers, architects and/or vendors to meet business requirements.
Creation and execution of database backup and recovery processes.
Performs data replication, movement, and/or manipulation to meet business requirements while adhering to enterprise guidelines and standards.
Responsible for executing database security and auditing processes.
Responsible for database product installation, configuration, and administration.
Respond to database related alerts and escalations and work with database engineers to come up with strategic solutions to recurring problems.
      Skillset:  • Bachelor's Degree (preferably in CS, MIS, or any related field)  • Strong proficiency in relational database management  • Experience with sequential query language or the equivalent in one or more of the database platforms' native programming languages  o T-SQL  o PL/SQL  o Access SQL  o Python  • Familiarity with Unix, Linux, and Windows OS     Qualities of a Top Candidate:  • Strong interpersonal skills and written/oral communication skills to work effectively with business partners, peer IT resources, and all levels of management  • Ability to reason logically analyze and evaluate performance data and information, and draw appropriate conclusions  • Eager and excited learned looking to grow current infrastructure skills     Environment: 
Report: Reporting Directly to the Sr. IT Manager
Team Size: 15 people
Company Size: Fortune 500 Energy Company
Hours: M-F, 40 Hour Weeks, 1 week on call/month
Location: Uptown Charlotte, NC
 Eight Eleven Group provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, national origin, age, sex, citizenship, disability, genetic information, gender, sexual orientation, gender identity, marital status, amnesty or status as a covered veteran in accordance with applicable federal, state, and local laws.
",NA,Energy - Utilities - Gas - Electric,"Charlotte, NC","$1,000.00 - $28,207.00 /Year",Database Administrator
4,Information Technology,ALTA IT Services LLC,"
Location: Bethesda, MD
Clearance: Secret
Title: SQL Server Database Administrator  
 
Summary 
The Database Administrator will be responsible for performing maintenance and some development tasks in a structured team environment for a DoD client in Bethesda Maryland.
The SQL Server Database Administrator is part of a team responsible for maintaining the availability and performance of intranet applications and web presence to include Microsoft SQL Server 2008r2 and 2012 database servers. Experience in supporting Data Warehouse environments with BI & ETL experience is a huge plus.
This position will focus on the maintenance of robust, scalable database structures and queries. The administrator will provide maintenance and management support for a SQL Server 2008r2 and 2012 environments and assist with future upgrades to approved SQL Server releases.  The candidate will have experience developing and implementing database solutions to support business requirements; resolving technical issues through debugging, research, and investigation; writing and fixing code; testing and implementing database backups, restores and upgrades.  
The successful candidate will be responsible for the development and sustainment of the SQL Server Warehouse, ensuring its operational readiness (security, health and performance), executing data loads, and performing data modeling in support of multiple development teams. The data warehouse supports an enterprise application suite of program management tools. Must be capable of working independently and collaboratively.
 
Responsibilities 
·       Manage SQL Server databases through multiple product lifecycle environments, from development to mission-critical production systems.
·       Configure and maintain database servers and processes, including monitoring of system health and performance, to ensure high levels of performance, availability, and security.  
·       Apply data modeling techniques to ensure development and implementation support efforts meet integration and performance expectations.
·       Independently analyze, solve, and correct issues in real time, providing problem resolution end-to-end.
 
Duties
·       Assist developers with the creation and maintenance of robust, scalable database code.  
·       Enforce SQL standards and guidelines. 
·       Assist with managing database size and scalability. 
·       Provide information by collecting, analyzing, and summarizing database performance and trends. 
·       Assist with the testing of database hardware and software upgrades.

·       Accomplish department and organization mission by completing related tasks as needed; and other duties as assigned.


Required
·       Extensive knowledge of Database Maintenance and Administration of SQL Server 2008.
·       TSQL, Performance Tuning, SSIS Packages, Clustering, Replication, Database Links, Maintenance Plan / SQL Job usage.
·       Experience with complicated database organizational structures, triggers, and stored procedures.
·       Excellent communication skills with the ability to understand user requests and translate them into technical requirements. 
·       Experience documenting new and existing processes as well as updating existing documentation when changes are necessary.
 
Useful Skills
·       Knowledge of medical data processing
·       Configuring SQL Server according to DoD STIG.
 
Education/Training and Certification
·       Current Secret Clearance is required CompTIA SECURITY + Certification required 
·       MCDBA certification is a plus

 


",NA,Computer Software,"Bethesda, MD","$90,000.00 - $100,000.00 /Year",Database Administrator
5,"Engineering, Information Technology, Design",Robert Half Technology,"
Ref ID: 01500-0010398024Classification: Database AdministrationCompensation: $85,000.00 to $100,000.00 per yearSQL Server Database Administrator (DBA) (Direct Hire- NOT contract) This is a Permanent *Direct Hire position with one of our client companies in the Des Moines, IA area. This company is solid, financially secure, has excellent benefits and has a great new opportunity for a SQL Server Database Administrator (DBA), as their sole DBA with a good team in a professional environment. The client's business is in a very stable industry. Join a team where you can have immediate impact. This is a permanent direct hire full-time salaried position has a base salary range of 85K to 100K, depending on experience plus great benefits. (Perm *Direct Hire Position, not Contract) For immediate and confidential consideration on this Permanent / Direct hire IT opportunity, it is best to call me directly OR message me on LinkedIn, Bob Thompson VP, Technology Permanent Placement Services for Iowa and Nebraska Region at 515-282-6876, also e-mail your resume confidentially to [Click Here to Email Your Resumé] (profile on LinkedIn). For immediate and confidential consideration on this Permanent Direct Hire IT opportunity, it is best to call me directly OR message me on LinkedIn, Bob Thompson VP, Technology Permanent Placement Services for Iowa and Nebraska Region at 515-282-6876, also e-mail your resume confidentially to [Click Here to Email Your Resumé] (profile on LinkedIn). This is a permanent direct hire full-time salaried position has a base salary range of 85K to 100K, depending on experience plus great benefits. (Perm *Direct Hire Position) This is a terrific opportunity with a growing company. The ideal candidate will have strong DBA experience (e.g. implementing SQL HA/DR, maintenance plans, DB administrative tools) and some experience or exposure to SQL Always On and Server Clustering. Our client company is seeking a SQL Server Database Administrator (DBA). Some of the duties will be to monitor, administer, implementation and performance tuning in a clustered server environment. This position will work with our DBA team on DBA activities for our Microsoft SQL environments and may include: Optimization of database operations and services to support database operations, optimization and security of all data. Working with the development teams to manage the applications database environments, capacity planning and initiating discovery and implementation of supporting tools to the MS SQL environment. Requirements:  4 (or more) years experience as an MS SQL Server DBA  The ideal candidate will have strong DBA experience (e.g. implementing SQL HA/DR, maintenance plans, DB administrative tools) and some experience or exposure to SQL Always On and Server Clustering

MS SQL ServerTechnology doesn't change the world. People do.As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agenciesThe intersection of technology and people  it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.Apply for this job now or contact our branch office at 888.674.2094 to learn more about this position.All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2018 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
",65 years,"Computer Hardware, Computer Software","Des Moines, IA 50309","$85,000.00 - $100,000.00 /Year",Database Administrator
6,Information Technology,Emerald Resource Group,"
Oracle DBA (Database Administrator)  2/3 + years practical Oracle 12c DBA experience Cleveland, Ohio  Direct Hire 
US Citizens are encouraged to apply
 You must have the ability to interview in-person , on-site within  24 hours.  Please note this is a direct hire position.  We are currently not in a position to consider Visa candidates of any type. No third parties or corp-to-corp candidates will be considered as well.    Salary: 80,000.00 base Salary depending on level of skill.   I have been tasked with screening and presenting qualified Oracle Database Administrators for a direct opportunity in Cleveland, Ohio.  You will be joining a team of 4 total DBA's with various skill sets.  Some of the Database Administrators will be SQL Server, but this position is for the Oracle team.  The size of their team is growing to satisfy their business needs.  This is a diverse DBA role where performance tuning and  monitoring will be the primary role.  You will also bring your experience in pl/sql query expertise, table creation, and logical design.    They are using the latest  version of Oracle (12.2) , so experience with  12c versions will win the day. This is an opportunity to work as a production DBA with enterprise level technology.   If this sounds like your background or if you have interest, please consider this opportunity a great option.    You must be a US Citizen and able to pass a thorough background check to be considered an employee.       A little information on my client(s):

Very attractive benefits package
Very competitive base salary plus performance based bonus.  Company wants to hire and retain the absolute brightest and motivated employees and understands those employees are paid above market rates.
Great work-life balance
Can-do attitude and working towards common goal permeates the atmosphere
A management style that recognizes, appreciates and believes their employees are their competitive advantage

Challenging and stimulating projects

Requirements of the Oracle DBA :

Bachelor Degree in Computer Science or related field, or equivalent.
2+ years experience using Oracle DB (12c required) 
2+ years experience with large scale databases and environments.
Partitioning of large tables/datasets experience a major plus but not required
Oracle tools (TOAD, RMAN, Dataguard) experience is  a major plus
Excellent written and verbal communication.
Experience/ability to learn  MS-SQL Queries and Stored Procedures.
Experience/ability to learn Business Intelligence Tools and Data Warehouse design 
Pl/SQL  scripting skills

 
    Please send your resumes to:  Tom Gaebelein Lead Technical Recruiter Emerald Resource Group (440) 627-6925 [Click Here to Email Your Resumé]
",2+ years,Computer Software,"Cleveland, OH","$70,000.00 - $80,000.00 /Year",Database Administrator
7,Consultant,FRG Technology Consulting,"
Senior Database Administrator - Winston-Salem, NC- $95k-$100kEnterprise end-user is seeking an energetic Senior Database Administrator (SQL Server only) to work at their Winston-Salem location. The Senior Database Administrator will report to the BI Manager and Database Manager and will be a part of a highly collaborative team, with a laid back work environment.Ideal candidates will have the following:+ 5+ years of SQL Database Administration experience+ Strong T-SQL querying skills/SQL query optimization+ Experience with ETL tools like SSIS development+ Some SSRS reporting experience+ Highly skilled with SQL performance and monitoring tools+ Administration of SQL Server replication+ Administration of SQL Server High Availability (Mirroring, Always On, and Clustering)+ Disaster Recovery+ Database administration and system administration supporting a MS SQL Server 2008-2016 environment+ Excellent communication is a must This is a great opportunity to be a part of an ever growing team!  Benefits:+ Full Health, Vision, Dental Insurance+ 401k+ Casual dressWe are looking to fill this position ASAP so if you have the desired SQL DBA experience, please APPLY NOW by contacting Marion at [Click Here to Email Your Resumé].Again, this is a great opportunity to work with a stable company with a laid-back, employee-focused work environment. FRG Consulting is a leader in Niche IT Recruitment with a focus on cloud technologies including Azure & AWS, as well as Big Data, Data Science and BI. We deal with both Microsoft Partners, AWS partners & End Users throughout North America. We have open positions and relationships with some of the top partners and end users throughout the US and offer some excellent opportunities in the BI, Big data space. I understand the need for discretion and would welcome the opportunity to speak to any Big Data and cloud analytics candidates that are considering a new career or job either now or in the future. Confidentiality is of the upmost importance. For more information on available BI jobs, as well as the Business Intelligence, Big data and cloud market, I can be contacted at 1-212-731-8282. Please see www.frgconsulting.com for more information. Big Data / Data Science / Hadoop / BI / Business Intelligence / SSRS / SSAS / SSIS / SQL / T-SQL / MDX / Azure / Cloud / AWS / Data Warehouse / ETL / Power BI /Architect / Big Data / Hadoop / Scala / Python / Apache / Hive / Spark / AWS Big Data / Analytics / Advanced Analytics / Machine Learning / ML / IoT
",5+ years,Computer Software,"Winston-Salem, NC","$95,000.00 - $100,000.00 /Year",Database Administrator
8,Finance,BCforward,"

Responsibilities:
Develop and implement proactive and reactive monitoring to identify and address conditions that may compromise our ability to meet the organization’s availability, performance, and security requirements.
Enforce database and data security policies and standards as well as reporting upon policy and standard compliance status to both internal and external audiences.
Research, evaluate, and recommend new Oracle capabilities and management tools that meet the organization’s needs.
Reporting to internal and external audiences on topics that include, but are not limited to, capacity, currency, availability, and security.
Plan, schedule and supervise changes to databases and hosting infrastructure in a manner that avoids disruption to production and development systems.
Collaborate with internal and external application, infrastructure, and business teams to achieve common goals.
Creating and communicating plans for projects of medium to large complexity.
Consult on topics where expertise in Oracle infrastructure is a requirement.
Manage and supervising the deployment of security and bug fix patches.
Manage and supervise the Oracle component during regular company disaster recovery (DR) testing.
Provide ongoing support to internal and external operations and support teams on an as-needed basis, which may require some off-hour and weekend availability.

Job Title: Database Analyst
Location: Minnepolis, MN  55446 (In-person interview requires)
Duration: Role duration is estimated to be 12 months with potential for extension.

Need Independent candidate who can work on W2

Required Skills:
Strong experience as an Oracle production or application DBA
Strong experience in the installation, configuration, and maintenance of Oracle RAC, Restart, and Data Guard in UNIX-based hosting environments
Experience in all stages of SDLC of a medium to large-scale project involving a significant architectural or behavioral change
Experience with database design, administration and maintenance in distributed environments
Experience in troubleshooting and resolving database issues, including performance tuning
Expertise in database design, including a solid understanding of related programming languages, clustering, back-up/restore technologies, replication and security
Experience with DBMS backup solutions including RMAN, Oracle Zero Data Loss, or other 3rd party backup software/hardware solutions such as Commvault, LiteSpeed, EMC
Proficiency in SQL and PL/SQL/TSQL sufficient to both understand performance implications of code structure as well as to guide application developers in appropriate coding practices
Strong experience in creation of Perl, Python, and/or PL/SQL scripts to automate routine maintenance tasks
Experience supporting SQL Server, UDB, Teradata, ILM and/or Netezza
Experience in application development and/or UNIX/Linux administration
Strong working knowledge of industry-standard database management tools
Experience working in a matrixed, multi-vendor technology environment
Familiarity with Oracle Enterprise Manager (OEM)
",NA,Accounting - Finance,"Minneapolis, MN",$50.00 - $52.00 /Hour,Database Administrator
9,Information Technology,"Odyssey Information Services, Inc.","
Description:

The position will be responsible for on-going administration of existing environments including defining, planning, implementing and supporting  physical Oracle databases for the enterprise. Candidate should possess extensive knowledge of all aspects of Oracle including monitoring and performance tuning. Oracle RAC DBA and DataGuard experience is mandatory. Knowledge & experience with SQL Server and DB2 database technologies is a plus. 

Duties and Responsibilities: 

Performs physical database administration (dba) tasks in Oracle. Also performs basic dba tasks in SQL Server and DB2 environments as necessary.
Designs and builds simple to complex database structures from data models.
Installs, configures and patches Oracle.
Provide rotating 24x7 on-call support for  Oracle, SQL Server, and DB2 environments as necessary.
Participates in design reviews as required to ensure database design meets application requirements.
Designs, maintains, documents and executes database utilities to provide information regarding database activity.
Proactively performs database monitoring and performance tuning tasks.
Identify and provide solutions to performance issues in multiple database environments.
Provides automation to standard dba tasks. Able to develop scripts on UNIX and Windows platforms as necessary.
Reviews and enforces adherence to the Architecture, as well as database design and usage standards.
Understands database high availability technologies and guides  in implementing appropriate solutions.
Builds and manages Data Guard Physical/Logical Standby Databases using Data Guard Broker
Performs other duties as assigned. 




Qualifications: 

B.S. degree from an accredited university.
MUST have solid Oracle RAC and DataGuard experience.
8+ years of extensive experience with Oracle database installation / configuration best practices and Database upgrade/migration approaches.
5+ years of experience installing, building, upgrading and supporting Oracle RAC environment, ASM, Grid/Cluster.
In-depth knowledge and hands-on experience in the installation, configuration and troubleshooting of Oracle products and patches, including Oracle 12c, RAC, ASM, Clusterware, GoldenGate, Dataguard, Oracle Database Appliance (ODA), Oracle Enterprise Manager 12c.
Experience in Oracle 12c RAC based environment - architecture, installation, building, upgrading and maintenance of Oracle RAC based environment in production.
Experience with Oracle Goldengate replication configuration, maintenance and troubleshooting.
Extensive experience in Oracle DataGuard replication and physical standby for Disaster recovery
Working experience of Oracle Database Appliance.
Strong knowledge of OEM 12C grid monitoring configuration.
Strong working experience with RMAN configuration, Job maintenance and backup & recovery
8+ years of experience in database/application performance tuning and monitoring tools including AWR, ADDM, ASH and Statspack.
Experience in database problem identification, problem diagnosis and resolution.
Experience in building data architecture models and enforcing enterprise architecture standards and guidelines.
Candidate has excellent communication – ability to explain a technical problem to management.
Candidate is a team player. Shares knowledge. Coaches team members.
Ability to work on high performing teams and deliver under pressure situations. 

",8+ years,Employment - Recruiting - Staffing,"Fort Worth, Tx","$85,000.00 - $95,000.00 /Year",Database Administrator
