,category,company,details,experience,industry,location,salary,title
0,"Engineering, Information Technology, Design",Robert Half Technology,"
Ref ID: 03930-0010310884Classification: Database DeveloperCompensation: $39.59 to $45.84 per hourTake the next step into your career as a Database Developer by taking advantage of this terrific opportunity through Robert Half Technology. In this role, the Database Developer is highly involved in the designing, developing, and building systems using their thorough knowledge of database architecture. Preferred candidates are experts on query writing and should be passionate about developing operational functions. This Database Developer position is a long term temporary employment opportunity located in the Nashville, Tennessee area. Key responsibilities - Generate a database schema based on application related function and type of the data - Provide documentation and training to the Database Administrator as well as other users when necessary - Create, code, and implement relational databases - Develop a method for storing database data in the future

- 7+ years working as a Database Developer or a related role - Solider understanding of database troubleshooting, and background with industry standards for database operations - Tuning performance measurement experience required - SQL experienceTechnology doesn't change the world. People do.As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agenciesThe intersection of technology and people  it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.Apply for this job now or contact our branch office at 888.674.2094 to learn more about this position.All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2018 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
",7+ years,"Computer Hardware, Computer Software","Nashville, TN 37205",$39.59 - $45.84 /Hour,Database Developer
1,"Banking, Finance, Information Technology",Huxley Associates,"
One of the leading financial services firm is looking to add a Database Developer to their funding technology group. You will be working closely with key business and technology stakeholders to build out the warehouse to support the data analytics needs of the securities lending and repo desks. One of the key areas of focus will be the continued build out of the warehouse to support the securities lending desk's market color reporting which provided to external clients.Their current warehouse is being migrated to the latest version of IBMs DB2 Database offering. You will have the opportunity to work with columnar and distributed databases and related technologies to build a high performance warehouse which will be capable of supporting the ever evolving analytic needs of the business.Reponsibilities:
Involvement in all aspects of support and building out of the data warehouse including capturing requirements, implementing new feeds, presenting data to users via various mediums including extracts, dashboards & data visualisations.
Work closely with various business stakeholders to understand their objectives and requirements. Distilling these into technology deliverables and taking ownership of their delivery across all stages of the development lifecycle.
working across all layers of the technology stack.
Qualifications:
Extensive experience in data modelling and SQL that you could utilise in this role and be comfortable working across all layers of the technology stack.
The ability to work across multiple work streams in order to achieve business deliverables.
Commercial experience of DB2
Experience working with Sybase
Expertise in SQL
Strong data modelling skills
Knowledge of scripting (Python/Perl)
Extensive knowledge of working in a Linux based environment
Sthree US is acting as an Employment Agency in relation to this vacancy.
",NA,"Banking - Financial Services, Computer Software, Other Great Industries","New York, NY","$120,000.00 - $170,000.00 /Year",Database Developer
2,"Engineering, Information Technology, Design",Robert Half Technology,"
Ref ID: 01300-0010396088Classification: Database DeveloperCompensation: $90,000.00 to $115,000.00 per yearIf you're looking for work in the Insurance field, Robert Half Technology is looking for an experienced Database Developer with a strong relational database background. In this role, you will be working to design, build and develop database architecture. If you are skilled at writing queries and enjoy designing systems, we cannot wait to hear from you about this great Database Developer role. This Database Developer position will be a full-time opportunity based in the Rolling Meadows, Illinois area. Key responsibilities - Supply documentation and training to the Database Administrator. Also, provide training to other users when requested - Generate an efficient method for storing database data in the future - Generate a database schema based on data type and application related function - Plan out, code, and design relational databases This is a full time role offering a competitive base salary, full benefits package, and paid time off. If you are interested in this exciting opportunity

- Knowledge of common issues with database operations - Microsoft SQL Server experience - Strong ETL experience - Foundational knowledge in SQL server analysis services - SQL Server Reporting Services experience required - Proficiency in SQL Server Integration Services - Previous experience working as a Database Developer or a related roleTechnology doesn't change the world. People do.As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agenciesThe intersection of technology and people  it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.Apply for this job now or contact our branch office at 888.674.2094 to learn more about this position.All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2018 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
",65 years,"Computer Hardware, Computer Software","Rolling Meadows, IL 60008","$90,000.00 - $115,000.00 /Year",Database Developer
3,"Engineering, Information Technology, Design",Robert Half Technology,"
Ref ID: 03220-0010333322Classification: Database DeveloperCompensation: $105,000.00 to $125,000.00 per yearRobert Half is looking for a full time Postgres database developer and DBA. This person will work with an existing offshore and domestic development staff that have created the current Postgres database. The position will be responsible for establishing database architecture, design, schema, development and production standards and processes and ensuring all database implementation meets these standards. The person will also work on an effort to determining the viability of a conversion from SQL to Postgres for another recently acquired application. The person must be a quick learner and thrive in a fast-paced environment that requires strong multitasking and communication skills. If you are interested in learning more about this opportunity, please forward your resume to: [Click Here to Email Your Resumé]

• Bachelor's degree in Computer Science or equivalent experience demonstrating advanced level of Postgres and DBA knowledge and implementation history • Demonstrated ability to multi-task and succeed in a fast paced, dynamic environment • Strong, analytical ability to quickly debug application problems and provide short long term solutions • High proficiency with Linux and shell scripting. • Ability to develop and generate data models and DDL. • Experience with PostgreSQL Replication technologies, Postgres Plus Advanced Server (EDB) • 5+ years of developing and maintaining Postgres databases • Experience upgrading versions of Postgres on live systems • 3+ years with database modeling designing tables, relationships, etc. • Experience developing in Java • Demonstrated history dealing with database performance, scalability, and maintainability • Experience establishing DB restoration plans and implementation to achieve RPO/RTO objectives • Strong written and verbal communications, teamwork and problem-solving skills • Ability to interact and communicate successfully with business partners and technology teams • Experience with Agile Development Practices • Self-starter who can grasp difficult concepts • Ability to think outside the box and come up with creative solutions when tools don't workTechnology doesn't change the world. People do.As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agenciesThe intersection of technology and people  it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.Apply for this job now or contact our branch office at 888.674.2094 to learn more about this position.All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2018 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
",5+ years,"Computer Hardware, Computer Software","Raleigh, NC 27616","$105,000.00 - $125,000.00 /Year",Database Developer
4,Information Technology,Medix,"
Required Skills: 
Five or more years as a hands-on technologist with a good mix of application development and database development.
Strong in SQL and PL/SQL experience in an Oracle 12c/11G/10G/ UNIX-based environment.
3 or more years of UNIX shell scripting experience.
Strong understanding of performance analysis, tuning and optimization
Must be willing to roll up sleeves to do the research necessary to define data and application requirements. 
Will be expected to support production activities which would require non-business hour availability.
Must be familiar and stay current with industry best practices and trends related to data ingestion and database design/development.
Must be flexible and motivated to work in a fast-paced environment
Willingness to learn and implement new Data technologies as needed.
Must be willing and able to support application/database development throughout the software lifecycle from requirements analysis and design through to implementation and maintenance.
Must have demonstrated experience in working with other database and application developers to define application architecture/best practices. 


Other Skills of Interest:•AWS RDS experience •Postgres Experience •Financial Industry experience.
",NA,Government - Civil Service,"Havre de Grace, MD 21078",$45.00 - $55.00 /Hour,Database Developer
5,Information Technology,Atos,"
The Database Developer will manage and maintain the SQL server(s) for our clients. This includes, but is not limited to, database configuration, schema design, user access, backups, recovery, scripting, patching, migration, replication, performance and capacity monitoring. The optimal candidate would have some experience with C# and ASP.Net application development. The position will also involve working with Project Managers, Business Analysts, on-site technical personnel, vendors and clients.

This is an on-site position in downtown Fort Wayne, Indiana.

·         3+ years of DBA experience with SQL Server in an enterprise environment
·         Experience working with, creating and modifying SQL views and stored procedures
·         Experience with SQL Server Integration Services
·         Identification of slow queries and query optimization
·         Movement of data between SQL and non-SQL systems
·         ASP.NET / MVC development experience
·         Working knowledge of Windows Server operating systems
·         Experience in working with customers
·         Good analytical skills
·         Experience with MySQL databases a plus but not mandatory

Full-Time opportunity along with competitive benefits within the market.
",3+ years,Other Great Industries,"Fort Wayne, IN",NA,Database Developer
6,Banking,IT Alliance,"


Duration: FULL-TIME POSITIONS
Title: Database developer
Location: Dallas, TX (Local First Priority- will consider relocation candidates)
 
·         Approximately 4+ year’s SQL development experience
·         T-SQL development proficiency
·         Understanding of SQL performance tuning and optimization
·         Strong code debugging and problem solving skills
·         Proficiency in the creation of stored procedures and ETL processes
·         Financial services industry data warehousing experience
·         Dallas area candidate or candidate willing to relocate preferred

For more information feel free to reach me on [Click Here to Email Your Resumé] OR call me on 732-666-0012 x 407

Must Have
Need minimum 10 years of experience on sql Development with proficient in T-SQL Development
Hands on experience as an lead in last one or two projects
Financial or Banking OR investment Banking experience is must
Person with good communication skills. 

",4+ year,Banking - Financial Services,"Fort worth TX, TX",NA,Database Developer
7,Information Technology,Roc Search Inc,"
Database / ETL Developer - Austin - ETL, SQL - $80k - $100kMy client have a requirement for a Database / ETL Developer who will be working with a range of database products including MS SQL, MySQL and PostgreSQL. This is a full time position in Austin. The CompanyA software house who have been established for more than 20 years. They work in the education space and have an unbeatable office environment including a huge range of amenities you might associate with a software house on the cutting edge like Google (this role is not for Google!). They can offer a fantastic benefits package including excellent medical, 401(k), PTO etc.The roleWorking to deliver high quality data services and consolidate legacy data stores. You will also get an opportunity to work in Machine Learning and Algorithms. Skill Set:- Database Development- ETL- SQL databasesDatabase / ETL Developer - Austin - ETL, SQL - $80k - $100k
",NA,Internet - ECommerce,"Austin, TX","$80,000.00 - $100,000.00 /Year",Database Developer
8,Finance,BCforward,"

Responsibilities:
Develop and implement proactive and reactive monitoring to identify and address conditions that may compromise our ability to meet the organization’s availability, performance, and security requirements.
Enforce database and data security policies and standards as well as reporting upon policy and standard compliance status to both internal and external audiences.
Research, evaluate, and recommend new Oracle capabilities and management tools that meet the organization’s needs.
Reporting to internal and external audiences on topics that include, but are not limited to, capacity, currency, availability, and security.
Plan, schedule and supervise changes to databases and hosting infrastructure in a manner that avoids disruption to production and development systems.
Collaborate with internal and external application, infrastructure, and business teams to achieve common goals.
Creating and communicating plans for projects of medium to large complexity.
Consult on topics where expertise in Oracle infrastructure is a requirement.
Manage and supervising the deployment of security and bug fix patches.
Manage and supervise the Oracle component during regular company disaster recovery (DR) testing.
Provide ongoing support to internal and external operations and support teams on an as-needed basis, which may require some off-hour and weekend availability.

Job Title: Database Analyst
Location: Minnepolis, MN  55446 (In-person interview requires)
Duration: Role duration is estimated to be 12 months with potential for extension.

Need Independent candidate who can work on W2

Required Skills:
Strong experience as an Oracle production or application DBA
Strong experience in the installation, configuration, and maintenance of Oracle RAC, Restart, and Data Guard in UNIX-based hosting environments
Experience in all stages of SDLC of a medium to large-scale project involving a significant architectural or behavioral change
Experience with database design, administration and maintenance in distributed environments
Experience in troubleshooting and resolving database issues, including performance tuning
Expertise in database design, including a solid understanding of related programming languages, clustering, back-up/restore technologies, replication and security
Experience with DBMS backup solutions including RMAN, Oracle Zero Data Loss, or other 3rd party backup software/hardware solutions such as Commvault, LiteSpeed, EMC
Proficiency in SQL and PL/SQL/TSQL sufficient to both understand performance implications of code structure as well as to guide application developers in appropriate coding practices
Strong experience in creation of Perl, Python, and/or PL/SQL scripts to automate routine maintenance tasks
Experience supporting SQL Server, UDB, Teradata, ILM and/or Netezza
Experience in application development and/or UNIX/Linux administration
Strong working knowledge of industry-standard database management tools
Experience working in a matrixed, multi-vendor technology environment
Familiarity with Oracle Enterprise Manager (OEM)
",NA,Accounting - Finance,"Minneapolis, MN",$50.00 - $52.00 /Hour,Database Developer
9,Information Technology,ALTA IT Services LLC,"
Location: Bethesda, MD
Clearance: Secret
Title: SQL Server Database Administrator  
 
Summary 
The Database Administrator will be responsible for performing maintenance and some development tasks in a structured team environment for a DoD client in Bethesda Maryland.
The SQL Server Database Administrator is part of a team responsible for maintaining the availability and performance of intranet applications and web presence to include Microsoft SQL Server 2008r2 and 2012 database servers. Experience in supporting Data Warehouse environments with BI & ETL experience is a huge plus.
This position will focus on the maintenance of robust, scalable database structures and queries. The administrator will provide maintenance and management support for a SQL Server 2008r2 and 2012 environments and assist with future upgrades to approved SQL Server releases.  The candidate will have experience developing and implementing database solutions to support business requirements; resolving technical issues through debugging, research, and investigation; writing and fixing code; testing and implementing database backups, restores and upgrades.  
The successful candidate will be responsible for the development and sustainment of the SQL Server Warehouse, ensuring its operational readiness (security, health and performance), executing data loads, and performing data modeling in support of multiple development teams. The data warehouse supports an enterprise application suite of program management tools. Must be capable of working independently and collaboratively.
 
Responsibilities 
·       Manage SQL Server databases through multiple product lifecycle environments, from development to mission-critical production systems.
·       Configure and maintain database servers and processes, including monitoring of system health and performance, to ensure high levels of performance, availability, and security.  
·       Apply data modeling techniques to ensure development and implementation support efforts meet integration and performance expectations.
·       Independently analyze, solve, and correct issues in real time, providing problem resolution end-to-end.
 
Duties
·       Assist developers with the creation and maintenance of robust, scalable database code.  
·       Enforce SQL standards and guidelines. 
·       Assist with managing database size and scalability. 
·       Provide information by collecting, analyzing, and summarizing database performance and trends. 
·       Assist with the testing of database hardware and software upgrades.

·       Accomplish department and organization mission by completing related tasks as needed; and other duties as assigned.


Required
·       Extensive knowledge of Database Maintenance and Administration of SQL Server 2008.
·       TSQL, Performance Tuning, SSIS Packages, Clustering, Replication, Database Links, Maintenance Plan / SQL Job usage.
·       Experience with complicated database organizational structures, triggers, and stored procedures.
·       Excellent communication skills with the ability to understand user requests and translate them into technical requirements. 
·       Experience documenting new and existing processes as well as updating existing documentation when changes are necessary.
 
Useful Skills
·       Knowledge of medical data processing
·       Configuring SQL Server according to DoD STIG.
 
Education/Training and Certification
·       Current Secret Clearance is required CompTIA SECURITY + Certification required 
·       MCDBA certification is a plus

 


",NA,Computer Software,"Bethesda, MD","$90,000.00 - $100,000.00 /Year",Database Developer
