,category,company,details,experience,industry,location,salary,title
0,"Engineering, Information Technology, Design",Robert Half Technology,"
Ref ID: 04380-0010374687Classification: Software EngineerCompensation: $156.75 to $181.50 per hourOur client is looking to bring on a Data Scientist!! In this role, you will be responsible for researching, piloting, developing, or supporting one of three options: 1. Robotic Process Automation Solutions (RPA) OR 2. Natural Language Processing Engines (NLP) OR 3. Machine Learning Engines (ML). Located in Downtown Dallas, TX, this is temporary-to-fulltime position you don't want to miss!! Requirements: 1. Experience with Robotic Process Automation (UIPath preferred) - Experience implementing Robotic Process Automation solutions OR 2. Experience in Blockchain research, understanding and solution development - Very good understanding of Blockchain technology, crypto currencies (Bitcoin or others), various consensus protocols - Experience in development on one of the Blockchain platforms like Hyperledger, Ethereum, R3 Corda, Ripple, Bluemix, Rubix OR 3. Experience with Machine Learning models - Deep understanding of data structures and algorithms - Python, .NET, C++, R, or Java

|| If you are interested in applying to this position, please send your resume to [Click Here to Email Your Resumé] || **candidates MUST be local to Dallas, TexasTechnology doesn't change the world. People do.As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agenciesThe intersection of technology and people  it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.Apply for this job now or contact our branch office at 888.674.2094 to learn more about this position.All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2018 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
",65 years,"Computer Hardware, Computer Software","Dallas, TX 75201",$156.75 - $181.50 /Hour,ML Engineer
1,"Information Technology, Engineering, Professional Services",CyberCoders,"
This position is open as of 4/22/2018.Leading the Industry for a 100 years! Data ScientistIf you are a Data Scientist who enjoys developing predictive models and data products, please read on!Based in Los Angeles, we are leader in the metals industry for close to a 100 years and going strong! We started as a small business serving the local Los Angeles community and thrived in the metals industry boom in the United States,. Overtime, we experienced tremendous success and became a Fortune 500 company an appreciate and are proud of the culture we've created. Our leadership has been a part of this company for 10+ years and our turnover is exceptionally low.We also have an endless supply of engaging engineering work to be done and are currently hiring a Data Scientist to join us. We're looking for hungry people who are passionate about redefining the data science space. We offer a true work/life balance with a fun and dynamic work environment. If you are ready to join a truly stable company that has roots in the industry and endless career growth and advancement, we are the company for you!Top Reasons to Work with Us1. True work/life balance!2. Join a world class engineering team.3. Experience tremendous personal and professional success.What You Will Be DoingAs a Data Scientist/Engineer you will be responsible for the following;- Build machine learning and statistical models to to address business needs. (Boosting trees, neural networks, or support vector machines, scikit-learn, spark MLlib, tensorflow or H2O: We're open to solving problems in many different ways.)- Conduct data analysis and modeling to design medium to complex systems utilizing multiple technologies.- Collect and curate data from disparate sources to perform data wrangling to clean, prepare, and standardize data for consumption- Perform data mining and feature engineering. - Architect, develop, and launch automated ETL (Extraction, Transformation, Loading) processes between multiple systems.- Design and develop data ingestion and storage systems with high availability and reliability that can scale.- Assist and lead the development of feature improvements to our suite of proprietary data-intensive tools- Prepare data flow diagrams and technical requirements for internal and external data flows.- Define, document and advocate best practices for data usage.- Work with other Engineering teams to present current finding, gather feedback, and iterate.- Create alerts to ensure continual data availability, accuracy and cleanlinessWe believe the most powerful models can only be built from the most predictive features, and we let the data do the talking!What You Need for this Position- Strong experience with Python, Scala or R - Experience writing advanced algorithms on top of Big Data infrastructure- Experience with non-SQL big data open source products such as Spark, EMR/Hadoop - An understanding of Matrix Factorization, Gradient Boosting, Random Forest, Batch/Stochastic Gradient Descent, Neural Network and SVM- Experience applying complex tools and algorithms to identify trends and patterns in data- Knowledge of machine learning libraries (Vowpal Wabbit, H2O, Tensorflow, Theano, Keras or xgboost) and ability to apply machine learning at scale- Experience assessing advanced analytic models and techniques- Experience with MySQL, SQL (write complex SQL for data manipulation)- Experience in data processing and building production models- Experience in developing ETL solutions- Experience working with back-end data systems to create clean data structures- Knowledge of MPP/Columnar data warehouse solutions Redshift, Vertica are a plus!- Strong strong written and verbal communicator- Masters or Bachelors degree in Computer Science, Electrical Engineering, Operations Research, Statistics or Applied Math with in-depth understanding of machine learning models and/or statistical analysis requiredWhat's In It for You- Competitive salary- Generous equity package- Benefits (Health, Dental, Vision)- 401K match- PTO- Holidays- Team events/outingsSo, if you are ready to enjoy a True Work/Life balance as a Data Scientist, Please Apply Today!Required SkillsPython, Java, SQL (BigQuery/Oracle and Hive), Dimensional data modeling & schema design in DW, ETL design (Informatica/Talend/Pentaho), Map Reduce or MPP system, Write abstracted reusable code components, Design data warehouse and data pipelines, Architect/Build/Launch new data models, API DevelopmentIf you are a good fit for the Leading the Industry for a 100 years! Data Scientist position, and have a background that includes:Python, Java, SQL (BigQuery/Oracle and Hive), Dimensional data modeling & schema design in DW, ETL design (Informatica/Talend/Pentaho), Map Reduce or MPP system, Write abstracted reusable code components, Design data warehouse and data pipelines, Architect/Build/Launch new data models, API Development and you are interested in working the following job types:Information Technology, Engineering, Professional ServicesWithin the following industries:IndustrialOur privacy policy: Your resume and information will be kept completely confidential.Looking forward to receiving your resume through our website and going over the job in more detail with you! CyberCoders, Inc is proud to be an Equal Opportunity Employer  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.  Your Right to Work – In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire. CyberCoders will consider for Employment in the City of Los Angeles qualified Applicants with Criminal Histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring (Ban the Box) Ordinance.

Python, Java, SQL (BigQuery/Oracle and Hive), Dimensional data modeling & schema design in DW, ETL design (Informatica/Talend/Pentaho), Map Reduce or MPP system, Write abstracted reusable code components, Design data warehouse and data pipelines, Architect/Build/Launch new data models, API Development
",NA,Industrial,"Los Angeles, CA 90001","$120,000.00 - $160,000.00 /Year",ML Engineer
2,"Construction, Engineering",Aerotek,"
Robotics Perception Software EngineerJob Duties/Responsibilities may include, but are not limited to:Research and develop new technology in computer vision, perception for semi-autonomous and autonomous machinesDevelop perception algorithms for personnel detect, object detection, tracking, classification, terrain mapping, localization and othersSolving analytically problems and debugging softwareCommunicate results to customers, suppliers, team members, and other business unitsParticipate in R&D programs through entire life cycle, from initial inception through production and maintenance phasesRequired Qualifications:* Bachelors or Masters degree or PhD in Electrical or Computer Engineering, Computer Science, Mechatronics, Computer vision, Robotics, Mathematics or related field* Bachelors degree with 5 years or Masters degree with 2 years or PhD with experience in design, development, or programming of Computer vision, perception Systems software that integrates with perception sensors such as Cameras, Lidar, Radar* Strong hands-on programming skills in Matlab, C, C++* Experience in using these matlab tool boxes - image processing/computer vision* Proficiency with Linux operating systemTop Candidates will also have:* GPU programming (CUDA) skill* Experience in field robotics, image processing, and implementing perception algorithms on hardware platforms* Experience with Computer vision and Machine Learning algorithms* Experience in developing embedded computational platforms including hardware accelerated platforms such as FPGAs, GPUs, and real-time CPUs* GIT version control experience* ROS, OpenCV, Tensorflow experience is a plus* Must have strong mathematics skills* Demonstrated working experience on a team* Experience mentoring engineersAbout Aerotek:We know that a company's success starts with its employees. We also know that an individual's success starts with the right career opportunity. As a Best of Staffing® Client and Talent leader, Aerotek's people-focused approach yields competitive advantage for our clients and rewarding careers for our contract employees. Since 1983, Aerotek has grown to become a leader in recruiting and staffing services. With more than 250 non-franchised offices, Aerotek's 8,000 internal employees serve more than 300,000 contract employees and 18,000 clients every year. Aerotek is an Allegis Group company, the global leader in talent solutions. Learn more at Aerotek.com.The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please call 888-237-6835 or email accommodation@aerotek .com for other accommodation options. However, if you have questions about this position, please contact the Recruiter located at the bottom of the job posting. The Recruiter is the sole point of contact for questions about this position.
",5 years,"Computer Hardware, Computer Software, Construction","PITTSBURGH, PA",$30.00 - $55.00 /Hour,ML Engineer
3,"Engineering, Information Technology, Design",CyberCoders,"
This position is open as of 4/22/2018.Deep Learning, Computer Vision, Algorithm EngineerIf you are a Deep Learning, Computer Vision, Algorithm Engineer with experience, please read on!Top Reasons to Work with Us1. Based in Santa Clara, we are a leading developer of low-power, high-definition and Ultra HD video compression and image processing solutions.2. Our company has been around for over a decade, so we offer a unique balance of stability and a small, tight-knit feel.3. You will have the chance to work on exciting new development projects with a talented team.What You Will Be Doing- Developing and prototyping novel algorithms for various computer vision and deep learning projects.- Validation and performance assessment on large-scale datasets.- Cross functional support for transfer into our future products.What You Need for this Position- PhD or Masters in Computer Science or Electrical Engineering or related field.- Strong research background and hands-on experience in deep learning and its applications to computer vision (e.g. object detection and tracking, semantic segmentation).- Extensive experience with using Caffe or similar platforms (TensorFlow, Theano, etc.)- Strong programming skills in C/C++, CUDA, Python or Matlab.- Experience in porting computer vision algorithms to embedded systems and optimizing code for such platforms is a bonus.- Experience in research of convolutional neural network, recurrent neural network, or reinforcement learning is a strong plus.What's In It for You- Competitive salary - Full Benefits - 401k- PTO- Great Place to WorkSo, if you are a Deep Learning, Computer Vision, Algorithm Engineer with experience, please apply today!Required SkillsDeep Learning, Machine Learning, C/C++, CaffeIf you are a good fit for the Deep Learning, Computer Vision, Algorithm Engineer position, and have a background that includes:Deep Learning, Machine Learning, C/C++, Caffe and you are interested in working the following job types:Engineering, Information Technology, DesignWithin the following industries:Computer SoftwareOur privacy policy: Your resume and information will be kept completely confidential.Looking forward to receiving your resume through our website and going over the job in more detail with you! CyberCoders, Inc is proud to be an Equal Opportunity Employer  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.  Your Right to Work – In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.

Deep Learning, Machine Learning, C/C++, Caffe
",NA,Computer Software,"Santa Clara, CA 95050","$130,000.00 - $160,000.00 /Year",ML Engineer
4,Information Technology,"Intelliswift Software, Inc.","
Operations Research/Machine Learning Data Scientist: 
Sunnyvale, CA
12+ Months
 
Machine Learning Engg: 30%
Data Scientist: 70%
Expectation is to develop the model and then productionalize the model as well.
No Hadoop or Spark experience needed. This role is not for building data pipelines. It is for analyzing data, building models to solve business problems and then taking the model to production with support from engg team.





Preferred Qualifications: Masters or Phd in Computer Science or Operations Research/Machine Learning or a related field

 Must have:
 • Ability to code in Java, Python or C++
 • Ability to leverage open source solvers like Or-Tools to solve real world optimization problems.
 • Deep familiarity with various techniques for combinatorial optimization
 • Good understanding of algorithms and data structures
 Good to Have:
 • Familiarity with Timeseries forecasting techniques ( SARIMA, LSTM etc )
",NA,Internet - ECommerce,"Sunnyvale, CA",NA,ML Engineer
5,Information Technology,"Pinnacle Partners, Inc","

Machine Learning Engineer
Up to $120k per year

Pinnacle Partners is assisting our client in their search for a Machine Learning Engineer to add to their growing team located in the Chicago area. Client is seeking a well-rounded individual with a strong technical background and advanced degree, but also have great communication skills. This successful resource will act as the right hand to the Director and be responsible for the management and continued expansion of the team’s infrastructure. This is an excellent opportunity to be a part of a growing team where you can build and learn on a wide range of technologies in an environment where innovation and new ideas are highly encouraged. 

 
RESPONSIBILITIES


Manage and oversee the team’s on-premises HPC cluster 


Create, form, and implement additional infrastructure services and functionality


Mentor team members to ensure proper interaction with team resources  


Guide the team infrastructure growth based on the needs of the team 


Advocate for the team as other groups develop infrastructure that may interact with team resources


Ability to troubleshoot across the stack, from networking issues to scheduling Troubleshooting across the stack, from networking issues to scheduling and orchestration





REQUIRED SKILLS 



Advanced degree or Bachelors Degree with comparable experience.


Working knowledge of configuration and troubleshooting within Linux environment


Working experience forming, implementing, and troubleshooting distributed systems


Containerization and virtualization experience 


Working knowledge of GPUs within a containerized environment 


Solid networking knowledge such as OSI network layers, working within proxies, and management of API



 

TERMS

This is a direct hire role with a salary up to $120K based on experience.

",NA,Other Great Industries,"Indianapolis, IN","$0.00 - $120,000.00 /Year",ML Engineer
6,Information Technology,"American Cybersystems, Inc. (ACS Group)","





 Job Title: (IDS) Data Scientist 
 Location: Newport News VA 23607
 Duration: 12 month 

 Job Responsibilities: 
 ●  Designs, develops, and implements methods, processes and systems to consolidate and analyze diverse data sets including structured and unstructured.  
 ●  Develops software programs, algorithms, dashboards, information tools, and queries to clean, model, integrate and evaluate datasets.  
 ●  Keeps abreast of new analytic methodologies and technologies. Collaborates with functional business units to drive business solutions and direction.  

 Qualifications: 
 ●  Graduate degree (or equivalent industry experience), Ph.D. preferred, in Computer Science, Statistics, Operations Research, Mathematics, Neurosciences, or a related scientific discipline.  
 ●  Understanding and experience using machine learning techniques, including but not limited to Linear Models, Neural Networks, Decision Trees, Bayesian Techniques, Clustering, Anomaly Detection, and more.  
 ●  Experience with data science languages such as Python, R, MatLab, etc.  
 ●  Experience with machine learning framework, such as PyTorch, TensorFlow, Theano, Keras, etc.  
 ●  Great communication skills.  
 ●  Good applied statistics skills, such as distributions, statistical testing, etc.  
 ●  Good scripting and programming skills. 




Job Title:  Data Scientist
Location: Newport News VA 23607
Duration: 12 month

Job Responsibilities:

Designs, develops, and implements methods, processes and systems to consolidate and analyze diverse data sets including structured and unstructured. 
Develops software programs, algorithms, dashboards, information tools, and queries to clean, model, integrate and evaluate datasets. 
Keeps abreast of new analytic methodologies and technologies. Collaborates with functional business units to drive business solutions and direction 

Qualifications:

Graduate degree (or equivalent industry experience), Ph.D. preferred, in Computer Science, Statistics, Operations Research, Mathematics, Neurosciences, or a related scientific discipline. 
Understanding and experience using machine learning techniques, including but not limited to Linear Models, Neural Networks, Decision Trees, Bayesian Techniques, Clustering, Anomaly Detection, and more. 
Experience with data science languages such as Python, R, MatLab, etc. 
Experience with machine learning framework, such as PyTorch, TensorFlow, Theano, Keras, etc. 
Great communication skills. 
Good applied statistics skills, such as distributions, statistical testing, etc. 
Good scripting and programming skills.

",NA,Other Great Industries,"Newport News, VA",$50.00 - $70.00 /Hour,ML Engineer
7,Information Technology,Genesis10,"
Genesis10 is currently seeking a Software Engineer with our client in the SEO industry in their Mountain View, CA location. This is a 12 month + contract position.Description: Seeking a Software Engineer
Responsibilities: Develop scalable software that can automatically process, clean, and validate millions of data recordings to build high quality machine-learning datasets Develop software for evaluating the quality of Soli machine learning models; identifying specific failure cases to help the team focus on resolving specific errors Train, evaluate, and debug machine learning models Develop software to visualize machine learning models Deploy optimized models for real-time inference
Requirements: M.S. / PhD in Computer Science, Machine Learning, Mathematics, or a related field; or, 5 years equivalent practical experience 3+ years industry experience in C++, with working knowledge of C and/or Python Strong working knowledge of high-performance computing (e.g., MapReduce) Strong working knowledge of efficient data structures and programming techniques Desired Skills: 	 Experience with one or more of the following: data capture infrastructure, computer vision, signal processing, algorithm development, visualization, developing algorithms for Client sensors Relevant experience with developing machine learning algorithms in tensorflow or other related machine learning libraries  Exp. shipping products with a machine learning component   Able to work as a W2 employee of Genesis10 (no Corp-to-Corp)
If you have the described qualifications and are interested in this exciting opportunity, please apply!About Genesis10:Genesis10 is a leading U.S. business and technology consulting firm with hundreds of clients needing proven talent and solutions to power their strategic initiatives.  If you are a high performing business or IT professional with solid, referenced experience, we want to meet you.  Genesis10 recruiters and delivery professionals are highly accomplished career advocates, who get to know you beyond your resume to position you with the opportunities that fit your skills, experience and aspirations.  We have benefit options to fit your needs and a support staff that works with you from placement throughout your engagement – project after project.   To learn more about Genesis10 and to view all our available career opportunities, please visit us at www.genesis10.com.  ""Genesis10 is an Equal Opportunity Employer, M/F/D/V”
",5 years,Entertainment,"Mountain View, CA",$69.51 - $76.03 /Hour,ML Engineer
8,"Information Technology, Engineering, Professional Services",CyberCoders,"
This position is open as of 4/22/2018.Senior Computer Vision Engineer - 3D/VRIf you are a Lead Computer Vision Engineer with experience, please read on! Note that if you do not fill out the 5 minute questionnaire, you are unlikely to be considered and are 3X less likely to be interviewed. We are hiring a Senior Computer Vision Engineer to work with and lead a team of engineers working on a web-based, augmented reality advertising platform. We are focusing on turning common digital ads into an immersive and engaging experience for millions of ad viewers. Projects range from building 3D AR experiences, facial masks, and virtual try-ons that are built in C++ and ported to the web. We are looking for a hacker who can solve problems quickly and effectively.Top Reasons to Work with UsYou can help create something special! We are the leading augmented and virtual reality advertising platform enabling marketers to captivate and engage audiences with immersive media at scale. We need the next wave of great people to help us dominate and reinvigorate the market.What You Will Be DoingResponsibilities:Work with a team talented software engineers to build immersive 3D augmented reality experiencesBuild tools and libraries that further enable the creative team to build uniquely engaging AR experiences with our proprietary platformCreate innovative and powerful computer vision technologies for use on webWhat You Need for this PositionWhat we're looking for:5+ years of software development experience with C++, Python, or JavaScriptExperience with any: LLVMs, Emscripten, Embind, WebIDL, ASM, WebAssemblyExperience implementing and optimizing 3D experiences based on DirectX, OpenGL, or WebGLBS degree in Computer Science or related technical field, or equivalent experience in the industryAn understanding of 3D multiview geometry, bundle adjustment, and SLAMAn understanding of sensor fusion, utilizing camera data and sensor data such as inertial or depthExperience with image feature extraction, tracking, and matchingAn understanding of 3D reconstruction from camera images and depth sensorsExperience classifying objects, matching templates, or using other machine learning methods for computer visionExperience with real-time monocular and/or multi-camera computer vision systemsStrong algorithmic and code-level optimization skillBonus:-Master's degree or PhD with a focus on computer vision or machine learning-Deep understanding of the web and web based applications-Knowledge of common web frameworks (ThreeJS, A-Frame, React)What's In It for You$120K-140K BaseDifference making equityAll the benefits and perks of an innovative and established 3D/AR companyLocated in the beautiful city of Santa Monica!So, if you are a Lead Computer Vision Engineer with experience, please apply today!Required SkillsC++, Python, 3D Modeling, 3D Reconstruction, JavaScript, LLVMs, Emscripten, ASM, DirectX, OpenGLIf you are a good fit for the Lead Computer Vision Engineer - 3D/VR position, and have a background that includes:C++, Python, 3D Modeling, 3D Reconstruction, JavaScript, LLVMs, Emscripten, ASM, DirectX, OpenGL and you are interested in working the following job types:Information Technology, Engineering, Professional ServicesWithin the following industries:Computer SoftwareOur privacy policy: Your resume and information will be kept completely confidential.Looking forward to receiving your resume through our website and going over the job in more detail with you! CyberCoders, Inc is proud to be an Equal Opportunity Employer  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.  Your Right to Work – In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire. CyberCoders will consider for Employment in the City of Los Angeles qualified Applicants with Criminal Histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring (Ban the Box) Ordinance.

C++, Python, 3D Modeling, 3D Reconstruction, JavaScript, LLVMs, Emscripten, ASM, DirectX, OpenGL
",5+ years,Computer Software,"Santa Monica, CA 90401","$120,000.00 - $140,000.00 /Year",ML Engineer
9,"Information Technology, Engineering, Professional Services",CyberCoders,"
This position is open as of 4/22/2018.Python Data EngineerWe are seeking a talented Python Data Engineer to join our team building an AI-based website optimization product. If this sounds intriguing, please keep reading!Based in San Francisco, CA we have brought together a team of world-renowned experts in AI and Machine Learning to build the world's fastest and most distributed computational AI platform. Companies are leveraging our platform for scientific research, business intelligence, finance and robust web marketing. Now that we have secured an incredible level of funding from some of the most influential investors in the world, we are looking to scale out our B2B services. This particular product improves conversion rates on eCommerce sites for our customers, by conducting automated A/B tests at AI scale.What You Will Be DoingAs an integral part of our R&D and web optimization product team, your challenge will be to understand our data needs, architect an effective solution from the ground up, and then build it, all in conjunction with data scientists, core engineers, and architects.Top Reasons to Work with Us1.) We have closed our largest round of funding to date and are scaling out our team, products and revenue streams2.) At the forefront of artificial intelligence, we are evolving technology and business with never-before-seen capabilities.3.) We offer top market salaries, stock, benefits, part-time telecommute options, bonuses, 401K and more!What You Need for this Position- Bachelor's Degree in Computer Science (or closely related)- 6+ years of professional experience developing a combination of data and server technologies- 2+ years of Python development experience- Experience working with a range of data systems (e.g., Spark, Cascading, Hadoop, Hive, Pig, Storm, ElasticSearch)- Deep knowledge of relational, structured, semi-structured and unstructured data systems and when to use each type of system- Experience building scalable, distributed systems with microservices architectureBonus:- Experience with RESTful services, JSON and XML metadata, Docker containers.- Experience with evolutionary algorithms, or machine learning.- Experience with AWS, the Netflix stack, and microservices.- Knowledge of and an appreciation for open source projects, design patterns, and enterprise architecture patterns.What's In It for You- Take-as-you-need vacation!- 10 company holidays- Telecom reimbursement- Tons of snacks and beverages- Catered educational lunches every Tuesday- Catered lunch every Friday- Super-convenient location near BART, Caltrain, Muni, Ferries- Team Events, Happy Hours, Holiday Parties, more.So, if you are a Sr. Level Data Engineer with Python skills, please apply today!Required SkillsPython, Data Engineering, Data Systems (Spark/Hadoop/Hive/Pig/Storm/Elastic), Microservices architectureIf you are a good fit for the Python Data Engineer position, and have a background that includes:Python, Data Engineering, Data Systems (Spark/Hadoop/Hive/Pig/Storm/Elastic), Microservices architecture and you are interested in working the following job types:Information Technology, Engineering, Professional ServicesWithin the following industries:Computer SoftwareOur privacy policy: Your resume and information will be kept completely confidential.Looking forward to receiving your resume through our website and going over the job in more detail with you! CyberCoders, Inc is proud to be an Equal Opportunity Employer  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.  Your Right to Work – In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.

Python, Data Engineering, Data Systems (Spark/Hadoop/Hive/Pig/Storm/Elastic), Microservices architecture
",6+ years,Computer Software,"San Francisco, CA 94102","$150,000.00 - $200,000.00 /Year",ML Engineer
