,category,company,details,experience,industry,location,salary,title
0,Information Technology,"American Cybersystems, Inc. (ACS Group)","





 Job Title: (IDS) Data Scientist 
 Location: Newport News VA 23607
 Duration: 12 month 

 Job Responsibilities: 
 ●  Designs, develops, and implements methods, processes and systems to consolidate and analyze diverse data sets including structured and unstructured.  
 ●  Develops software programs, algorithms, dashboards, information tools, and queries to clean, model, integrate and evaluate datasets.  
 ●  Keeps abreast of new analytic methodologies and technologies. Collaborates with functional business units to drive business solutions and direction.  

 Qualifications: 
 ●  Graduate degree (or equivalent industry experience), Ph.D. preferred, in Computer Science, Statistics, Operations Research, Mathematics, Neurosciences, or a related scientific discipline.  
 ●  Understanding and experience using machine learning techniques, including but not limited to Linear Models, Neural Networks, Decision Trees, Bayesian Techniques, Clustering, Anomaly Detection, and more.  
 ●  Experience with data science languages such as Python, R, MatLab, etc.  
 ●  Experience with machine learning framework, such as PyTorch, TensorFlow, Theano, Keras, etc.  
 ●  Great communication skills.  
 ●  Good applied statistics skills, such as distributions, statistical testing, etc.  
 ●  Good scripting and programming skills. 




Job Title:  Data Scientist
Location: Newport News VA 23607
Duration: 12 month

Job Responsibilities:

Designs, develops, and implements methods, processes and systems to consolidate and analyze diverse data sets including structured and unstructured. 
Develops software programs, algorithms, dashboards, information tools, and queries to clean, model, integrate and evaluate datasets. 
Keeps abreast of new analytic methodologies and technologies. Collaborates with functional business units to drive business solutions and direction 

Qualifications:

Graduate degree (or equivalent industry experience), Ph.D. preferred, in Computer Science, Statistics, Operations Research, Mathematics, Neurosciences, or a related scientific discipline. 
Understanding and experience using machine learning techniques, including but not limited to Linear Models, Neural Networks, Decision Trees, Bayesian Techniques, Clustering, Anomaly Detection, and more. 
Experience with data science languages such as Python, R, MatLab, etc. 
Experience with machine learning framework, such as PyTorch, TensorFlow, Theano, Keras, etc. 
Great communication skills. 
Good applied statistics skills, such as distributions, statistical testing, etc. 
Good scripting and programming skills.

",NA,Other Great Industries,"Newport News, VA",$50.00 - $70.00 /Hour,ML_Scientist
1,Information Technology,Roc Search Inc,"
Data Scientist - Education - $130,000With millions of happy users and a new state-of-the-art office, my client is quickly evolving. Your primary focus will be in applying data mining, doing statistical analysis, and building high quality prediction systems. Responsibilities
Selecting new features, building and optimizing classifiers using machine learning techniques
Applying Data mining using state-of-the-art methods to data and integrate our prediction systems into existing and new products.
Enhancing our data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing and verifying the integrity of our data used for analysis
Doing analysis and presenting the results in a clear manner
Skills and Qualifications:
Ability to work in an environment with a significant number of technical and functional unknowns
Understanding of machine learning techniques and algorithms
Query languages such as SQL, Hive, etc.
Great communication skills
Experience with NoSQL databases (such as MongoDB)
Good scripting and programming skills using tools like php, C
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Your Experience & Education:
BS or MS degree or equivalent experience
5+ years in Data Science, Machine Learning or similar related experience
What's in it for you:
Medical, dental and vision insurance along with numerous other benefits
Room for growth and career advancement
Paid vacation and sick time
Excellent 401(k) plan with 6% company match
Paid holidays
Employer paid life insurance
A fun, dynamic company culture
Data Scientist - Education - $130,000
",5+ years,Computer Software,"Austin, TX","$100,000.00 - $130,000.00 /Year",ML_Scientist
2,Information Technology,Eliassen Group,"
Our client is dedicated to delivering best-in-class customer experiences and is building a data science team to better understand how to acheive improvements in this area.
This position has a great benefit package that includes Medical, Dental and Vision benefits, 401k with company matching, and life insurance.Responsibilities of the Data Scientist:

Meeting with business stakeholders to understand business drivers and data sources.
Process, cleanse, and verify the integrity of data used for analysis
Gain knowledge of internal processes and their effects on customers
Perform data mining and exploration
Develop predictive models
Contribute to development of visualizations and present findings to senior business stakeholders.




Requirements of the Data Scientist:

Bachelor's Degree in a technical field
Real world experience of solving business problems using machine learning, data mining, data analysis
Data-oriented personality
Great communication skills
Experience with data visualization tools
Good applied statistics skills, such as distributions, statistical testing, regression, etc.

For immediate consideration, please forward your updated resume directly to [Click Here to Email Your Resumé] 
",NA,Other Great Industries,"201 South Tryon StreetCharlotte, NC 28202",NA,ML_Scientist
3,"Information Technology, Engineering, Professional Services",CyberCoders,"
This position is open as of 4/22/2018.Leading the Industry for a 100 years! Data ScientistIf you are a Data Scientist who enjoys developing predictive models and data products, please read on!Based in Los Angeles, we are leader in the metals industry for close to a 100 years and going strong! We started as a small business serving the local Los Angeles community and thrived in the metals industry boom in the United States,. Overtime, we experienced tremendous success and became a Fortune 500 company an appreciate and are proud of the culture we've created. Our leadership has been a part of this company for 10+ years and our turnover is exceptionally low.We also have an endless supply of engaging engineering work to be done and are currently hiring a Data Scientist to join us. We're looking for hungry people who are passionate about redefining the data science space. We offer a true work/life balance with a fun and dynamic work environment. If you are ready to join a truly stable company that has roots in the industry and endless career growth and advancement, we are the company for you!Top Reasons to Work with Us1. True work/life balance!2. Join a world class engineering team.3. Experience tremendous personal and professional success.What You Will Be DoingAs a Data Scientist/Engineer you will be responsible for the following;- Build machine learning and statistical models to to address business needs. (Boosting trees, neural networks, or support vector machines, scikit-learn, spark MLlib, tensorflow or H2O: We're open to solving problems in many different ways.)- Conduct data analysis and modeling to design medium to complex systems utilizing multiple technologies.- Collect and curate data from disparate sources to perform data wrangling to clean, prepare, and standardize data for consumption- Perform data mining and feature engineering. - Architect, develop, and launch automated ETL (Extraction, Transformation, Loading) processes between multiple systems.- Design and develop data ingestion and storage systems with high availability and reliability that can scale.- Assist and lead the development of feature improvements to our suite of proprietary data-intensive tools- Prepare data flow diagrams and technical requirements for internal and external data flows.- Define, document and advocate best practices for data usage.- Work with other Engineering teams to present current finding, gather feedback, and iterate.- Create alerts to ensure continual data availability, accuracy and cleanlinessWe believe the most powerful models can only be built from the most predictive features, and we let the data do the talking!What You Need for this Position- Strong experience with Python, Scala or R - Experience writing advanced algorithms on top of Big Data infrastructure- Experience with non-SQL big data open source products such as Spark, EMR/Hadoop - An understanding of Matrix Factorization, Gradient Boosting, Random Forest, Batch/Stochastic Gradient Descent, Neural Network and SVM- Experience applying complex tools and algorithms to identify trends and patterns in data- Knowledge of machine learning libraries (Vowpal Wabbit, H2O, Tensorflow, Theano, Keras or xgboost) and ability to apply machine learning at scale- Experience assessing advanced analytic models and techniques- Experience with MySQL, SQL (write complex SQL for data manipulation)- Experience in data processing and building production models- Experience in developing ETL solutions- Experience working with back-end data systems to create clean data structures- Knowledge of MPP/Columnar data warehouse solutions Redshift, Vertica are a plus!- Strong strong written and verbal communicator- Masters or Bachelors degree in Computer Science, Electrical Engineering, Operations Research, Statistics or Applied Math with in-depth understanding of machine learning models and/or statistical analysis requiredWhat's In It for You- Competitive salary- Generous equity package- Benefits (Health, Dental, Vision)- 401K match- PTO- Holidays- Team events/outingsSo, if you are ready to enjoy a True Work/Life balance as a Data Scientist, Please Apply Today!Required SkillsPython, Java, SQL (BigQuery/Oracle and Hive), Dimensional data modeling & schema design in DW, ETL design (Informatica/Talend/Pentaho), Map Reduce or MPP system, Write abstracted reusable code components, Design data warehouse and data pipelines, Architect/Build/Launch new data models, API DevelopmentIf you are a good fit for the Leading the Industry for a 100 years! Data Scientist position, and have a background that includes:Python, Java, SQL (BigQuery/Oracle and Hive), Dimensional data modeling & schema design in DW, ETL design (Informatica/Talend/Pentaho), Map Reduce or MPP system, Write abstracted reusable code components, Design data warehouse and data pipelines, Architect/Build/Launch new data models, API Development and you are interested in working the following job types:Information Technology, Engineering, Professional ServicesWithin the following industries:IndustrialOur privacy policy: Your resume and information will be kept completely confidential.Looking forward to receiving your resume through our website and going over the job in more detail with you! CyberCoders, Inc is proud to be an Equal Opportunity Employer  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.  Your Right to Work – In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire. CyberCoders will consider for Employment in the City of Los Angeles qualified Applicants with Criminal Histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring (Ban the Box) Ordinance.

Python, Java, SQL (BigQuery/Oracle and Hive), Dimensional data modeling & schema design in DW, ETL design (Informatica/Talend/Pentaho), Map Reduce or MPP system, Write abstracted reusable code components, Design data warehouse and data pipelines, Architect/Build/Launch new data models, API Development
",NA,Industrial,"Los Angeles, CA 90001","$120,000.00 - $160,000.00 /Year",ML_Scientist
4,Information Technology,"Synergy Business Consulting, Inc.","
Data Scientist
Position Summary:
 
Seeking a talented, experienced and inquisitive Data Scientist to design and implement cutting edge solutions across a breadth of domain areas.  The ideal candidate is well grounded in a mathematical, statistical and probability background, with a broad knowledge of machine learning techniques and cognitive services.
 
This Data Scientist will focus on selecting, evaluating, and optimizing software solutions, code development, and integrations into IT systems as part of a growing Data Science. This individual will work with a multidisciplinary team of driven people to deliver end to end solutions that improve guest experience and address pain points of the business across applications such as Cloud Computing, Data Science Virtual Machines (Linux), Optimal Scripting Techniques, and Distributed File / Computational Systems.
 

Data Scientist-Essential Duties and Responsibilities:
 
A successful candidate will possess a strong background or operational familiarity in statistics, mathematics, modeling (predictive, forecasting, optimization).  The candidate should demonstrate a progressive maturation of prior technical and development projects from ad-hoc requests to fully fault-tolerant and optimized solutions architected into broader IT systems.  The candidate should also be capable of and willing to train and mentor colleagues on the proper training, development and deployment of technically robust and optimizing analytic solutions for data science applications.
 
This individual will be responsible for analytical support, data mining, scripting / programming, mentorship and stakeholder presentation within the framework of implementing, utilizing and expanding development and release best practices within the broader Data Science team. 
 
Data Scientist Major responsibilities include:
 
·         Apply several forms of statistical (hypothesis testing, sampling, modeling, probability, time-series) and machine learning (neural networks / deep networks, ensemble methods, natural language processing) methods to describe, predict and optimize desired analytical objectives from business stakeholders.
 
·         Manipulates high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends.
·         Evaluate the progress of the data science team and company at large on the acclimation of robust, optimal and faul-tolerant technical solutions for predictive, natural language and artificial intelligence tasks. Recommend steps to improve or enforce utilization of these methods.
·         Empower and enhance the capabilities of the broader data science team on the proper environment setup, optimal and faul-tolarant scripting of solutions, and efficiency of deployed models through training, mentoring and project assistance as needed. 
·         Collaborate with IT, Business and Analytics stakeholders to design and implement solution infrastructure, release schedules, and system needs into the wider company data architecture.
·         Assist with research related to customer based analytical practice and develop communications for management and strategies for building institutional knowledge. Work with product and enterprise teams via both Agile And Waterfall Methodologies.
 
·         Foster a ‘data-driven’ culture based on pragmatism and strategic decision through rigorous factual analysis at all levels.  Should be willing to engage outside the immediate team to expand data science footprint throughout organization.
 




 

Data Scientist Qualifications
·         Master’s degree in Statistics, Operations Research, Mathematics, Economics, Computer Science, Engineering, Physics, Chemical Engineering, Information Technology or field of comparable foundations in mathematical and statistical analysis through the use of models, algorithms or programmed solutions.
·         2+ years experience with any of the following programming languages: R, Python, Java, C++, C#, Scala, SAS or similar scripting languages.  Similar experience and proficiency with SQL required.
·         2+ years experience with a variety of information technology tools and practices including Software Engineering and Development (documentation, programming), Operations (event monitoring, software deployments, system administration), and Quality Assurance (positive / negative unit testing, maintenance)
·         Experience with data mining processes (SEMMA, CRISP-DM), data preparation, consolidation, imputation, transformation, interaction, variable reduction, modeling, maintenance, and post-mortem analysis.
·         Experience with statistical methods such t-test of means, Tukey-HSD tests of means on groups, ANOVA, Proportion tests, data normalization and scaling, univariate and multivariate outlier detection.
·         Experience with modeling techniques such as linear models, decision trees, neural networks, k-nearest-neighbor, support vector machines, cluster analyses, and ensembling methods.
·         Strong Oral and Written skills.

 
Data Scientist Preferred Qualifications in Addition to Basic Qualifications



         Experience with Agile Software Development


         Terminal or Shell scripting in Linux systems


         Experience in a large corporation or consulting firm with focus in marketing strategies, modeling, CRM and management sciences/statistics highly desired


         Experience with Deep Learning tools and packages such as TensorFlow, Keras, H2O, and Theano


        Experience with frameworks and languages designed for big-data analysis, including Hadoop, Spark, Hive, and Pig


        Experience with cloud computing frameworks or API’s such as Microsoft Azure, Amazon Web Services and IBM / Watson



 






Irvens André
Sr. Technical Recruiter
Synergy Business Consulting, Inc.
Technology | Relationships | Solutions
Office: 470-639-1491 | Email:iandre@synergybc.com  







",2+ years,Travel,"Miami, FL","$90,000.00 - $110,000.00 /Year",ML_Scientist
5,Information Technology,Austin Fraser,"
Austin Fraser is working alongside a fantastic data driven organization in Austin in their search for Data Scientists to help build out their team.As a valued Data Scientist you will:
Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and operational data
Analyze and model structured data and implement algorithms to support analysis using advanced statistical and mathematical methods from statistics, machine learning, data mining, econometrics, and operations research
Perform Statistical Natural Language Processing to mine unstructured data, using methods such as document clustering, topic analysis, named entity recognition, document classification, and sentiment analysis
Utilize a diverse array of technologies and tools as needed, to deliver insights, such as R, SAS, Python, Spark, Hadoop, Qlikview, and Tableau
Participate in client engagements focused on Big Data and advanced business analytics, in diverse domains such as risk management, product development, marketing research, supply chain, public policy; communicate results and educate others through reports and presentations
Essentials for this position are:
A minimum of two years of professional experience working as a Data Scientist
Master's degree, or PhD in Computer Science, Statistics, Mathematics, Engineering, Econometrics, or related fields from an accredited college or university
Strong mathematical background with strong knowledge in at least one of the following fields: statistics, data mining, machine learning, statistics, operations research, econometrics, natural language processing, and/or information retrieval
Deep experience in extracting, cleaning, preparing and modeling data
Experience with command-line scripting, data structures, and algorithms; ability to work in a Linux environment and proficiency in analysis (e.g. R, SAS, Matlab) packages as well as proficiency in programming languages (e.g. Python, Ruby, Java, Scala)
For further details please submit a resume. Austin Fraser Inc is acting as an employment business in relation to this advert. As a professional company we gladly welcome applications from persons of any age and background and do not intend to discriminate with advert text and terminology.
",NA,Computer Software,"Austin, TX","$90,000.00 - $175,000.00 /Year",ML_Scientist
6,Information Technology,FRG Technology Consulting,"
Data Scientist - Waltham, MA - $190K My client is looking for a talented Data Scientist to join their Boston pracitce. They need a candidate with the experience to be hands on with coding, algorithms, predictive models, data mining, and analytics. Likewsie, they need someone with the communication and functional abilities to be a mentor and leader to their team of Data Scientists. There will be a lot of cross functiona teamwork and an understanding of the full lifecycle development of a project is a must.Data Scientist - Waltham, MA - $190K Required Experience & Qualifications:
Proficiency with Python
Exposure to big data tools such as Hadoop, Hive, Sqoop, Pig, Impala or Spark is a big plus
Expertise in SQL and relational databases
Familiarity with AWS
Experience with predictive analytics / data science
A desire to work on big data, predictive modeling, and machine learning projects
Superb communication and presentation skills
Role & Responsibilities:
Drawing key insights to drive critical decision making
Conducting data mining and building predictive models 
Collaborating with peers and managers to consistently exceed client expectations
Participating in the full cycle of strategic client analysis projects from client facing kick-off to code delivery or implementation
Benefits & Bonus
Competitive base and bonus
Full medical/health
Opportunity to work with the newest technology in the industry
Company Match 401k program
Remote work
Exciting company culture
If you or someone you know is interested in this position, please send your resume directly to [Click Here to Email Your Resumé] or call 212-731-8282. My client is looking to start the interview process as soon as possible.FRG Consulting is a leader in Niche IT Recruitment with a focus on cloud technologies including Azure & AWS, as well as Big Data, Data Science and BI. We deal with both Microsoft Partners, AWS partners & End Users throughout North America. We have open positions and relationships with some of the top partners and end users throughout the US and offer some excellent opportunities in the BI, Big data space.I understand the need for discretion and would welcome the opportunity to speak to any Big Data and cloud analytics candidates that are considering a new career or job either now or in the future. Confidentiality is of the upmost importance. For more information on available BI jobs, as well as the Business Intelligence, Big data and cloud market, I can be contacted at 212-731-8282. Please see www.frgconsulting.com for more information.Big Data / Data Science / Hadoop / Microsoft Business Intelligence / BI / Business Intelligence / SSRS / SSAS / SSIS / SQL / T-SQL / MDX / Azure / Cloud / AWS / Data Warehouse / ETL / Power BI / Architect / Big Data / Hadoop / Scala / Python / Apache / Hive / Spark / Data Science / Analytics / Predictive Modelling / 

Big Data / Data Science / Hadoop / Microsoft Business Intelligence / BI / Business Intelligence / SSRS / SSAS / SSIS / SQL / T-SQL / MDX / Azure / Cloud / AWS / Data Warehouse / ETL / Power BI / Architect / Big Data / Hadoop / Scala / Python / Apache / Hive / Spark
",NA,Computer Software,"Waltham, MA","$190,000.00 - $200,000.00 /Year",ML_Scientist
7,Research,A-Line Staffing Solutions,"
A-line Staffing is looking to fill our full-time Direct Hire Data Scientist positions in Cincinnati, OH. Interested Data Scientist  can contact Tomeko Henderson, 412.823.2500 after applying. 


Pay: $125,000

As a Data Scientist you will work closely with Scientists and Engineers to translate business challenges into clear problem statements. You will then leverage machine learning and related methods to solve those problems. Working with the business you will implement the solutions. 

Must Have 

Fluency with current data science methods and related tools e.g. SQL, Python or R, Jupyter Notebooks and GitHub
Experience with deep learning methods and tools including RNNs, CNNs, TensorFlow
Experience with data visualization best practices and tools such as Tableau
Strong interpersonal communication skills


Qualifications:

We are seeking leaders who have completed or will soon complete a PhD in Computer Science, Computer Engineering or a closely related field. 


You will also have:
• Demonstrated abilities to manage multiple priorities well
• Strong written and verbal communications skills
• Extensive experience with wide range of advanced machine learning methods
• In depth understanding of Deep Learning and experience with imaging applications
• Very good understanding of explainable AI
• Proficient with Python including Pandas, NumPy and Scikit-learn


Interested Candidates can contact 

Tomeko Henderson
412.823.2500
",NA,Consumer Products,"Cincinnati, OH","$120,000.00 - $125,000.00 /Year",ML_Scientist
8,"Information Technology, Engineering, Professional Services",CyberCoders,"
This position is open as of 4/22/2018.Sr Data Scientist - teaching & passion projects!Are you attracted to a role which is part teaching & part business projects & every third quarter you would be able to work on a passion project of your own choice? For the passion projects quarters you could write a book, take a pro bono consulting assignment or work on personal research projects, all while getting paid a full time salary!We are a highly successful data science bootcamp with locations in San Francisco, Seattle, Chicago and New York. If you're passionate about data science and teaching please read on..............Top Reasons to Work with Us- Share your passion for teaching in a full time salaried role- Every 3rd quarter you get to work on your passion project- Work for a company where you get to meet and interact with some of the most prestigious data scientists in the data science community. We have guest speakers from across the globe who are leaders in the field.What You Will Be DoingWe are looking for Data Scientists to be part of the our Data Science Instructional Team. We seek individuals who love and excel at analyzing and visualizing data to solve important problems, are passionate about teaching others to be premier data scientists, and are fun to be around and work with. An ideal candidate should be quick to learn and adapt, care about design of simple, powerful, beautiful interfaces and visuals, love writing code, thrive in creative team efforts, and also have interests and passions beyond data science.ResponsibilitiesOur Senior Data Scientists provide incredible and inspiring Data Science instruction; support the design and teaching of new products and courses and infuse their expertise into our business operations; and continually sharpen their skills through consulting and passion project explorations. Your role will be a mix of teaching, business projects and passion projects. You will teach two quarters, every third quarter is a passion projects quarter and then throughout you will assist with business projects which could include product development, helping with admissions, attending conferences, writing articles. Teaching quarters:On any given day, the amount of lecture time is 1-2 hours, and the remainder of the day is spent directly engaging with and coaching individually the students.•Leading course discussions•Providing personalized support to students•Improving the quality of our curriculum •Offering career guidance and interview supportEvery third quarter:Sharpening Skills and Pursuing Data Science Passion Projects You'll be focused entirely on enhancing your skill set and building your data science knowledge in whatever way you choose. These three months are intended to be self-driven. Some ideas include:•Consulting on pro bono data science projects (e.g., with DataKind)•Providing in-house data science project expertise to specific companies•Authoring a book related to data science•Enrolling in data science classes•Working on open source passion projectsWhat You Need for this PositionMust haves:Machine Learning AlgorithmsPython2+ years INDUSTRY (excluding research) experience of data science Stellar communication skillsGenuine passion/enthusiasm for educationPreferred skills/experience:Ideally Masters or PhD in quantitative fieldPrior teaching experienceWhat's In It for YouPerks of the Role•Part of a team that is transforming education•Every third quarter you're paid to sharpen skills and pursue passion projects•Competitive compensation package•Opportunity to network and develop, both among our internal Data Science speaker community, as well as through our parent company which is a global organization•Opportunity to work in different geographic locations (NYC, San Francisco, Chicago, Seattle)So, if you are a Senior Data Scientist with 2+ years INDUSTRY experience of data science, Python and a passion for teaching, please apply today!Required SkillsData Science, Python, scikit.learn, Bayesian Inference, Machine Learning AlgorithmsIf you are a good fit for the Sr Data Scientist - teaching & passion projects! position, and have a background that includes:Data Science, Python, scikit.learn, Bayesian Inference, Machine Learning Algorithms and you are interested in working the following job types:Information Technology, Engineering, Professional ServicesWithin the following industries:Computer SoftwareOur privacy policy: Your resume and information will be kept completely confidential.Looking forward to receiving your resume through our website and going over the job in more detail with you! CyberCoders, Inc is proud to be an Equal Opportunity Employer  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.  Your Right to Work – In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.

Data Science, Python, scikit.learn, Bayesian Inference, Machine Learning Algorithms
",2+ years,Computer Software,"Chicago, IL 60601","$100,000.00 - $160,000.00 /Year",ML_Scientist
9,"Engineering, Information Technology, Design",Robert Half Technology,"
Ref ID: 04380-0010374687Classification: Software EngineerCompensation: $156.75 to $181.50 per hourOur client is looking to bring on a Data Scientist!! In this role, you will be responsible for researching, piloting, developing, or supporting one of three options: 1. Robotic Process Automation Solutions (RPA) OR 2. Natural Language Processing Engines (NLP) OR 3. Machine Learning Engines (ML). Located in Downtown Dallas, TX, this is temporary-to-fulltime position you don't want to miss!! Requirements: 1. Experience with Robotic Process Automation (UIPath preferred) - Experience implementing Robotic Process Automation solutions OR 2. Experience in Blockchain research, understanding and solution development - Very good understanding of Blockchain technology, crypto currencies (Bitcoin or others), various consensus protocols - Experience in development on one of the Blockchain platforms like Hyperledger, Ethereum, R3 Corda, Ripple, Bluemix, Rubix OR 3. Experience with Machine Learning models - Deep understanding of data structures and algorithms - Python, .NET, C++, R, or Java

|| If you are interested in applying to this position, please send your resume to [Click Here to Email Your Resumé] || **candidates MUST be local to Dallas, TexasTechnology doesn't change the world. People do.As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agenciesThe intersection of technology and people  it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.Apply for this job now or contact our branch office at 888.674.2094 to learn more about this position.All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2018 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
",65 years,"Computer Hardware, Computer Software","Dallas, TX 75201",$156.75 - $181.50 /Hour,ML_Scientist
