,category,company,details,experience,industry,location,salary,title
0,Marketing,NA,"
Tasks will include:
·         Updating and running pre-written SAS processes
·         Arranging SAS output and copying into Excel deliverables (data worksheets and charts)
·         Checking to ensure work is correct
·         Automating current SAS and Excel data-fetch, copy, paste and QC processes where possible using SAS EG(Enterprise Guide).

Required skillset:
·         Preferably experienced with data and databases.
·         SAS programming, SQL skills – update and rerun written process flows, write some process flows from scratch
·         Excel proficient – create and update Excel reports (data and charts); create small macros or links where necessary
·         Professional and delivers high quality, error free work
·         Positive, pleasant, helpful and collegial attitude
·         Clear communicator
",NA,Other Great Industries,"Port Washington, NY",NA,Statistical Programmer
1,Other,Joule,"
SAS Programmer (Philadelphia, PA) Philadelphia, PA based pharmaceutical company is growing and hiring Sr. Statistical Programmers, with a strong track record supporting a variety of clinical studies, in any/all trial phases. If you are experienced in working in a fast paced- environment , and thrive in a challenging, multi-tasking, deadline-driven environment, you will fit in well with our group! Responsibilities:     Minimum of 5 years of clinical SAS programming experience (did not mention this on the call, but if they are a good bit more experienced than this with strong communication and organization skills, we’d be very interested as well) Experience with vendor oversight Experience generating and reviewing submission datasets and TFLs (familiarity with SDTM and ADaM based on experience implementing these standards) Experience preparing an NDA submission (preparation of an ISS and ISE); submissions to other Regulatory authorities would be a plus Strong communication and organizational skills  Minimum Requirements:  5 years of experience in clinical programming space Data set prep (STDM) and strong CDISC experience with Adam/TSL programming Experience submitting NDA to the FDA Ability to construct data tables, figures, and listings for individual studies Prior experience working with CRO’s Strong communication skills  For immediate consideration please forward resume to [Click Here to Email Your Resumé]     
",5 years,Pharmaceutical,"King of Prussia, PA 19406",NA,Statistical Programmer
2,"Information Technology, Pharmaceutical, Science",ProClinical,"
ProClinical is seeking a SAS programmer to be based in Philadelphia on a contract basis.Role Overview:
BS/MS in statistics or related science with 5+/3+ years of experience in the pharmaceutical industry, respectively.
Hands-on skills in legacy data conversions to CDISC SDTM data sets, good working experience in generating CDISC ADaM data sets and TLFs to support clinical study reports, ISS or ISE.
Preparation of electronic submission data package including define.xml for FDA submissions such as NDA or BLA is a plus.
 Strong team player and customer focused.
Good written and oral communication skills and interpersonal skills.
Proficiency in Microsoft Word, Excel, and Outlook.
To Apply:Please click on the Apply button. Please include a short note outlining why you are interested in the role and why you think you are suitable. In case you have difficulty in applying or if you have any questions, please call Sam Walker on +44 203 8569 336 or upload your CV on our website - www.proclinical.com.  A full job description is available on request. ProClinical is a specialist employment agency and recruitment business, providing job opportunities within major pharmaceutical, biopharmaceutical, biotechnology and medical device companies.
",3+ years,"Computer Software, Medical Equipment, Pharmaceutical","Philadelphia, PA",$60.00 - $70.00 /Hour,Statistical Programmer
3,Other,Eliassen Group,"
Our client is a Boston-based financial investment firm that serves over twenty million customers. They employ tens of thousands of individuals and manage trillions of dollars in assets. With almost a century of experience, this financial services company is an industry leader, both nationally and globally. Our client is known for being a great place to work, and they are looking for a SAS Programmer to join their team. This is a long term contract opportunity. What You'll Do:  Ensure compliance with internal and industry best practices and procedures Develop comprehensive documentation for all data conversions Assist with the implementation of conversion level architecture Perform complex technical and functional analysis to support data conversions  Who You Are:  Bachelor's degree strongly preferred At least 5 years of experience in SAS development  Understanding of the investment industry  Job ID: 304042 About Eliassen Group: Eliassen Group provides strategic talent solutions to drive our clients’ innovation and business results. Leveraging nearly 30 years of success, our expertise in IT staffing, Agile consulting, creative services, managed services, and life sciences enables us to partner with our clients to execute their business strategy and scale effectively. Headquartered in Reading, MA and with offices from coast to coast, Eliassen Group offers local community presence, deep networks, as well as national reach. For more information, visit http://www.eliassen.com. Eliassen Group is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status. Don’t miss out on our referral program! If we hire a candidate that you refer us to then you can be eligible for a $1,000 referral check!
",5 years,Employment - Recruiting - Staffing,"Westlake, TX",NA,Statistical Programmer
4,Health Care,Rang Technologies,"
Job Title: Statistical Programmers (Entry Level)  Produce customized Tables using PROC REPORT procedure  Provide statistical reports using procedures: MEANS, FREQ, UNIVARIATE Provide SAS programming in analyzing clinical trials data  Generate and Validate Statistical analysis files, tables, listings, summaries, graphs Create HTML and RTF reports using SAS ODS Work on data mapping from existing raw data to CDISC SDTM and ADaM standard data Transform clinical data and creating analysis datasets, generating reports, and statistical analysis. BS/MS degree in Statistics, Computer Science, Biology, Science or related field     How to apply: Please send resume to [Click Here to Email Your Resumé] for further consideration and application.
",NA,Pharmaceutical,"Jersey city, NJ 07395",NA,Statistical Programmer
5,Information Technology,Kavaliro,"
Sr. Clinical SAS Programmer- Remote The Sr. Programmer will collaborate with the Programming Leader to provide support for aspects of the clinical development process, including clinical development plans, regulatory submissions, commercialization and scientific utilization data for products. Collaborate with the Programming Leader to provide programming support to deliver technical programming and information components of a project, including but not limited to: o Regulatory response to agency queries o Development Safety Update Reports (DSUR) o Periodic Benefit-Risk Evaluation Report (PBRER) o Investigators brochures (IB) o Data submission strategy, i.e., legacy data, pooling data, communications with regulatory agencies o Outcomes studies o Pharmacokinetics/pharmacodynamics data preparation and analysis o Manipulating and analyzing adjudicated data o Delivering Clinical Trial Transparency (data de- identification) o Data preparation and analysis for Global Medical Affairs work • Produce and maintain the technical database standards and Programming Specification documents • Contribute to the provision of technical consulting expertise to external partners in relation to the specification and delivery of the SDTM and RDB databases by these partners • Provide support to the regulatory submissions including specification and delivery of overview databases, outputs and response to regulatory questions • Identify opportunities to improve the methodology and provide practical solutions for problems • Contribute to the development of best practice to improve quality, efficiency and effectiveness • Contributes to innovating and streamlining workflows Required: This role will be 100% remote. Must be able to support M-F, 8am - 5pm EST schedule. • Extensive SAS programming experience o Knowledgeable of the drug indications within a therapeutic area and data submission standards within that therapeutic area. o Contributes to assessing and mitigating risk within a protocol or drug project and proactively determining the need and/or level of escalation • BSc in Mathematical, Statistical, Computer Science or Life Science • Knowledge of database set-up and report publishing requirements • Knowledge of technical and regulatory requirements related to the role • Knowledge of CDSIC standard and industry best practices • Experience in clinical drug development or healthcare • Excellent verbal and written communication skills • Assist in developing and delivering training • Leadership role able to lead and direct elements of project work • Accountable for the quality of elements of project programming work • Accountable for good Information Practice • Reports to Programming Team Leader o Team commitment: prioritize attendance at appropriate project team meetings; take steps to understand and appreciate the roles, skills and strengths of others on the team. Be proactive Excellent collaboration required – needs the energy to work across global & functional boundaries o Decision making: constructively challenge others and be receptive to challenge in bringing clarity and robustness (evidence based) to decision making within the team o Issue resolution: work collaboratively with the project team to resolve issues, irrespective of whether or not the issues are functional in nature o Communication: agree on how to communicate decisions, successes and escalation of issues etc – speak with one voice instead of separate • Collaboration required • Ability to apply programming expertise to problems, problem solving and quality focus. • Other programming languages e.g. S-PLUS, R, XML etc. • Familiarity with Open CDISC Validator
",NA,Pharmaceutical,"North Chicago, IL",NA,Statistical Programmer
6,Other,ICONMA,"

Location: Woodcliff Lake, NJ
Duration: 1 year

Description:
Oncology PCU
To support the Biostatistics team by carrying out and conducting programming activities of statistical programmers, and coordinating with external vendors (as required), and to ensure timely and accurate programming and validation activities for clinical studies. Contributes to the overall efficiency and best practice running of the Biostatistics group, demonstrating the ability to work efficiently and to a high standard within a clinical team environment.




Main duties/responsibilities:
- Providing statistical programming and validation support for clinical study reports, overseeing programming activities by external vendors (e.g., CROs) when necessary and coordinating programming activities among the study programmers to achieve timely progress in the following areas: analysis datasets, statistical tables, figures, listings, Integrated Summaries of Safety (ISS), Integrated Summaries of Efficacy (ISE), DSUR, PSUR, IB, progress reports, electronic submissions and other internal and external requests (e.g., publications). Accessing and converting data to SAS from Database management system and PC file formats (e.g., MS Excel, text files). Working with external vendors in order to develop or monitor the content and structure of SAS data sets.
- SDTM and ADaM technical knowledge are preferred. In addition, knowledge of agency requirements including ICH, FDA, and other guidances are beneficial. Knowledge of current FDA submission process (Define.xml, etc.) is strongly recommended. Developing and maintaining SOPs, SWPs and other related technical documents, providing input to the Database and CRF Development. Providing input in developing statistical analysis plans, producing specifications of analysis datasets, validation plans, and other related documents. Good understanding with different phases of clinical trials, protocols, and CRF designs.
- Maintaining standards for programming activities (SDTM, ADaM, directory structure, etc.), and guiding/coaching Statistical programmers.
- Working independently as well as in teams to accomplish tasks and goals defined by supervisor. Attending required training and meetings and bringing in new ideas to improve the programming process.

Responsibilities weighting may change significantly based on the incumbent and their assigned areas of responsibility.

Qualifications and education required:
- Minimum of Bachelor’s degree in Statistics, Computer Science, Mathematics, or a related science discipline. Masters preferred.

Experience required:
- Minimum 3 years’ experience in SAS programming for phase I-IV clinical trials in a pharmaceutical/CRO environment. 6+ years’ experience preferred.
- Some project experience in a pharmaceutical/CRO programming environment or demonstrated significant leadership of SAS programming activities in a clinical pharmaceutical/CRO environment.

Skills and aptitude required:
- Experience using SAS-Base, MACRO, STAT, GRAPH, ACCESS, MS Office. Knowledge of SDTM and ADaM standards.
- Proven experience with UNIX and Windows operating systems.
- Understanding of the software development life cycle.
- Understanding of FDA guidelines.
- Good organization, time management and attention to detail skills needed to work in a stressful environment under tight deadlines while maintaining focus on details and quality.
- Applies good judgment and demonstrates initiative to resolve issues.
- Strong verbal, written and interpersonal communication skills needed to work effectively in a team environment, managing that team as required

Education Requirements:
Domestic schools preferred. Pharma industry not CRO. Stable work history



",1 year,Other Great Industries,"Woodcliff Lake, NJ",NA,Statistical Programmer
7,"Research, Strategy - Planning, Information Technology",Boehringer Ingelheim,"
Description:

The qualified candidate will be hired at the appropriate level commensurate with education/experience


Description\:

 
The Senior Statistical Programmer supports the clinical research development process by providing statistical programming for new substances, indications or marketing claims. Is able to function as a Project Statistical Programmer (PPROG), Project Statistical Programmer for Translational Medicine and Clinical Pharmacology (PProg-TMCP) or as the Trial Statistical Programmer (TPROG) or Trial Statistical Programmer for TMCP (TProg-TMCP) focusing on complex trials that represent new challenges and for which project and therapeutic knowledge is not given, such as mega trials in new indications. Is also able to supervise CRO's working within the statistical programming area on trial level.
 
Works directly with the trial and project statistician and pro-actively with the Clinical Trial and Project teams providing programming support. Implements and supports standards and a harmonized approach to programming.
 
As an employee of Boehringer Ingelheim, you will actively contribute to the discovery, development and delivery of our products to our patients and customers. Our global presence provides opportunity for all employees to collaborate internationally, offering visibility and opportunity to directly contribute to the companies' success. We realize that our strength and competitive advantage lie with our people. We support our employees in a number of ways to foster a healthy working environment, meaningful work, diversity and inclusion, mobility, networking and work-life balance. Our competitive compensation and benefit programs reflect Boehringer Ingelheim's high regard for our employees
 

Duties & Responsibilities\:



Utilize BI SOPs and guidelines, trial and project documentation to support the programming requirements
of the Medical Quality Review Plan (MQRP), the Trial Statistical Analyses Plan (TSAP) and other supporting reports for trials of Phase I - IV.

Gain specific knowledge about the clinical data collected for the trial. Attend trial meetings as necessary (e.g. Trial Preparation Meeting, Medical Quality Review Meeting, and Blinded Report Planning Meetings). Communicate with other trial team members as needed. Keep management abreast of critical process issues, resource shortages and changes in timelines.
As a PPROG or PPROG-TMCP, provide support for the electronic submission to regulatory agencies worldwide. This may include the preparation of TMCP analyses or safety and efficacy analyses datasets, data files, application programs, and electronic documentation and user manuals. Perform validation activities to ensure the quality of the submission. Keep abreast of international data standards (e.g. CDISC) and supply programming support to the project team to accomplish this requirement from the regulatory authorities.
Review and provide feedback to the trial statistician regarding the scientific portion of the statistical analyses plan and the shell mock-ups for completeness, correctness and adherence to cited department guidelines and SOPs. Author or co-author the Analysis Data Set (ADS) specification with the statistician. Challenge the Technical TSAP to ensure the most standardized and efficient processes can be used for its implementation. Ensure programming issues are resolved and specifications are kept updated in the SAP. Communicate and collaborate with the CRO programmer when any part of the programming is outsourced.
Transform specifications in the Project and Trial Statistical Analyses Plans (P/TSAP) into fully documented and tested programs supporting both safety and efficacy displays and Analyses Data Sets (ADS) required for the Clinical Trial Report. This includes\: standard displays that require complex data building programming prior to the call of a standard macro; moderate to complex safety displays that cannot be produced by the use of a standard macro; efficacy displays that require applied statistics knowledge in order to produce well documented tested efficacy programs; and the creation of Analyses Data Sets (ADS) that may require the application of statistical methods; implementation of tables as specified in the MQR plan. Reviews the TLFs across the displays for consistency prior to review by the statistician.
Provide support for the electronic submission to regulatory agencies worldwide.  This may include the preparation of safety and efficacy data files, application programs, and electronic documentation and user manuals.  Performing validation activities to ensure the quality of the submission.  Keep abreast of CDISC/ADAM international data structures and supply any programming support to the project team to accomplish this requirement from the FDA.
Ensures data base standards are adhered to and referential integrity is followed. 
Help maintain libraries of fully documented and validated programs, macros and procedures which can be reused by other programmers to aid the department's overall efficiency.
The PPROG develops a project programming strategy with the PSTAT and PDM, involving the trial teams as well. Define critical steps and decisions to be made to enable timely reporting in phase III on trial and project level. Implement project programs as much as possible and enable usage across trials.
Receives broad operating instructions in performing a majority of duties from manager and keeps manager abreast of programming status and issues.
Represents the Statistical Programming function on multi-disciplinary, international working groups, with the ability to lead international working groups.
Helps create or provide training materials in supported area.
Communicate and collaborate with the CRO programmer when part of the trial programming or double programming is outsourced, providing any necessary oversight.
Proactively propose effective and efficient implementation methods of TMCP related statistical aspects. Translation of statistical analyses of Clinical Pharmacology (CP) and Biomarker (BM) data on trial and project level into programming code using R and SAS. Support the statistical implementation TMCP parts of submission package (e.g. integrated & meta-analysis of PGx, BM, PK/PD) & exploratory data analysis of TMCP trials. Support the development of TMCP specific programming tool box, e.g. clustering, re-sampling, simulations.


Statistical Programmer Requirements\:
Bachelor's degree from an accredited institution required, (with a focus in Science is preferred), with five (5) years of related experience OR a Master's degree from an accredited institution, (with a focus in is preferred), with three (3) years’ experience within the pharmaceutical industry, CROs or academic sites.
Proficient in the use of SAS programming language.
Good working knowledge of statistical concepts in support of analyses and reporting of clinical trials.
Knowledge in database structures and set-up.
Knowledge of basic medical terminology.
Ability to work successfully in teams.
Good organizational skills, problem-solving abilities, time management skills and initiative.
Flexibility and ability to work on several assignments simultaneously.
Must be able to work independently as well as part of a team.
Good written and oral communications skills in the English language
Must be precise, detail oriented, and able to understand data displays and their relation to each other.

Senior Statistical Programmer Requirements\:

Bachelor’s degree from an accredited institution, Bachelors of Science degree preferred in a technical field such as Computer Science or Math, with seven (7) years of progressive statistical programming experience OR a Master’s degree from an accredited institution, Masters of Science degree preferred in a technical area such as Computer Science or Bio/statistics, with five (5) years of progressive statistical programming experience. 
International business experience
Proven experience within the pharmaceutical industry, CROs or academic sites, covering MQR programming and all CTR aspects - ADS / TFLs.
Advanced working knowledge of all aspects of the SAS programming language used in clinical trials programming.
Advanced understanding of statistical concepts in support of analyses and reporting of clinical trials
Having knowledge of all phases of drug development, including R&D, early and late clinical development and submission
Having background of applied statistics
Knowledge of new advanced statistical methods using R and SAS
Knowledge in database structures and set-up
Knowledge of basic medical terminology
Ability to work successfully in teams.
Good organizational skills, problem-solving abilities, time management skills and initiative.
Flexibility and ability to work on several assignments simultaneously.
Must be able to work independently as well as part of a team.
Good written and oral communications skills in the English language
Must be precise, detail oriented, and able to understand data displays and their relation to each other.

Eligibility Requirements\:

Must be legally authorized to work in the United States without restriction.
Must be willing to take a drug test and post-offer physical (if required)
Must be 18 years of age or older

Our Culture\:
Boehringer Ingelheim is one of the world’s top 20 pharmaceutical companies and operates globally with approximately 50,000 employees.  Since our founding in 1885, the company has remained family-owned and today we are committed to creating value through innovation in three business areas including human pharmaceuticals, animal health and biopharmaceutical contract manufacturing.  Since we are privately held, we have the ability to take an innovative, long-term view.   Our focus is on scientific discoveries and the introduction of truly novel medicines that improve lives and provide valuable services and support to patients and their families.  Employees are challenged to take initiative and achieve outstanding results. Ultimately, our culture and drive allows us to maintain one of the highest levels of excellence in our industry. We are also deeply committed to our communities and our employees create and engage in programs that strengthen the neighborhoods where we live and work.  Boehringer Ingelheim, including Boehringer Ingelheim Pharmaceuticals, Inc., Boehringer Ingelheim USA, Boehringer Ingelheim Animal Health USA, Inc., Merial Barceloneta, LLC and Boehringer Ingelheim Fremont, Inc. is an equal opportunity and affirmative action employer committed to a culturally diverse workforce.  All qualified applicants will receive consideration for employment without regard to race; color; creed; religion; national origin; age; ancestry; nationality; marital, domestic partnership or civil union status; sex, gender identity or expression; affectional or sexual orientation; disability; veteran or military status, including protected veteran status; domestic violence victim status; atypical cellular or blood trait; genetic information (including the refusal to submit to genetic testing) or any other characteristic protected by law. Boehringer Ingelheim is firmly committed to ensuring a safe, healthy, productive and efficient work environment for our employees, partners and customers. As part of that commitment, Boehringer Ingelheim conducts pre-employment verifications and drug screenings.
",18 years,Other Great Industries,"Ridgefield, CT 06877",NA,Statistical Programmer
8,Information Technology,PSCI,"
We have a multiple Clinical SAS Programmer roles for a large pharma client. This is an onsite role in their Rahway, NJ office. 

 JOB DESCRIPTION • Education and Experience. BS/MS in statistics or related science with 5+/3+ years of experience in the pharmaceutical industry, respectively. • Skills: Hands-on skills in legacy data conversions to CDISC SDTM data sets, good working experience in generating CDISC ADaM data sets and TLFs to support clinical study reports, ISS or ISE. Preparation of electronic submission data package including define.xml for FDA submissions such as NDA or BLA is a plus. • Other Requirements. Strong team player and customer focused. Good written and oral communication skills and interpersonal skills. Proficiency in Microsoft Word, Excel, and Outlook. 

SKILLS REQUIRED: Need BS or MS with more than 5 year’s pharma or CRO SAS programming experience Strong at SDTM and ADaM Oncology experience.
",3+ years,Pharmaceutical,"Rahway, NJ 07065",NA,Statistical Programmer
9,"Biotech, Pharmaceutical",Experis,"
Multiple positions/Some on-site and some remote: Rahway, NJ Gwynedd, PA Remote * Will play a key role as Statistical Programming Lead for our global statistical programming team supporting the client. * Will attend client project team meetings to understand timelines and project needs and collaborate with client stakeholders. * The Statistical Programming Lead will play a key role to ensure high quality deliverables, perform resource and project management, and evaluate incidences. * Experience as a Statistical Programming Lead or Manager leading teams across multiple TAs and phases of Development is required. * Must be skilled in managing multiple projects, resource allocation, and collaborating directly with clinical development project teams and cross-functional areas. * Sr Programming Leads will directly manage the individual programmers and lead the projects; successful project managementExperis is an Equal Opportunity Employer (EOE/AA)
",NA,"Biotechnology, Pharmaceutical","Philadelphia, PA 07065",NA,Statistical Programmer
