,category,company,details,experience,industry,location,salary,title
0,Information Technology,"American Cybersystems, Inc. (ACS Group)","





 Job Title: (IDS) Data Scientist 
 Location: Newport News VA 23607
 Duration: 12 month 

 Job Responsibilities: 
 ●  Designs, develops, and implements methods, processes and systems to consolidate and analyze diverse data sets including structured and unstructured.  
 ●  Develops software programs, algorithms, dashboards, information tools, and queries to clean, model, integrate and evaluate datasets.  
 ●  Keeps abreast of new analytic methodologies and technologies. Collaborates with functional business units to drive business solutions and direction.  

 Qualifications: 
 ●  Graduate degree (or equivalent industry experience), Ph.D. preferred, in Computer Science, Statistics, Operations Research, Mathematics, Neurosciences, or a related scientific discipline.  
 ●  Understanding and experience using machine learning techniques, including but not limited to Linear Models, Neural Networks, Decision Trees, Bayesian Techniques, Clustering, Anomaly Detection, and more.  
 ●  Experience with data science languages such as Python, R, MatLab, etc.  
 ●  Experience with machine learning framework, such as PyTorch, TensorFlow, Theano, Keras, etc.  
 ●  Great communication skills.  
 ●  Good applied statistics skills, such as distributions, statistical testing, etc.  
 ●  Good scripting and programming skills. 




Job Title:  Data Scientist
Location: Newport News VA 23607
Duration: 12 month

Job Responsibilities:

Designs, develops, and implements methods, processes and systems to consolidate and analyze diverse data sets including structured and unstructured. 
Develops software programs, algorithms, dashboards, information tools, and queries to clean, model, integrate and evaluate datasets. 
Keeps abreast of new analytic methodologies and technologies. Collaborates with functional business units to drive business solutions and direction 

Qualifications:

Graduate degree (or equivalent industry experience), Ph.D. preferred, in Computer Science, Statistics, Operations Research, Mathematics, Neurosciences, or a related scientific discipline. 
Understanding and experience using machine learning techniques, including but not limited to Linear Models, Neural Networks, Decision Trees, Bayesian Techniques, Clustering, Anomaly Detection, and more. 
Experience with data science languages such as Python, R, MatLab, etc. 
Experience with machine learning framework, such as PyTorch, TensorFlow, Theano, Keras, etc. 
Great communication skills. 
Good applied statistics skills, such as distributions, statistical testing, etc. 
Good scripting and programming skills.

",NA,Other Great Industries,"Newport News, VA",$50.00 - $70.00 /Hour,Statistician
1,Information Technology,Austin Fraser,"
Austin Fraser is working alongside a fantastic data driven organization in Austin in their search for Data Scientists to help build out their team.As a valued Data Scientist you will:
Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and operational data
Analyze and model structured data and implement algorithms to support analysis using advanced statistical and mathematical methods from statistics, machine learning, data mining, econometrics, and operations research
Perform Statistical Natural Language Processing to mine unstructured data, using methods such as document clustering, topic analysis, named entity recognition, document classification, and sentiment analysis
Utilize a diverse array of technologies and tools as needed, to deliver insights, such as R, SAS, Python, Spark, Hadoop, Qlikview, and Tableau
Participate in client engagements focused on Big Data and advanced business analytics, in diverse domains such as risk management, product development, marketing research, supply chain, public policy; communicate results and educate others through reports and presentations
Essentials for this position are:
A minimum of two years of professional experience working as a Data Scientist
Master's degree, or PhD in Computer Science, Statistics, Mathematics, Engineering, Econometrics, or related fields from an accredited college or university
Strong mathematical background with strong knowledge in at least one of the following fields: statistics, data mining, machine learning, statistics, operations research, econometrics, natural language processing, and/or information retrieval
Deep experience in extracting, cleaning, preparing and modeling data
Experience with command-line scripting, data structures, and algorithms; ability to work in a Linux environment and proficiency in analysis (e.g. R, SAS, Matlab) packages as well as proficiency in programming languages (e.g. Python, Ruby, Java, Scala)
For further details please submit a resume. Austin Fraser Inc is acting as an employment business in relation to this advert. As a professional company we gladly welcome applications from persons of any age and background and do not intend to discriminate with advert text and terminology.
",NA,Computer Software,"Austin, TX","$90,000.00 - $175,000.00 /Year",Statistician
2,Information Technology,"Synergy Business Consulting, Inc.","
Data Scientist
Position Summary:
 
Seeking a talented, experienced and inquisitive Data Scientist to design and implement cutting edge solutions across a breadth of domain areas.  The ideal candidate is well grounded in a mathematical, statistical and probability background, with a broad knowledge of machine learning techniques and cognitive services.
 
This Data Scientist will focus on selecting, evaluating, and optimizing software solutions, code development, and integrations into IT systems as part of a growing Data Science. This individual will work with a multidisciplinary team of driven people to deliver end to end solutions that improve guest experience and address pain points of the business across applications such as Cloud Computing, Data Science Virtual Machines (Linux), Optimal Scripting Techniques, and Distributed File / Computational Systems.
 

Data Scientist-Essential Duties and Responsibilities:
 
A successful candidate will possess a strong background or operational familiarity in statistics, mathematics, modeling (predictive, forecasting, optimization).  The candidate should demonstrate a progressive maturation of prior technical and development projects from ad-hoc requests to fully fault-tolerant and optimized solutions architected into broader IT systems.  The candidate should also be capable of and willing to train and mentor colleagues on the proper training, development and deployment of technically robust and optimizing analytic solutions for data science applications.
 
This individual will be responsible for analytical support, data mining, scripting / programming, mentorship and stakeholder presentation within the framework of implementing, utilizing and expanding development and release best practices within the broader Data Science team. 
 
Data Scientist Major responsibilities include:
 
·         Apply several forms of statistical (hypothesis testing, sampling, modeling, probability, time-series) and machine learning (neural networks / deep networks, ensemble methods, natural language processing) methods to describe, predict and optimize desired analytical objectives from business stakeholders.
 
·         Manipulates high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends.
·         Evaluate the progress of the data science team and company at large on the acclimation of robust, optimal and faul-tolerant technical solutions for predictive, natural language and artificial intelligence tasks. Recommend steps to improve or enforce utilization of these methods.
·         Empower and enhance the capabilities of the broader data science team on the proper environment setup, optimal and faul-tolarant scripting of solutions, and efficiency of deployed models through training, mentoring and project assistance as needed. 
·         Collaborate with IT, Business and Analytics stakeholders to design and implement solution infrastructure, release schedules, and system needs into the wider company data architecture.
·         Assist with research related to customer based analytical practice and develop communications for management and strategies for building institutional knowledge. Work with product and enterprise teams via both Agile And Waterfall Methodologies.
 
·         Foster a ‘data-driven’ culture based on pragmatism and strategic decision through rigorous factual analysis at all levels.  Should be willing to engage outside the immediate team to expand data science footprint throughout organization.
 




 

Data Scientist Qualifications
·         Master’s degree in Statistics, Operations Research, Mathematics, Economics, Computer Science, Engineering, Physics, Chemical Engineering, Information Technology or field of comparable foundations in mathematical and statistical analysis through the use of models, algorithms or programmed solutions.
·         2+ years experience with any of the following programming languages: R, Python, Java, C++, C#, Scala, SAS or similar scripting languages.  Similar experience and proficiency with SQL required.
·         2+ years experience with a variety of information technology tools and practices including Software Engineering and Development (documentation, programming), Operations (event monitoring, software deployments, system administration), and Quality Assurance (positive / negative unit testing, maintenance)
·         Experience with data mining processes (SEMMA, CRISP-DM), data preparation, consolidation, imputation, transformation, interaction, variable reduction, modeling, maintenance, and post-mortem analysis.
·         Experience with statistical methods such t-test of means, Tukey-HSD tests of means on groups, ANOVA, Proportion tests, data normalization and scaling, univariate and multivariate outlier detection.
·         Experience with modeling techniques such as linear models, decision trees, neural networks, k-nearest-neighbor, support vector machines, cluster analyses, and ensembling methods.
·         Strong Oral and Written skills.

 
Data Scientist Preferred Qualifications in Addition to Basic Qualifications



         Experience with Agile Software Development


         Terminal or Shell scripting in Linux systems


         Experience in a large corporation or consulting firm with focus in marketing strategies, modeling, CRM and management sciences/statistics highly desired


         Experience with Deep Learning tools and packages such as TensorFlow, Keras, H2O, and Theano


        Experience with frameworks and languages designed for big-data analysis, including Hadoop, Spark, Hive, and Pig


        Experience with cloud computing frameworks or API’s such as Microsoft Azure, Amazon Web Services and IBM / Watson



 






Irvens André
Sr. Technical Recruiter
Synergy Business Consulting, Inc.
Technology | Relationships | Solutions
Office: 470-639-1491 | Email:iandre@synergybc.com  







",2+ years,Travel,"Miami, FL","$90,000.00 - $110,000.00 /Year",Statistician
3,"Finance, Information Technology, Research",Eckhardt Trading Company,"
We are expanding our Algorithmic Futures Trading Research team. We are seeking an intelligent degreed person with excellent programming and communication skills to support our automated futures trading efforts.

We offer an informal but demanding environment where you will interact with the best minds in the futures business.

You must have three or more years of experience programming with C, C++, or FORTRAN on machines running Linux, *BSD or other UNIX, or OpenVMS. You must have a degree (Master's or PhD preferred) in one of the physical sciences, computer science, mathematics, statistics or engineering.

You must be a US citizen, a permanent resident, or hold an H-1B visa with 3 or more years remaining. We will not sponsor a candidate needing an H-1B visa.

The best candidate will also have experience in the following:
  Automated futures trading technology
  Flextrade and its API
  Futures data feeds
  Network, multi-threaded, and sockets programming
  Linux and Windows APIs
  Operating system installation and maintenance
  Server, desktop, and network hardware
  Excellent written and oral presentation skills

We are located in the southwest corner of the Chicago business district.

We do NOT accept third-party applications.

You must have three or more years of experience programming with C, C++, or FORTRAN on machines running Linux, *BSD or other UNIX, or OpenVMS. You must have a degree (Master's or PhD preferred) in one of the physical sciences, computer science, mathematics, statistics or engineering.

You must be a US citizen, a permanent resident, or hold an H-1B visa with 3 or more years remaining. We will not sponsor a candidate needing an H-1B visa.

",NA,Banking - Financial Services,"Chicago, IL",NA,Statistician
4,NA,Real Staffing,"
Our client is seeking at Statistician to join their team on a long term temporary basis at their Madison, NJ office and is open to anyone that meets the minimum educational requirements (MS or PhD in Statistics or Biostatistics).  Responsibilities include but is not limited to:
Provides statistical support for protocol development, statistical analysis plan (SAP), statistical analysis, study reporting and publications as needed
Ensures that the study design is appropriate, and that appropriate statistical methodologies are used
Supports consumer behavior studies, submission related statistical activities, or periodic safety update as needed
Provides statistical expertise to develop and champion techniques intended to increase understanding of drug development problems and seeks creative solutions by pursuing active research through collaborations and interactions with other colleagues
In partnership with statistical leadership, establishes sound statistical bases for the design and analysis of studies and provides clear guidance to project or program teams for execution
Requirements:
Minimum 1 year pharmaceutical experience
MS or PhD in Statistics or Biostatistics
Excellent knowledge of statistical methodology and a working knowledge of computer systems
Strong knowledge in the SAS statistical analysis system is required, knowledge of other statistical analysis systems is a plus
Ability to explain statistical information to non-statisticians
Knowledge of regulatory requirements governing clinical research
Able to identify appropriate statistical methods for common scenarios that arise
Independently delivers outputs to agreed quality and milestones
Sthree US is acting as an Employment Business in relation to this vacancy.
",1 year,Pharmaceutical,"Madison, NJ 07940",NA,Statistician
5,"Biotech, Research, Science",Kelly Engineering Resources,"
NEW PRODUCT DEVELOPMENT STATISTICIAN – IRVINE, CA FULL BENEFITS INCLUDED Position Overview:Candidate will provide Subject Matter Expertise in Advanced Statistical Analysis for Medical Device product development teams and across the organization as required.  The majority of time will be spent developing statistical rationale for sample size.  Candidate will also provide regression analysis, ANOVA test support and design of other tests as requested. This position is slated through the end of 2018 with the potential for ongoing extension. Included in the benefits package is 401K, health insurance, 2 weeks of PTO per year, 1 week of sick time per year, and all paid holidays. Required Experience/Education:
 Three to Five years of hands on experience of Statistical support in a medical device or other manufacturing industry.  
 Must demonstrate specific experience with applying statistical methods, creating sampling plans and sample size calculations, and using data analysis in support of objective decision making; Regression Analysis; ANOVA Testing.
 Understanding of probability, statistical theory, statistical estimation, statistical process control, hypothesis testing, non-parametric statistics, time series analysis, linear and logistic regression (regression and classification modeling)
 A working knowledge of Statistical Analysis Software tools, such as, MiniTab, SPC Software, etc.
 Leadership ability in using problem solving techniques including root cause analysis and cause and effect analysis. Working knowledge in using investigational tools, such as, Cause and Effect Diagrams, Process Optimization, Design of Experiments, Trend Analysis, Capability Analysis, Control Charts, Pareto Charting, etc.
 Lead continuous improvement of the new product development processes and procedures and ability to integrate statistical techniques as a part of product development or design changes.
 Individual must have the ability to collaborate with cross functional teams and support current statistical methodologies used in the group.
 Education required is B.S. in a technical discipline at minimum.  Degrees may include Mathematics, Data Science, Analytics, Applied Statistics, Biostatistics or other related experience and/or training.
 Statistician, Quality or other Engineering discipline will be considered if they can demonstrate extensive experience in the above areas.


Why Kelly®?
Kelly puts you in charge of your career, with access to cutting edge projects and technologies in
industry leading organizations. Top companies throughout the world have trusted Kelly as a premier
source of engineering talent and services since 1965. And engineering job seekers know Kelly as a firm
with an unmatched reputation for quality, integrity and professionalism. Whether you seek the variety
and flexibility of working on short term project engagements, or prefer contract-to-hire or direct
hire placement with our clients, apply with Kelly to explore opportunities that suit your specific
professional interests.
About
Kelly Services®
As a workforce advocate for over 70 years, we are proud to directly employ nearly 500,000 people around the world and have a role in connecting thousands more with work through our global network of talent suppliers and partners. Revenue in 2017 was $5.4 billion. Visit kellyservices.com and connect with us on Facebook, LinkedIn and Twitter.
Kelly Services is an equal opportunity employer including, but not limited to, Minorities, Females,
Individuals with Disabilities, Protected Veterans, Sexual Orientation, Gender Identity and is
committed to employing a diverse workforce. Equal Employment Opportunity
is The Law.
",NA,Other Great Industries,"Irvine, CA",NA,Statistician
6,Information Technology,Eliassen Group,"
Our client is dedicated to delivering best-in-class customer experiences and is building a data science team to better understand how to acheive improvements in this area.
This position has a great benefit package that includes Medical, Dental and Vision benefits, 401k with company matching, and life insurance.Responsibilities of the Data Scientist:

Meeting with business stakeholders to understand business drivers and data sources.
Process, cleanse, and verify the integrity of data used for analysis
Gain knowledge of internal processes and their effects on customers
Perform data mining and exploration
Develop predictive models
Contribute to development of visualizations and present findings to senior business stakeholders.




Requirements of the Data Scientist:

Bachelor's Degree in a technical field
Real world experience of solving business problems using machine learning, data mining, data analysis
Data-oriented personality
Great communication skills
Experience with data visualization tools
Good applied statistics skills, such as distributions, statistical testing, regression, etc.

For immediate consideration, please forward your updated resume directly to [Click Here to Email Your Resumé] 
",NA,Other Great Industries,"201 South Tryon StreetCharlotte, NC 28202",NA,Statistician
7,Information Technology,HCL America Inc,"

Data Science Services for Analytical Products in Merchandising  -

As a Statistician/Data Scientist, you collaborate with a team of modeling scientists and optimization scientists to deliver high quality predictive models and cutting-edge analytical solutions to clients (retailers). The position will bring analytical rigor and statistical methods to the challenges of predicting merchandising behavior. You will work closely with internal clients (Professional Services team, Implementation Managers) and/or external clients (retailers) to understand their business needs as well as to explain our analytical product.  



Responsibilities:

o Implement and validate predictive models and ensure successful customer delivery  
o Communicate with intern/external clients to understand business needs and provide analytical solutions  
o Investigate on forecast accuracy and provide insightful findings   

Qualifications: 

o Advanced degree in at least one of these fields: statistics, applied mathematics, optimization, computer science, physics (MS required, outstanding BA/BS candidates will be considered)  
o Understand statistical concepts such as regression, time series, mixed model, Bayesian methods, clustering, etc. 
o Experience with R, SAS, or other statistical software • Familiar with Unix environment  
o Responsible and detail oriented 
o Communication skills – capable to explain technical terms to clients/colleagues who have no analytical/mathematical background.

Location: Open

Travel: - 0-25% 


",NA,Computer Software,"Cary, NC",NA,Statistician
8,Information Technology,J.D. Power,"

Title: Senior Statistician

Location: Westlake Village, California

Reports to: Senior Director, Analytic Center of Excellence

 The Role:  As a Sr. Statistician in the Analytical Center of Excellence, you will analyze and interpret the results on survey research studies that measure customer satisfaction, provide technical statistical expertise and programming, and build Excel/SAS macros and other automation tools.  Your job is to work closely with other researchers and scientists in the development of sampling plans and analysis plans.  In addition, you will perform advanced multivariate statistical analysis on survey and non-survey data and interpret results for business users.  Preferred but not required skills:  Conjoint, Max Diff and related methodologies; Predictive Analytics/Big Data mining and analysis techniques.

 The Impact: You will support syndicated studies which address industry level consumer needs and serve as customer satisfaction benchmarks in a variety of industries such as Automotive, Financial Services, Insurance, Energy and Telecom. The outcome of your work will be used by clients to help them understand what is important to consumers, how their brand performs relative to their competition, what their brand needs to do to improve and the financial benefit of making these improvements.

 Responsibilities:

• Analysis and Statistical Modeling: Perform multivariate statistical analysis on survey data using SAS.  • Conjoint and Max Diff: Design, program and analyze choice modeling studies using Sawtooth. • Consultation:  Provide statistical consultation to internal JD Power teams as well as external clients.  Provide interpretation of study results. Provide research/analytical support for new business opportunities.  • Thought leadership: Working in collaboration with other team members develop, test, interpret and present research on new and innovative approaches, methods or technicians that can be applied to the advancement of our business.

 The Career Opportunity:  You will have the opportunity to work with industry experts to learn how different industries are structured and how they leverage consumer information to guide product development and service improvements efforts.  You will also have the opportunity to strengthen your research design and statistical skills by daily exposure to senior research staff at JD Power.

The Team / The Business:  The Analytical Center of Excellence has global responsibility for the research design, analyses planning and execution of all advanced analytics at JD Power.  Additionally, the team is responsible for establishing and monitoring the adherence of research best practices that serve as the basis for quality of all research products at JD Power.  Our role is critical to the success of not only individual studies, but to the strength and credibility of the JD Power brand.  You will report directly to the Marketing Sciences Sr. Director and join a team of highly educated and enthusiastic researchers and statisticians that collaborate regularly with each other and with other teams across the firm.

Our Hiring Manager says: I’m looking for someone who can work as part of a broader engagement team and can use our data to help companies understand what drives customer satisfaction for their industry.  This individual also has to work independently to create survey content and analyze data using statistical packages (SAS, SPSS).  In addition, this person will design and program conjoint studies using Sawtooth.  If you’re right for this role, you are a self-starter who is able to develop creative solutions to problems, not be afraid to ask questions as you learn our company’s culture and do it all with enthusiasm.

 

 



• Masters or PhD in Statistics, Econometrics, Psychology or related social science fields.• Travel, some overtime and weekend work is required as needed. • An advanced understanding of Multivariate Statistics, Research Design, Measurement Theory, Attitudinal Research.• Statistical packages—SAS (preferred), SPSS, R, Sawtooth (preferred).• Must be able to work effectively and collaboratively in a team oriented, global, and multi-cultural environment.  
",NA,Consumer Products,"30870 Russell Ranch RoadWestlake Village, California, CA 91362",NA,Statistician
9,Information Technology,Roc Search Inc,"
Data Scientist - Education - $130,000With millions of happy users and a new state-of-the-art office, my client is quickly evolving. Your primary focus will be in applying data mining, doing statistical analysis, and building high quality prediction systems. Responsibilities
Selecting new features, building and optimizing classifiers using machine learning techniques
Applying Data mining using state-of-the-art methods to data and integrate our prediction systems into existing and new products.
Enhancing our data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing and verifying the integrity of our data used for analysis
Doing analysis and presenting the results in a clear manner
Skills and Qualifications:
Ability to work in an environment with a significant number of technical and functional unknowns
Understanding of machine learning techniques and algorithms
Query languages such as SQL, Hive, etc.
Great communication skills
Experience with NoSQL databases (such as MongoDB)
Good scripting and programming skills using tools like php, C
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Your Experience & Education:
BS or MS degree or equivalent experience
5+ years in Data Science, Machine Learning or similar related experience
What's in it for you:
Medical, dental and vision insurance along with numerous other benefits
Room for growth and career advancement
Paid vacation and sick time
Excellent 401(k) plan with 6% company match
Paid holidays
Employer paid life insurance
A fun, dynamic company culture
Data Scientist - Education - $130,000
",5+ years,Computer Software,"Austin, TX","$100,000.00 - $130,000.00 /Year",Statistician
